Indent,Category,Source,Report,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Expenditure Name
,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,"Expensing of exploration and development costs, fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#+,815,Treasury,2006,,,,,1210,1180,1240,1310,1350,1390,1430,,,,,,,,,,110,100,110,110,120,120,120,,,,,,"Excess of percentage over cost depletion, fuels"
#+,961,Treasury,2007,,,,,,530,600,620,600,580,560,560,,,,,,,,,,60,70,70,60,60,60,60,,,,,"Excess of percentage over cost depletion, fuels"
#+,1124,Treasury,2008,,,,,,,680,710,710,710,700,680,670,,,,,,,,,,80,80,80,80,80,80,70,,,,"Excess of percentage over cost depletion, fuels"
#+,1284,Treasury,2009,,,,,,,,710,820,860,820,790,770,760,,,,,,,,,,80,90,90,90,90,80,80,,,"Excess of percentage over cost depletion, fuels"
#+,1445,Treasury,2010,,,,,,,,,830,1230,1220,1240,1250,1260,1270,,,,,,,,,,90,130,130,130,130,130,130,,"Excess of percentage over cost depletion, fuels"
#+,1610,Treasury,2011,,,,,,,,,,310,560,610,860,1030,1060,1090,,,,,,,,,,30,50,60,80,100,100,100,"Excess of percentage over cost depletion, fuels"
##,Oil and gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1786,JCT,2001,400,400,400,400,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,Oil and gas
##+,1923,JCT,2002,500,500,500,500,500,,,,,,,,,,,,200,200,200,200,200,,,,,,,,,,,,Oil and gas
##+,2062,JCT,2003,,300,300,300,300,400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Oil and gas
##+,2204,JCT,2007,,,,,,500,500,500,600,600,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Oil and gas
##+,2361,JCT,2008,,,,,,,1000,1000,900,900,900,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,Oil and gas
##+,2534,JCT,2009,,,,,,,,1100,1200,1200,1200,1200,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,Oil and gas
##+,2979,JCT,2011,,,,,,,,,,1300,1200,1300,1300,1400,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Oil and gas
##,Other fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##+,1787,JCT,2001,200,200,200,200,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,Other fuels
##+,1924,JCT,2002,200,200,200,200,200,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,,,,Other fuels
##+,2063,JCT,2003,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,Other fuels
##+,2205,JCT,2007,,,,,,<+,<+,<+,<+,<+,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,,Other fuels
##+,2362,JCT,2008,,,,,,,100,100,100,100,100,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,,Other fuels
##+,2535,JCT,2009,,,,,,,,100,100,100,100,100,,,,,,,,,,,,<+,<+,<+,<+,<+,,,,,Other fuels
##+,2980,JCT,2011,,,,,,,,,,200,200,200,200,200,,,,,,,,,,,,<+,<+,<+,<+,<+,,,Other fuels
