TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
70.1,10693,,,First Bank of Tennessee,SPRING CITY,TN,Y,N
70.2,19272,,,Community National Bank,DAYTON,TN,Y,Y
70.3,,1086597,,"ROSSVILLE BANKSHARES, INC.",ROSSVILLE,GA, ,N
70.3,18959,,,Rossville Bank,ROSSVILLE,GA,Y,N
72.1,,1119404,,"FIRST BRECKINRIDGE BANCSHARES, INC.",IRVINGTON,KY, ,N
72.1,12149,,,First State Bank,IRVINGTON,KY,N,N
72.1,12166,,,West Point Bank,RADCLIFF,KY,N,N
72.1,13167,,,Bank of Clarkson,CLARKSON,KY,N,N
72.1,26703,,,"River City Bank, Inc.",LOUISVILLE,KY,N,N
72.2,,1100309,,"MEADE BANCORP, INC.",BRANDENBURG,KY, ,N
72.2,25173,,,Meade County Bank,BRANDENBURG,KY,N,N
73.1,,1095843,,"MAGNOLIA BANCSHARES, INC.",HODGENVILLE,KY, ,N
73.1,8120,,,"Magnolia Bank, Incorporated",MAGNOLIA,KY,Y,N
73.2,,1118948,,"COMMONWEALTH BANCSHARES, INC.",LOUISVILLE,KY, ,Y
73.2,10146,,,Commonwealth Bank and Trust Company,LOUISVILLE,KY,Y,Y
73.2,34863,,,"First Security Trust Bank, Inc.",FLORENCE,KY,Y,Y
77.1,5892,,,Kalamazoo County State Bank,SCHOOLCRAFT,MI,Y,N
77.2,12893,,,First State Bank of Decatur,DECATUR,MI,Y,N
79.1,,1124163,,"BOSSHARD BANCO, LTD.",LACROSSE,WI, ,N
79.1,5337,,,The First National Bank of Bangor,BANGOR,WI,Y,N
79.1,17128,,,Intercity State Bank,SCHOFIELD,WI,Y,N
79.2,,1205473,,"BOSSHARD FINANCIAL GROUP, INC.",LA CROSSE,WI, ,N
79.2,15126,,,Farmers State Bank,HILLSBORO,WI,N,N
79.2,15185,,,Grand Marsh State Bank,GRAND MARSH,WI,N,N
79.3,,1205857,,"MAUSTON BANCORP, INC.",LA CROSSE,WI, ,N
79.3,12327,,,Bank of Mauston,MAUSTON,WI,N,N
79.4,,1207516,,"OREGON BANCORP, INC.",OREGON,WI, ,N
79.4,22334,,,Oregon Community Bank & Trust,OREGON,WI,Y,N
79.5,,2029368,,DAIRYLAND BANK HOLDING CORPORATION,LA CROSSE,WI, ,N
79.5,15127,,,La Farge State Bank,LA FARGE,WI,Y,N
79.5,26689,,,Bank of Alma,ALMA,WI,N,N
79.6,,1123782,,"CLAYTON BANKSHARES, INC.",LA CROSSE,WI, ,Y
79.6,1513,,,Citizens State Bank of Clayton,CLAYTON,WI,Y,Y
83.1,,1202799,,"PEOTONE BANCORP, INC.",PEOTONE,IL, ,Y
83.1,,1245693,,"ROCK RIVER BANCORPORATION, INC.",OREGON,IL, ,Y
83.1,,3303515,,"LEGACY INTEGRITY GROUP, INC.",SCOTTSDALE,AZ, ,Y
83.1,10888,,,Peotone Bank and Trust Company,PEOTONE,IL,Y,Y
83.1,15302,,,Rock River Bank,OREGON,IL,Y,Y
83.1,57820,,,Legacy Bank,SCOTTSDALE,AZ,Y,Y
83.2,,1204739,,"IROQUOIS BANCORP, INC.",GILMAN,IL, ,Y
83.2,3673,,,The First National Bank of Gilman,GILMAN,IL,Y,Y
83.3,,1119682,,"SCOTT COUNTY BANCORP, INC.",WINCHESTER,IL, ,Y
83.3,,1840481,,JOHN WARNER FINANCIAL CORPORATION,CLINTON,IL, ,Y
83.3,,3169766,,"JW BANCORP, INC.",CLINTON,IL, ,Y
83.3,11710,,,"The First State Bank of Winchester, Illinois",WINCHESTER,IL,Y,Y
83.3,12093,,,The John Warner Bank,CLINTON,IL,Y,Y
83.4,,1143762,,"FOUNDERS GROUP, INC.",WORTH,IL, ,Y
83.4,,3382341,,"VERMILION HOLDINGS, INC.",WORTH,IL, ,Y
83.4,3644,,,The First National Bank of Danville,DANVILLE,IL,Y,Y
83.4,18390,,,Founders Bank,WORTH,IL,Y,Y
83.5,,1398919,,"TERRAPIN BANCORP, INC.",ELIZABETH,IL, ,Y
83.5,9262,,,The Elizabeth State Bank,ELIZABETH,IL,Y,Y
85.1,,1130285,,"FM BANCORP, INC.",PAXTON,IL, ,Y
85.1,,1200188,,"PREMIER BANCORP OF ILLINOIS, INC.",FARMER CITY,IL, ,Y
85.1,12104,,,Farmers-Merchants National Bank of Paxton,PAXTON,IL,Y,Y
85.1,15855,,,Farmer City State Bank,FARMER CITY,IL,Y,Y
85.2,,1204775,,LINCOLN S.B. CORP.,LINCOLN,IL, ,N
85.2,12396,,,State Bank of Lincoln,LINCOLN,IL,Y,N
85.3,,1208120,,"HEARTLAND BANCORP, INC.",BLOOMINGTON,IL, ,Y
85.3,20369,,,Heartland Bank and Trust Company,BLOOMINGTON,IL,Y,Y
87.1,27053,,,Community Financial Bank,PRENTICE,WI,Y,Y
87.2,,2330288,,"FIDELITY BANCORP, INC.",MEDFORD,WI, ,N
87.2,22153,,,Fidelity National Bank,MEDFORD,WI,Y,N
89.1,,1137181,,"METROPOLITAN BANCORP, INC.",CHICAGO,IL, ,Y
89.1,,1203312,,"PLAZA BANCORP, INC.",CHICAGO,IL, ,Y
89.1,,1204627,,"METROPOLITAN BANK GROUP, INC.",CHICAGO,IL, ,Y
89.1,,1206041,,"FIRSTCOM BANCORP, INC.",CHICAGO,IL, ,Y
89.1,,1207123,,"OSWEGO BANCSHARES, INC.",OSWEGO,IL, ,Y
89.1,,2310226,,"ALPHA BANCORP, INC.",CHICAGO,IL, ,Y
89.1,912,,,Metropolitan Bank and Trust Company,CHICAGO,IL,Y,Y
89.1,14267,,,Chicago Community Bank,CHICAGO,IL,Y,Y
89.1,16488,,,The First Commercial Bank,CHICAGO,IL,Y,Y
89.1,16641,,,"Citizens Community Bank of Illinois, National Association",BERWYN,IL,Y,Y
89.1,17899,,,Oswego Community Bank,OSWEGO,IL,Y,Y
89.1,18055,,,"Plaza Bank, Norridge, Illinois",NORRIDGE,IL,Y,Y
89.1,18625,,,Archer Bank,CHICAGO,IL,Y,Y
89.1,20624,,,North Community Bank,CHICAGO,IL,Y,Y
89.1,34987,,,Allegiance Community Bank,TINLEY PARK,IL,Y,Y
89.1,58353,,,Community Bank of DuPage,DOWNERS GROVE,IL,Y,Y
89.1,58575,,,Northwest Community Bank,ROLLING MEADOWS,IL,Y,Y
89.2,,1209305,,"NC BANCORP, INC.",CHICAGO,IL, ,Y
89.2,20435,,,Edens Bank,WILMETTE,IL,Y,Y
90.1,,1098581,,"COUNTRY BANCORP, INC.",HILLSBORO,IL, ,N
90.1,16276,,,National Bank,HILLSBORO,IL,N,N
90.2,,1099195,,"LBT BANCSHARES, INC.",LITCHFIELD,IL, ,N
90.2,,2976734,,"SECURITY BANCSHARES, INC.",WITT,IL, ,N
90.2,1047,,,Bank & Trust Company,LITCHFIELD,IL,N,N
90.2,3845,,,Security National Bank,WITT,IL,N,N
93.1,,1201532,,"F.N.B.C. OF LA GRANGE, INC.",LA GRANGE,IL, ,N
93.1,11306,,,State Bank of Illinois,WEST CHICAGO,IL,Y,N
93.1,13682,,,First National Bank of La Grange,LA GRANGE,IL,Y,N
93.2,,1201989,,FIRST ALGONQUIN COMPANY,LA GRANGE,IL, ,Y
93.2,13080,,,"Algonquin State Bank, National Association",ALGONQUIN,IL,Y,Y
93.3,,1204609,,"SCHAUMBURG BANCSHARES, INC.",SCHAUMBURG,IL, ,N
93.3,21721,,,Heritage Bank of Schaumburg,SCHAUMBURG,IL,Y,N
94.1,,1247361,,"SPRING BANCORP, INC.",SPRINGFIELD,IL, ,Y
94.1,19506,,,Bank of Springfield,SPRINGFIELD,IL,Y,Y
94.2,,1247370,,"STAUN BANCORP, INC.",STAUNTON,IL, ,Y
94.2,20028,,,First Community State Bank,STAUNTON,IL,Y,Y
97.1,,1203639,,"SCHUYLER BANCORP, INC.",SPRINGFIELD,IL, ,N
97.1,19710,,,Schuyler State Bank,RUSHVILLE,IL,Y,N
97.2,,1204467,,"COWDEN BANCORP, INC.",SPRINGFIELD,IL, ,N
97.2,920,,,Community Bank of Shelby County,COWDEN,IL,Y,N
97.3,,1204944,,"OAKWOOD BANCORP, INC.",SPRINGFIELD,IL, ,N
97.3,11724,,,United Community Bank,OAKWOOD,IL,Y,N
97.4,,1138384,,"CHRISMAN BANCORP, INC.",SPRINGFIELD,IL, ,N
97.4,3636,,,The First National Bank of Chrisman,CHRISMAN,IL,Y,N
97.5,,1406908,,"WELLINGTON BANCORP, INC.",SPRINGFIELD,IL, ,N
97.5,12387,,,Community Bank,HOOPESTON,IL,Y,N
97.6,,1823608,,"MARINE BANCORP, INC.",SPRINGFIELD,IL, ,N
97.6,20250,,,"Marine Bank, Springfield",SPRINGFIELD,IL,Y,N
99.1,,1209716,,"PARK BANCORPORATION, INC.",MADISON,WI, ,Y
99.1,19608,,,The Park Bank,MADISON,WI,Y,Y
99.2,,1416738,,DEERFIELD FINANCIAL CORPORATION,MADISON,WI, ,Y
99.2,2477,,,Bank of Deerfield,DEERFIELD,WI,Y,Y
101.1,8172,,,Lake-Osceola State Bank,BALDWIN,MI,Y,Y
101.2,,1206667,,WEST SHORE BANK CORPORATION,LUDINGTON,MI, ,Y
101.2,14929,,,West Shore Bank,LUDINGTON,MI,Y,Y
108.1,,1053357,,"FARM AND HOME INSURANCE AGENCY, INC.",LYONS,NE, ,N
108.1,5432,,,First National Bank Northeast,LYONS,NE,Y,N
