TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
3214,16748,,,First City Bank of Florida,FORT WALTON BEACH,FL,Y,Y
3216,,1143623,,CITIZENS AND NORTHERN CORPORATION,WELLSBORO,PA, ,Y
3216,,2645722,,CANISTEO VALLEY CORPORATION,CANISTEO,NY, ,Y
3216,591,,,First State Bank,CANISTEO,NY,Y,Y
3216,7799,,,Citizens & Northern Bank,WELLSBORO,PA,Y,Y
3217,,1143641,,GREATER CHICAGO FINANCIAL CORP.,CHICAGO,IL, ,N
3217,11694,,,Austin Bank of Chicago,CHICAGO,IL,Y,N
3218,,1143669,,"FAYETTE COUNTY BANCSHARES, INC.",SAINT ELMO,IL, ,N
3218,1802,,,Fayette County Bank,ST. ELMO,IL,Y,N
3219,,1143678,,"MCINTOSH COUNTY BANK HOLDING COMPANY, INC.",ASHLEY,ND, ,Y
3219,13794,,,McIntosh County Bank,ASHLEY,ND,Y,Y
3220,,1246403,,"CHERRY BANCORPORATION, INC.",CHERRY,IL, ,Y
3220,11686,,,State Bank of Cherry,CHERRY,IL,Y,Y
3221,,1143717,,HERITAGE CAPITAL CORPORATION,JONESBORO,AR, ,Y
3221,16983,,,Heritage Bank,JONESBORO,AR,Y,Y
3227,,1246467,,"TAMPA BANKING COMPANY, THE",TAMPA,FL, ,Y
3227,21031,,,The Bank of Tampa,TAMPA,FL,Y,Y
3228,,1246476,,"LYONS BANCORP, INC.",LYONS,NY, ,Y
3228,7151,,,The Lyons National Bank,LYONS,NY,Y,Y
3229,,1246494,,CNB FINANCIAL CORPORATION,LITCHFIELD,MN, ,N
3229,10976,,,Center National Bank,LITCHFIELD,MN,Y,N
3232,,1246515,,"FIRST GILMER BANKSHARES, INC.",GILMER,TX, ,Y
3232,,1830174,,"FIRST GILMER (DELAWARE) HOLDINGS, LTD.",WILMINGTON,DE, ,Y
3232,3218,,,The First National Bank of Gilmer,GILMER,TX,Y,Y
3232,17027,,,"Security State Bank, National Association",ORE CITY,TX,Y,Y
3232,23739,,,Wood County National Bank,QUITMAN,TX,Y,Y
3234,,1143810,,LEE CAPITAL CORP.,FORT MADISON,IA, ,Y
3234,5819,,,"Lee County Bank & Trust, National Association",FORT MADISON,IA,Y,Y
3236,,1246533,,FIRST CITIZENS BANC CORP,SANDUSKY,OH, ,Y
3236,12982,,,The Citizens Banking Company,SANDUSKY,OH,Y,Y
3238,,1246542,,"NW BANCSHARES, INC.",CHIPPEWA FALLS,WI, ,Y
3238,2468,,,Northwestern Bank,CHIPPEWA FALLS,WI,Y,Y
3239,,1246579,,"LIBERTY BANCSHARES, INC.",ADA,OH, ,N
3239,6516,,,Liberty National Bank,ADA,OH,Y,N
3242,,1143904,,"MARKET BANCORPORATION, INC.",ELKO NEW MARKET,MN, ,Y
3242,1931,,,New Market Bank,NEW MARKET,MN,Y,Y
3244,,1143913,,E M F CORPORATION,WOODWAY,WA, ,N
3244,13753,,,Blue Grass Savings Bank,BLUE GRASS,IA,Y,N
3245,,1246618,,"WYATT BANCSHARES, INC.",CALICO ROCK,AR, ,N
3245,11252,,,The First National Bank of Izard County,CALICO ROCK,AR,N,N
3246,,1143922,,"CANDO HOLDING COMPANY, INC.",CANDO,ND, ,Y
3246,15471,,,First State Bank of Cando,CANDO,ND,Y,Y
3248,,1143968,,"BUFFALO BANCSHARES, INC.",BUFFALO,MO, ,N
3248,8295,,,O'Bannon Banking Company,BUFFALO,MO,Y,N
3252,,1144040,,CITIZENS' CAPITAL CORPORATION,ROBERTSDALE,AL, ,Y
3252,23523,,,"Citizens' Bank, Inc.",ROBERTSDALE,AL,Y,Y
3253,,1246681,,CITIZENS CORPORATION,COLUMBIA,MS, ,Y
3253,324,,,Citizens Bank,COLUMBIA,MS,Y,Y
3254,,1426906,,"PSB BANCSHARES, INC.",CLANTON,AL, ,Y
3254,850,,,Peoples Southern Bank,CLANTON,AL,Y,Y
3255,,1144059,,"LEMONT BANCORP, INC.",LEMONT,IL, ,N
3255,3693,,,The Lemont National Bank,LEMONT,IL,N,N
3256,,1246690,,CCB FINANCIAL CORPORATION,SANDY,OR, ,N
3256,9486,,,Clackamas County Bank,SANDY,OR,N,N
3257,,1144068,,"SCC BANCSHARES, INC.",OSCEOLA,MO, ,N
3257,11002,,,St. Clair County State Bank,OSCEOLA,MO,Y,N
3259,,1246720,,"PEARL CITY BANCORP, INC.",PEARL CITY,IL, ,N
3259,16344,,,The State Bank of Pearl City,PEARL CITY,IL,N,N
3260,,1144095,,OSCEOLA BANCORPORATION,OSCEOLA,IA, ,Y
3260,26944,,,American State Bank,OSCEOLA,IA,Y,Y
3262,,1246793,,"BUTLER POINT, INC.",CATLIN,IL, ,N
3262,3615,,,The First National Bank of Catlin,CATLIN,IL,Y,N
3263,,1246805,,CENTRAL BANK CORPORATION,SAULT SAINTE MARIE,MI, ,Y
3263,1095,,,Central Savings Bank,SAULT STE. MARIE,MI,Y,Y
3265,,1144107,,"HONAT BANCORP, INC.",HONESDALE,PA, ,Y
3265,7526,,,The Honesdale National Bank,HONESDALE,PA,Y,Y
3267,,1144125,,"ASIA BANCSHARES, INC.",FLUSHING,NY, ,N
3267,25745,,,"Asia Bank, National Association",NEW YORK CITY,NY,Y,N
3269,,1246926,,"ALBANY BANCSHARES, INC.",ALBANY,TX, ,Y
3269,,1958395,,ALBANY BANCSHARES NEVADA FINANCIAL CORPORATION,RENO,NV, ,Y
3269,3067,,,The First National Bank of Albany,ALBANY,TX,Y,Y
3270,,1246935,,"NORTHERN BANCORP, INC.",WOBURN,MA, ,Y
3270,18266,,,Northern Bank & Trust Company,WOBURN,MA,Y,Y
3271,,1246944,,"GENBEACH CO., INC.",BEATTYVILLE,KY, ,N
3271,8785,,,Peoples Exchange Bank,STANTON,KY,Y,N
3273,,1246962,,"FARMERS BANCORP, INC. OF MARION, KENTUCKY",MARION,KY, ,N
3273,12869,,,Farmers Bank and Trust Company,MARION,KY,Y,N
3275,,1247026,,"GREENFIELD BANCSHARES, INC.",GREENFIELD,TN, ,Y
3275,15255,,,Greenfield Banking Company,GREENFIELD,TN,Y,Y
3278,,1245648,,BLISSFIELD BANK CORPORATION,BLISSFIELD,MI, ,Y
3278,976,,,The Blissfield State Bank,BLISSFIELD,MI,Y,Y
3280,,1141861,,"CROCKETT COUNTY NATIONAL BANCSHARES, INC",OZONA,TX, ,N
3280,24561,,,Crockett National Bank,OZONA,TX,Y,N
3281,,1143409,,"UNION BANCORP, INC.",POTTSVILLE,PA, ,Y
3281,9893,,,Union Bank and Trust Company,POTTSVILLE,PA,Y,Y
3283,,1143959,,PEOPLES LTD.,WYALUSING,PA, ,Y
3283,444,,,"People's State Bank of Wyalusing, Pennsylvania",WYALUSING,PA,Y,Y
3284,,1246663,,"SHAKOPEE BANCORPORATION, INC.",SHAKOPEE,MN, ,N
3284,22627,,,Citizens State Bank of Shakopee,SHAKOPEE,MN,N,N
3285,,1144086,,CENTRIC FINANCIAL CORPORATION,HARRISBURG,PA, ,Y
3285,7461,,,"Centric Bank, National Association",HARRISBURG,PA,Y,Y
3289,,1247017,,"FORSYTH BANCSHARES, INC.",FORSYTH,MT, ,N
3289,8317,,,First State Bank of Forsyth,FORSYTH,MT,Y,N
3292,,1144228,,"GROESBECK BANCSHARES, INC.",GROESBECK,TX, ,N
3292,15367,,,Farmers State Bank,GROESBECK,TX,N,N
3295,,1247204,,FIRST IPSWICH BANCORP,IPSWICH,MA, ,Y
3295,2595,,,The First National Bank of Ipswich,IPSWICH,MA,Y,Y
3296,,1144237,,"HANCOCK BANCORP, INC.",HAWESVILLE,KY, ,N
3296,8128,,,Hancock Bank & Trust Company,HAWESVILLE,KY,Y,N
3298,,1247419,,"ALLEGHENY VALLEY BANCORP, INC.",PITTSBURGH,PA, ,Y
3298,6058,,,Allegheny Valley Bank of Pittsburgh,PITTSBURGH,PA,Y,Y
3300,,1247183,,"MERCER COUNTY STATE BANCORP, INC.",SANDY LAKE,PA, ,N
3300,445,,,Mercer County State Bank,SANDY LAKE,PA,Y,N
3301,,1247231,,"FIRST STATE FREMONT, INC.",FREMONT,NE, ,Y
3301,17639,,,First State Bank & Trust Company,FREMONT,NE,Y,Y
3303,,1247334,,CAPITOL BANCORP LTD.,LANSING,MI, ,Y
3303,,3338674,,CAPITOL BANCORP COLORADO LIMITED,LANSING,MI, ,Y
3303,,3368206,,CAPITOL DEVELOPMENT BANCORP LIMITED III,LANSING,MI, ,Y
3303,,3428230,,CAPITOL DEVELOPMENT BANCORP LIMITED IV,LANSING,MI, ,Y
3303,,3444191,,CAPITOL DEVELOPMENT BANCORP LIMITED V,LANSING,MI, ,Y
3303,,3487376,,CAPITOL DEVELOPMENT BANCORP LIMITED VI,LANSING,MI, ,Y
3303,,3489802,,CAPITOL BANCORP COLORADO LTD. II,FORT COLLINS,CO, ,Y
3303,,3637694,,CAPITOL DEVELOPMENT BANCORP LIMITED VII,LANSING,MI, ,Y
3303,,3679564,,CAPITOL BANCORP COLORADO LTD. III,FORT COLLINS,CO, ,Y
3303,,3806801,,FINANCIAL CENTER CORPORATION,LANSING,MI, ,Y
3303,1627,,,Summit Bank of Kansas City,LEES SUMMIT,MO,Y,Y
3303,19786,,,Peoples State Bank,JEFFERSONVILLE,GA,Y,Y
3303,24199,,,Capitol National Bank,LANSING,MI,Y,Y
3303,27236,,,Portage Commerce Bank,PORTAGE,MI,Y,Y
3303,32195,,,Oakland Commerce Bank,FARMINGTON HILLS,MI,Y,Y
3303,33126,,,Paragon Bank & Trust,HOLLAND,MI,Y,Y
3303,33134,,,Ann Arbor Commerce Bank,ANN ARBOR,MI,Y,Y
3303,34008,,,Grand Haven Bank,GRAND HAVEN,MI,Y,Y
3303,34189,,,Bank of Tucson,TUCSON,AZ,Y,Y
3303,34262,,,Macomb Community Bank,CLINTON TOWNSHIP,MI,Y,Y
3303,34314,,,Brighton Commerce Bank,BRIGHTON,MI,Y,Y
3303,34527,,,Valley First Community Bank,SCOTTSDALE,AZ,Y,Y
3303,34608,,,Muskegon Commerce Bank,MUSKEGON,MI,Y,Y
3303,34609,,,Kent Commerce Bank,KENTWOOD,MI,Y,Y
3303,34707,,,Camelback Community Bank,PHOENIX,AZ,Y,Y
3303,34708,,,Southern Arizona Community Bank,TUCSON,AZ,Y,Y
3303,34911,,,Mesa Bank,MESA,AZ,Y,Y
3303,34919,,,Detroit Commerce Bank,DETROIT,MI,Y,Y
3303,35037,,,Sunrise Bank of Arizona,PHOENIX,AZ,Y,Y
3303,35253,,,Desert Community Bank,LAS VEGAS,NV,Y,Y
3303,35270,,,Elkhart Community Bank,ELKHART,IN,Y,Y
3303,35357,,,Red Rock Community Bank,LAS VEGAS,NV,Y,Y
3303,35421,,,Black Mountain Community Bank,HENDERSON,NV,Y,Y
3303,35428,,,Sunrise Bank of Albuquerque,ALBUQUERQUE,NM,Y,Y
3303,35530,,,First Carolina State Bank,ROCKY MOUNT,NC,Y,Y
3303,35578,,,Arrowhead Community Bank,GLENDALE,AZ,Y,Y
3303,57037,,,Goshen Community Bank,GOSHEN,IN,Y,Y
3303,57067,,,SUNRISE BANK OF SAN DIEGO,SAN DIEGO,CA,Y,Y
3303,57099,,,Yuma Community Bank,YUMA,AZ,Y,Y
3303,57260,,,Napa Community Bank,NAPA,CA,Y,Y
3303,57276,,,Bank of Las Vegas,LAS VEGAS,NV,Y,Y
3303,57590,,,Bank of Escondido,ESCONDIDO,CA,Y,Y
3303,57808,,,Point Loma Community Bank,SAN DIEGO,CA,Y,Y
3303,57861,,,Bank of Michigan,FARMINGTON HILLS,MI,Y,Y
3303,57984,,,Bank of Auburn Hills,AUBURN HILLS,MI,Y,Y
3303,58002,,,Bank of Bellevue,BELLEVUE,WA,Y,Y
3303,58025,,,Fort Collins Commerce Bank,FORT COLLINS,CO,Y,Y
3303,58069,,,Bank of San Francisco,SAN FRANCISCO,CA,Y,Y
3303,58098,,,Bank of Santa Barbara,SANTA BARBARA,CA,Y,Y
3303,58114,,,Bank of Belleville,BELLEVILLE,IL,Y,Y
3303,58185,,,Bank of Valdosta,VALDOSTA,GA,Y,Y
3303,58198,,,Ohio Commerce Bank,BEACHWOOD,OH,Y,Y
3303,58211,,,Sunrise Bank of Atlanta,ATLANTA,GA,Y,Y
3303,58250,,,Community Bank of Rowan,SALISBURY,NC,Y,Y
3303,58253,,,Asian Bank of Arizona,PHOENIX,AZ,Y,Y
3303,58279,,,Evansville Commerce Bank,EVANSVILLE,IN,Y,Y
3303,58317,,,Bank of Maumee,MAUMEE,OH,Y,Y
3303,58337,,,Bank of Everett,EVERETT,WA,Y,Y
3303,58358,,,1st Commerce Bank,NORTH LAS VEGAS,NV,Y,Y
3303,58477,,,Bank of Tacoma,TACOMA,WA,Y,Y
3303,58487,,,Sunrise Community Bank,PALM DESERT,CA,Y,Y
3303,58521,,,Larimer Bank of Commerce,FORT COLLINS,CO,Y,Y
3303,58541,,,USNY Bank,GENEVA,NY,Y,Y
3303,58594,,,High Desert Bank,BEND,OR,Y,Y
3303,58620,,,Issaquah Community Bank,ISSAQUAH,WA,Y,Y
3303,58630,,,Bank of Feather River,YUBA CITY,CA,Y,Y
3303,58642,,,Loveland Bank of Commerce,LOVELAND,CO,Y,Y
3303,58671,,,Bank of Fort Bend,SUGAR LAND,TX,Y,Y
3303,58688,,,Bank of Las Colinas,IRVING,TX,Y,Y
3303,58697,,,Adams Dairy Bank,BLUE SPRINGS,MO,Y,Y
3303,58698,,,Colonia Bank,PHOENIX,AZ,Y,Y
3303,58701,,,Pisgah Community Bank,ASHEVILLE,NC,Y,Y
3303,58724,,,Community Bank of Lincoln,LINCOLN,NE,Y,Y
3303,58772,,,Mountain View Bank of Commerce,WESTMINSTER,CO,Y,Y
3304,,1247389,,"RILEY COUNTY BANCSHARES, INC.",RILEY,KS, ,N
3304,16120,,,"The Riley State Bank of Riley, Kansas",RILEY,KS,N,N
3305,,1247455,,BANKFIRST CAPITAL CORPORATION,MACON,MS, ,Y
3305,8870,,,BankFirst Financial Services,MACON,MS,Y,Y
3310,,1247576,,215 HOLDING CO.,MINNEAPOLIS,MN, ,Y
3310,1600,,,First Farmers & Merchants State Bank,BROWNSDALE,MN,Y,Y
3310,5186,,,First Farmers and Merchants National Bank,LUVERNE,MN,Y,Y
3310,8855,,,First Farmers & Merchants National Bank,LE SUEUR,MN,Y,Y
3310,15621,,,First Farmers & Merchants State Bank of Grand Meadow,GRAND MEADOW,MN,Y,Y
3310,33131,,,First Farmers & Merchants National Bank,FAIRMONT,MN,Y,Y
3311,,1247633,,PROVIDENT BANKSHARES CORPORATION,BALTIMORE,MD, ,Y
3311,15951,,,Provident Bank of Maryland,BALTIMORE,MD,Y,Y
3312,,1247651,,"UNION SAVINGS BANCSHARES, INC.",SEDALIA,MO, ,Y
3312,1948,,,The Union Savings Bank,SEDALIA,MO,Y,Y
3313,,1247679,,"SUMMIT FINANCIAL GROUP, INC.",MOOREFIELD,WV, ,Y
3313,34102,,,"Summit Community Bank, Inc",MOOREFIELD,WV,Y,Y
3314,,1245675,,"BADGER BANK SERVICES, INC.",CASSVILLE,WI, ,Y
3314,13272,,,Badger State Bank,CASSVILLE,WI,Y,Y
3316,,1247295,,"IXONIA BANCSHARES, INC.",IXONIA,WI, ,Y
3316,12514,,,ISB Community Bank,IXONIA,WI,Y,Y
3317,,1247428,,"FIRST BUSINESS FINANCIAL SERVICES, INC.",MADISON,WI, ,Y
3317,15229,,,First Business Bank,MADISON,WI,Y,Y
3317,35445,,,First Business Bank-Milwaukee,BROOKFIELD,WI,Y,Y
3319,,1247624,,AGRICULTURAL BANKING CORPORATION,PAXTON,IL, ,N
3319,3723,,,First National Bank in Paxton,PAXTON,IL,Y,N
3319,10446,,,Cissna Park State Bank,CISSNA PARK,IL,Y,N
3321,,1247718,,"PHOENIX BANCORP, INC.",MINERSVILLE,PA, ,N
3321,15145,,,Miners Bank,MINERSVILLE,PA,N,N
3322,,1247736,,"MID-MO BANCSHARES, INC.",AUXVASSE,MO, ,N
3322,1427,,,United Security Bank,FULTON,MO,Y,N
3325,,1247811,,"FIRST NATIONAL HOLDING COMPANY, INC.",FULLERTON,NE, ,N
3325,5405,,,First National Bank and Trust of Fullerton,FULLERTON,NE,N,N
3328,,1247969,,"FIRST BANCSHARES, INC., OF COLD SPRING",COLD SPRING,MN, ,N
3328,5116,,,The First National Bank of Cold Spring,COLD SPRING,MN,Y,N
3329,,1248041,,"ELKCORP, INC.",CLYDE,KS, ,N
3329,15259,,,Elk State Bank,CLYDE,KS,Y,N
3331,,1246953,,"DUBLIN BANCSHARES, INC.",DUBLIN,TX, ,N
3331,26228,,,First National Bank of Dublin,DUBLIN,TX,Y,N
3332,,1208951,,CITIZENS FINANCIAL CORPORATION,FORT ATKINSON,WI, ,Y
3332,,1247727,,CITIZENS FINANCIAL CORPORATION EMPLOYEE STOCK OWNERSHIP PLAN AND TRUST,FORT ATKINSON,WI, ,Y
3332,2469,,,Badger Bank,FORT ATKINSON,WI,Y,Y
3333,,1247987,,"FIRST SOUTHERN BANCORP, INC.",STANFORD,KY, ,Y
3333,2700,,,First Southern National,LANCASTER,KY,Y,Y
3334,,1248023,,"MARION BANCSHARES, INC.",MARION,AL, ,N
3334,14184,,,Marion Bank and Trust Company,MARION,AL,Y,N
3335,,1248032,,OXFORD FINANCIAL CORPORATION,OAK BROOK,IL, ,Y
3335,9260,,,Oxford Bank & Trust,OAK BROOK,IL,Y,Y
3337,,1248078,,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",BOSTON,MA, ,Y
3337,23092,,,Borel Private Bank & Trust Company,SAN MATEO,CA,Y,Y
3337,24811,,,Boston Private Bank & Trust Company,BOSTON,MA,Y,Y
3337,24841,,,First Private Bank & Trust,GRANADA HILLS,CA,Y,Y
3337,32212,,,Gibraltar Private Bank & Trust Co.,CORAL GABLES,FL,Y,Y
3337,34623,,,Charter Bank,BELLEVUE,WA,Y,Y
3339,,1248144,,FNB FINANCIAL CORP.,SCOTTSVILLE,KY, ,N
3339,2769,,,The Farmers National Bank of Scottsville,SCOTTSVILLE,KY,Y,N
3340,,1248162,,"BNCCORP, INC.",BISMARCK,ND, ,Y
3340,57197,,,BNC National Bank,PHOENIX,AZ,Y,Y
3343,,1248304,,"SANDY SPRING BANCORP, INC.",OLNEY,MD, ,Y
3343,4865,,,SANDY SPRING BANK,OLNEY,MD,Y,Y
3344,,1247594,,"BOL BANCSHARES, INC.",NEW ORLEANS,LA, ,N
3344,17878,,,Bank of Louisiana,NEW ORLEANS,LA,N,N
3346,,1248377,,"OKAWVILLE BANCSHARES, INC.",OKAWVILLE,IL, ,Y
3346,3827,,,The Old Exchange National Bank of Okawville,OKAWVILLE,IL,Y,Y
3348,,1248489,,LITCHFIELD BANCSHARES COMPANY,LITCHFIELD,IL, ,N
3348,3808,,,The Litchfield National Bank,LITCHFIELD,IL,N,N
3351,,1248573,,"SECURITY STATE BANCSHARES, INC.",CHARLESTON,MO, ,Y
3351,1426,,,Focus Bank,CHARLESTON,MO,Y,Y
3352,,1248582,,"CHESTER COUNTY BANCSHARES, INC.",HENDERSON,TN, ,N
3352,9188,,,Farmers & Merchants Bank,ADAMSVILLE,TN,N,N
3352,19813,,,Chester County Bank,HENDERSON,TN,N,N
3354,,1363681,,COUNTY BANK CORP,LAPEER,MI, ,Y
3354,14913,,,Lapeer County Bank & Trust Co.,LAPEER,MI,Y,Y
3355,,1123876,,FIRST BEMIDJI HOLDING COMPANY,BEMIDJI,MN, ,N
3355,,1248546,,FIRST NATIONAL BANK OF BEMIDJI ESOP AND TRUST,BEMIDJI,MN, ,N
3355,5093,,,The First National Bank of Bemidji,BEMIDJI,MN,N,N
3356,,1248555,,"NATIONAL BANCSHARES WAUPUN, INC.",WAUPUN,WI, ,N
3356,5331,,,The National Bank of Waupun,WAUPUN,WI,Y,N
3357,,1248603,,"CAPAC BANCORP, INC.",CAPAC,MI, ,Y
3357,14538,,,CSB Bank,CAPAC,MI,Y,Y
3359,,1248658,,"PBT BANCSHARES, INC.",MCPHERSON,KS, ,N
3359,1365,,,Peoples Bank and Trust Company,MCPHERSON,KS,Y,N
3360,,1248742,,"COMMERCIAL BANK SHARES, INC.",HONEA PATH,SC, ,N
3360,14642,,,The Commercial Bank,HONEA PATH,SC,Y,N
3361,,1248760,,"BLUE RAPIDS BANCSHARES, INC.",BLUE RAPIDS,KS, ,Y
3361,15057,,,The State Bank of Blue Rapids,BLUE RAPIDS,KS,Y,Y
3362,,1248779,,"WELLS BANCSHARES, INC.",PLATTE CITY,MO, ,Y
3362,14025,,,Wells Bank of Platte City,PLATTE CITY,MO,Y,Y
3364,,1248809,,"FIRST NOKOMIS BANCORP, INC.",NOKOMIS,IL, ,N
3364,15763,,,First National Bank of Nokomis,NOKOMIS,IL,Y,N
3365,,1248818,,"FENTURA FINANCIAL, INC.",FENTON,MI, ,Y
3365,11406,,,The State Bank,FENTON,MI,Y,Y
3365,22308,,,West Michigan Community Bank,HUDSONVILLE,MI,Y,Y
3365,35345,,,Davison State Bank,DAVISON,MI,Y,Y
3365,58399,,,"Valley Capital Bank, National  Association",MESA,AZ,Y,Y
3366,,1248854,,"ORBISONIA COMMUNITY BANCORP, INC.",ORBISONIA,PA, ,N
3366,16976,,,Community State Bank of Orbisonia,ORBISONIA,PA,N,N
3367,,1248872,,"WSB FINANCIAL, LTD",WILLIAMSVILLE,IL, ,N
3367,12388,,,Williamsville State Bank & Trust,WILLIAMSVILLE,IL,Y,N
3369,,1248005,,"INDEPENDENT COMMUNITY BANCORP, INC.",FRANKFORT,KY, ,N
3369,27219,,,"The Bankers' Bank of Kentucky, Inc.",FRANKFORT,KY,Y,N
3370,,1248153,,"ORRSTOWN FINANCIAL SERVICES, INC.",SHIPPENSBURG,PA, ,N
3370,713,,,Orrstown Bank,ORRSTOWN,PA,Y,N
3372,,1248845,,"IRELAND BANCORP, LTD.",MALAD CITY,ID, ,N
3372,1237,,,Ireland Bank,MALAD CITY,ID,Y,N
3374,,1248993,,APPLE CREEK BANC CORP,APPLE CREEK,OH, ,Y
3374,737,,,The Apple Creek Banking Company,APPLE CREEK,OH,Y,Y
3377,,1249048,,"MARKET PLACE BANCSHARES, INC.",CHAMPAIGN,IL, ,N
3377,22434,,,"BankChampaign, National Association",CHAMPAIGN,IL,Y,N
3378,,1249057,,FARMERS STATE HOLDING COMPANY,MARION,SD, ,N
3378,9935,,,Farmers State Bank,MARION,SD,Y,N
3379,,1249075,,CAYUGA LAKE BANK CORPORATION,UNION SPRINGS,NY, ,Y
3379,6954,,,Cayuga Lake National Bank,UNION SPRINGS,NY,Y,Y
3380,,1249093,,"FIRST JONES BANCORPORATION, INC.",JONES,OK, ,N
3380,4126,,,"First State Bank, Jones, Oklahoma",JONES,OK,Y,N
3381,,1249178,,"HARRISON BANKSHARES, INC.",LOST CREEK,WV, ,N
3381,9030,,,The Harrison County Bank,LOST CREEK,WV,Y,N
3383,,1248939,,"SOUTHERN BANCORP, INC",ARKADELPHIA,AR, ,Y
3383,328,,,Southern Bancorp Bank,RULEVILLE,MS,Y,Y
3383,1528,,,SOUTHERN BANCORP BANK OF ARKANSAS,ARKADELPHIA,AR,Y,Y
3383,3874,,,"Southern Bancorp Bank, National Association",HELENA,AR,Y,Y
3384,,1249020,,"TSB BANCORP, INC.",FAYETTEVILLE,GA, ,Y
3384,178,,,Talbot State Bank,FAYETTEVILLE,GA,Y,Y
3385,,1398692,,GREATER PACIFIC BANCSHARES,WHITTIER,CA, ,N
3385,24211,,,"Bank of Whittier, National Association",WHITTIER,CA,Y,N
3386,,1249105,,SOMERS BANCORPORATION,SOMERS,IA, ,Y
3386,14809,,,Heartland Bank,SOMERS,IA,Y,Y
3387,,1249132,,"CAPITAL DIRECTIONS, INC.",MASON,MI, ,N
3387,1001,,,Mason State Bank,MASON,MI,Y,N
3388,,1249187,,WEST IOWA BANC CORP.,MARCUS,IA, ,Y
3388,8503,,,The Farmers State Bank,MARCUS,IA,Y,Y
3391,,1249271,,"POWELL VALLEY BANKSHARES, INC.",JONESVILLE,VA, ,N
3391,6863,,,Powell Valley National Bank,JONESVILLE,VA,Y,N
3392,,1249329,,BATH STATE BANCORP,BATH,IN, ,N
3392,8035,,,The Bath State Bank,BATH,IN,N,N
3393,,1249347,,"UNITED COMMUNITY BANKS, INC.",BLAIRSVILLE,GA, ,Y
3393,16889,,,United Community Bank,BLAIRSVILLE,GA,Y,Y
3394,,1067215,,"HARRISON COUNTY BANCSHARES, INC.",UNIONVILLE,MO, ,N
3394,,1249495,,"NORTHERN MISSOURI BANCSHARES, INC.",UNIONVILLE,MO, ,N
3394,4539,,,"Farmers Bank of Northern Missouri, National Association",UNIONVILLE,MO,N,N
3395,,1249280,,COOPER LAKE FINANCIAL CORPORATION,COOPER,TX, ,N
3395,3149,,,The First National Bank in Cooper,COOPER,TX,Y,N
3397,,1249299,,COMMERCIAL NATIONAL FINANCIAL CORPORATION,ITHACA,MI, ,N
3397,18584,,,Commercial Bank,ITHACA,MI,Y,N
3399,,1427136,,"INDEPENDENT BANCSHARES, INC.",OCALA,FL, ,N
3399,27344,,,Independent National Bank,OCALA,FL,Y,N
3404,,1249570,,"COMMUNITY BANCSHARES OF ALVA, INC.",ALVA,OK, ,N
3404,25750,,,Community Bank,ALVA,OK,Y,N
3405,,1249589,,"CITIZENS NATIONAL BANCORP, INC.",ATHENS,TN, ,N
3405,4917,,,The Citizens National Bank of Athens,ATHENS,TN,Y,N
3406,,1249619,,"CADIZ BANCORP, INC.",CADIZ,KY, ,N
3406,20239,,,Bank of Cadiz and Trust Company,CADIZ,KY,Y,N
3411,,1249383,,OXFORD BANK CORPORATION,OXFORD,MI, ,N
3411,9719,,,Oxford Bank,OXFORD,MI,Y,N
3413,,1249598,,"ORION BANCORP, INC.",NAPLES,FL, ,Y
3413,22427,,,Orion Bank,NAPLES,FL,Y,Y
3414,,1095759,,"PHELPS COUNTY BANCSHARES, INC.",ROLLA,MO, ,N
3414,,1249600,,PHELPS COUNTY BANK EMPLOYEE STOCK OWNERSHIP PLAN,ROLLA,MO, ,N
3414,18841,,,Phelps County Bank,ROLLA,MO,Y,N
3416,,1249682,,"COMMUNITYBANC, INC.",CROOKSVILLE,OH, ,N
3416,5981,,,The Community Bank,CROOKSVILLE,OH,Y,N
3417,,1249691,,"FS BANCSHARES, INC.",MARKESAN,WI, ,N
3417,10004,,,Farmers State Bank,MARKESAN,WI,Y,N
3418,,1249703,,"VOGEL BANCSHARES, INC.",ORANGE CITY,IA, ,Y
3418,13953,,,Iowa State Bank,ORANGE CITY,IA,Y,Y
3419,,1249730,,"S. Y. BANCORP, INC.",LOUISVILLE,KY, ,Y
3419,258,,,Stock Yards Bank & Trust Company,LOUISVILLE,KY,Y,Y
3420,,1249909,,"FARMMERC, INC.",CALDWELL,OH, ,Y
3420,10280,,,The Farmers and Merchants Bank,CALDWELL,OH,Y,Y
3421,,1249918,,DELMAR BANCORP,DELMAR,MD, ,Y
3421,8810,,,The Bank of Delmarva,SALISBURY,MD,Y,Y
3422,,1249945,,UNB CORP,MOUNT CARMEL,PA, ,Y
3422,7631,,,The Union National Bank of Mount Carmel,MOUNT CARMEL,PA,Y,Y
3424,,1250053,,"FREEDOM BANCSHARES, INC.",BELINGTON,WV, ,Y
3424,15664,,,"Freedom Bank, Inc.",BELINGTON,WV,Y,Y
3427,,1398740,,MIDDLEFIELD BANC CORP,MIDDLEFIELD,OH, ,N
