Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,9201,City of Turlock,Turlock,CA,"Turlock, CA",342,19,"69,507",MB,PT,,,,,,,,,,,,,,,,"442,597","539,013"
2007,9204,Las Vegas Monorail Company,Las Vegas,NV,"Las Vegas, NV",31,286,"1,314,357",AG,PT,,,,,,,,,,,,,,,,"2,217,870","2,217,870"
2007,9205,City of Elk Grove,Elk Grove,CA,"Sacramento, CA",28,369,"1,393,498",DR,PT,,,,,,,,,,,,,,,,"232,838","294,828"
2007,9205,City of Elk Grove,Elk Grove,CA,"Sacramento, CA",28,369,"1,393,498",MB,PT,,,,,,,,,,,,,,,,"3,520,501","3,520,501"
2007,9206,San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,"San Luis Obispo, CA",423,15,"53,498",DR,PT,,,,,,,,,,,,,,,,,0
2007,9206,San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,"San Luis Obispo, CA",423,15,"53,498",MB,PT,,,,,,,,,,,,,,,,,0
2007,9208,Butte County Association of Governments,Chico,CA,"Chico, CA",289,35,"89,221",DR,PT,,,,,,,,,,,,,,,,"424,683","697,306"
2007,9208,Butte County Association of Governments,Chico,CA,"Chico, CA",289,35,"89,221",MB,PT,,,,,,,,,,,,,,,,"3,257,143","5,393,060"
2007,9211,Anaheim Transportation Network,Anaheim,CA,"Los Angeles-Long Beach-Santa Ana, CA",2,"1,668","11,789,487",MB,PT,,,,,,,,,,,,,,,,,0
2007,9212,Imperial Valley Transit,El Centro,CA,"El Centro, CA",428,17,"52,954",DR,PT,,,,,,,,,,,,,,,,,0
2007,9212,Imperial Valley Transit,El Centro,CA,"El Centro, CA",428,17,"52,954",MB,PT,,,,,,,,,,,,,,,,,0
