Fiscal Year,Country,Auth. date,Obligor*,Principal supplier**,Guarantor***,Product,Interest rate,Loans,Guarantees,
2007,Sri Lanka,27-Jul-07,West Coast Power Ltd.,Nalco Co.,Ministry of Finance,Power Plant Equipment and Services  ,,,24113636.00,
2007,Turkey ,5-Mar-07,Municipality of Istanbul,DMK International LLS,None,Fire-Fighting Trucks and Equipment,,,49561707.00,
2007,United Arab Emirates,16-May-07,Emirates,The Boeing Co.,,Commercial Aircraft  ,, ,246891000.00,
,,,,,,,,,,
TOTALS 2007,,,,,,,,,7233990793.00,
,,,,,,,,,,
,,,,,,,,,,
2008,Brazil,14-Dec-07,GOL Transportes Aereos S.A.,The Boeing Co., ,Commercial Aircraft,,,308412021.00,
2008,Brazil,29-Feb-08,Lider Taxi Aereo S.A.,Sikorsky International Products Inc., ,Helicopters,3.98%,11817792.00,,
2008,Brazil,10-Jul-08,Tam Linhas Aereas S.A.,The Boeing Co., ,Commercial Aircraft, , ,518046258.00,
2008,Canada,8-Nov-07,WestJet Airlines Ltd.,The Boeing Co.,,Commercial Aircraft,, ,33192364.00,
2008,Canada,8-Nov-07,WestJet Airlines Ltd.,The Boeing Co.,,Commercial Aircraft,, ,100633479.00,
2008,Canada,10-Jan-08,Air Canada,The Boeing Co.,,Commercial Aircraft,, ,423428373.00,
2008,Chile,1-Nov-07,Lan Airlines S.A.,The Boeing Co., ,Commercial Aircraft,,,426821446.00,
2008,China,10-Jun-08,Bank of China,Harsco Corp.,Ministry of Finance,Railroad Track Equipment,,,126011280.00,
2008,China,21-Aug-08,Export Import Bank of China,Ministry of Finance,Ministry of Finance,Cotton-Harvesting Machines  ,,,10180644.00,
2008,Egypt,25-Mar-08,Egypt Basic Industries Corp.,Kellogg Brown & Root Inc.,None,Engineering Services  and Equipment,,,5516000.00,
2008,Ghana,28-Aug-08,Ministry of Finance and Economic Planning,Weldy-Lamont Associates Inc. P,none  ,Equipment for Rural Electrification project ,4.60%,344231003.00,,
