12/5/2008,First Midwest Bancorp&#44; Inc. ,Itasca ,IL ,193000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,United Community Banks&#44; Inc. ,Blairsville ,GA ,180000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Wesbanco Bank Inc. ,Wheeling ,WV ,75000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Encore Bancshares Inc. ,Houston ,TX ,34000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Manhattan Bancorp ,El Segundo ,CA ,1700000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Iberiabank Corporation ,Lafayette ,LA ,90000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Eagle Bancorp&#44; Inc. ,Bethesda ,MD ,38235000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Sandy Spring Bancorp&#44; Inc. ,Olney ,MD ,83094000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Coastal Banking Company&#44; Inc. ,Fernandina Beach ,FL ,9950000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,East West Bancorp ,Pasadena ,CA ,306546000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,South Financial Group&#44; Inc. ,Greenville ,SC ,347000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Great Southern Bancorp ,Springfield ,MO ,58000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Cathay General Bancorp ,Los Angeles ,CA ,258000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Southern Community Financial Corp. ,Winston-Salem ,NC ,42750000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,CVB Financial Corp ,Ontario ,CA ,130000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,First Defiance Financial Corp. ,Defiance ,OH ,37000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,First Financial Holdings Inc. ,Charleston ,SC ,65000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Superior Bancorp Inc. ,Birmingham ,AL ,69000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Southwest Bancorp&#44; Inc. ,Stillwater ,OK ,70000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Popular&#44; Inc. ,San Juan ,PR ,935000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Blue Valley Ban Corp ,Overland Park ,KS ,21750000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Central Federal Corporation ,Fairlawn ,OH ,7225000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Bank of Marin Bancorp ,Novato ,CA ,28000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Bank of North Carolina ,Thomasville ,NC ,31260000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Central Bancorp&#44; Inc. ,Somerville ,MA ,10000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Southern Missouri Bancorp&#44; Inc. ,Poplar Bluff ,MO ,9550000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,State Bancorp&#44; Inc. ,Jericho ,NY ,36842000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,TIB Financial Corp ,Naples ,FL ,37000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Unity Bancorp&#44; Inc. ,Clinton ,NJ ,20649000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Old Line Bancshares&#44; Inc. ,Bowie ,MD ,7000000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,FPB Bancorp&#44; Inc. ,Port St. Lucie ,FL ,5800000,Preferred Stock w/Warrants ,Purchase,Par 
12/5/2008,Sterling Financial Corporation ,Spokane ,WA ,303000000,Preferred Stock w/Warrants ,Purchase,Par 
