AK,Alaska Railroad Corporation(ARRC),0041,A,AR,DO,57,"1,551,649",,"3,595,366",,"137,819",,11.3,,43.2,,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,DO,6,"48,935",,"1,401,375",,"29,095",,1.7,,3.5,,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,DO,8,"273,294",,"2,572,399",,"292,183",,0.9,,10.6,,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,DR,PT,37,"1,302,135",,"5,235,681",,"185,977",,7.0,,24.9,,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,DO,46,"3,770,857",,"21,719,335",,"4,220,677",,0.9,,17.4,,
AK,"VPSI, Anchorage",0049,D,VP,DO,52,"203,839",,"797,628",,"181,180",,1.1,,25.6,,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,DO,10,"349,467",,"772,075",Q,"40,647",,8.6,,45.3,Q,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,MB,DO,2,"10,982",,"301,457",Q,"15,854",Q,0.7,Q,3.6,Q,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,DO,26,"208,862",,"4,007,621",,"139,392",,1.5,,5.2,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,DO,71,"2,499,582",,"19,386,457",,"3,083,764",,0.8,,12.9,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,DO,14,"130,241",,"1,258,036",,"86,093",,1.5,,10.4,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,1,0,,"9,794",,"2,256",,0.0,,0.0,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,DO,13,"176,314",,"1,872,673",,"303,298",,0.6,,9.4,,
AL,Montgomery Area Transit System(MATS),4044,A,DR,DO,8,"70,800",,"1,398,528",,"37,205",,1.9,,5.1,,
AL,Montgomery Area Transit System(MATS),4044,A,MB,DO,25,"687,767",,"5,024,309",,"1,294,206",Q,0.5,Q,13.7,,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,DO,28,"139,637",,"931,038",,"173,427",,0.8,,15.0,,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,DO,52,"52,691",,"1,248,485",,"398,151",Q,0.1,Q,4.2,,
AL,Regional Planning Commission of Greater Birmingham(RPCGB),4169,B,VP,PT,42,"177,900",,"473,644",,"112,102",,1.6,,37.6,,
AL,The Wave Transit System(WTS),4043,A,DR,DO,25,"224,591",,"2,260,146",,"105,067",,2.1,,9.9,,
AL,The Wave Transit System(WTS),4043,A,MB,DO,23,"858,088",,"6,164,790",,"1,093,004",,0.8,,13.9,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,DR,DO,5,"74,690",,"371,721",,"13,349",,5.6,,20.1,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,MB,DO,6,"210,701",,"848,135",,"197,114",,1.1,,24.8,,
AL,Wiregrass Transit Authority,4103,B,DR,DO,13,"59,535",,"1,422,857",,"121,308",,0.5,,4.2,,
AL,Wiregrass Transit Authority,4103,B,DR,PT,19,0,,"385,725",,"26,839",,0.0,,0.0,,
AR,Central Arkansas Transit Authority(CATA),6033,A,DR,DO,17,"152,157",,"1,314,733",,"57,920",,2.6,,11.6,,
AR,Central Arkansas Transit Authority(CATA),6033,A,LR,DO,3,"66,267",,"818,119",,"134,204",,0.5,,8.1,,
AR,Central Arkansas Transit Authority(CATA),6033,A,MB,DO,46,"1,802,888",,"11,108,147",,"2,452,572",,0.7,,16.2,,
AR,Fort Smith Transit(FST),6086,A,DR,DO,4,"70,345",,"853,755",Q,"28,873",,2.4,,8.2,Q,
AR,Fort Smith Transit(FST),6086,A,MB,DO,7,"101,229",,"1,228,573",,"224,433",,0.5,,8.2,,
AR,Ozark Regional Transit(ORT),6072,A,DR,DO,6,"34,615",,"933,749",,"17,417",,2.0,,3.7,,
AR,Ozark Regional Transit(ORT),6072,A,MB,DO,8,"72,201",,"1,331,629",,"187,839",,0.4,,5.4,,
