Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,5020,Springfield City Area Transit,Springfield,OH,"Springfield, OH",286,44,"89,684",DR,PT,,,"8,816","12,192",,,,,,,,,,,,,"11,503","11,415"
2008,5020,Springfield City Area Transit,Springfield,OH,"Springfield, OH",286,44,"89,684",MB,DO,"322,513","378,434","428,382","453,644","486,519","547,485","571,326","606,021","596,115","601,389","563,581","605,587","561,052","554,114","299,720","401,370",,
2008,5020,Springfield City Area Transit,Springfield,OH,"Springfield, OH",286,44,"89,684",MB,PT,,,,,,,,,,,,,,,,,"436,890","451,628"
2008,5021,Portage Area Regional Transportation Authority,Kent,OH,"Akron, OH",60,308,"570,215",DR,DO,,,,,,"17,490",,"64,005","71,911","99,010","113,560","101,061","106,888","136,034","156,615","156,455","139,465","126,437"
2008,5021,Portage Area Regional Transportation Authority,Kent,OH,"Akron, OH",60,308,"570,215",DR,PT,,,,,,"34,980",,,,,,,,,,,,
2008,5021,Portage Area Regional Transportation Authority,Kent,OH,"Akron, OH",60,308,"570,215",MB,DO,,,,,,"5,327",,"15,810","60,622","57,763","52,785","65,762","122,365","823,561","1,096,803","1,113,663","1,223,110","1,299,113"
2008,5021,Portage Area Regional Transportation Authority,Kent,OH,"Akron, OH",60,308,"570,215",MB,PT,,,,,,"10,657",,,,,,,,,,,,
2008,5022,Toledo Area Regional Transit Authority,Toledo,OH,"Toledo, OH-MI",71,202,"503,008",DR,DO,,,,,,,,,,,,,,,,,,"38,902"
2008,5022,Toledo Area Regional Transit Authority,Toledo,OH,"Toledo, OH-MI",71,202,"503,008",DR,PT,"39,619","40,369","42,802","46,728","41,738","35,684","36,395","37,508","41,665","50,359","69,801","85,779","85,718","88,398","88,291","108,961","123,035","95,794"
2008,5022,Toledo Area Regional Transit Authority,Toledo,OH,"Toledo, OH-MI",71,202,"503,008",MB,DO,"5,972,130","5,877,361","5,709,004","4,973,609","4,650,478","4,500,642","5,109,781","4,305,055","4,561,472","4,543,313","4,318,845","3,529,225","4,345,537","5,048,621","5,600,427","6,136,765","5,642,579","6,823,241"
2008,5024,Western Reserve Transit Authority,Youngstown,OH,"Youngstown, OH-PA",80,228,"417,437",DR,DO,"26,543","26,543","30,989","30,157","30,157","28,900","29,233","27,712","23,686","23,040","22,577","20,765","20,861","21,361","23,787","24,858","20,948","20,178"
2008,5024,Western Reserve Transit Authority,Youngstown,OH,"Youngstown, OH-PA",80,228,"417,437",MB,DO,"1,522,113","1,522,113","1,337,646","1,337,652","1,337,652","1,133,647","1,133,647","1,133,647","1,366,313","1,366,313","1,340,286","1,340,286","1,085,095","1,488,241","1,403,017","1,516,779","1,152,981","1,290,294"
2008,5024,Western Reserve Transit Authority,Youngstown,OH,"Youngstown, OH-PA",80,228,"417,437",MB,PT,,,,,,,,,,,,0,,,,,,
2008,5025,Duluth Transit Authority,Duluth,MN,"Duluth, MN-WI",225,66,"118,265",DR,PT,"23,267","24,453","28,566","28,589","30,286","30,904","34,495","35,962","33,035","30,036","27,392","26,882","27,021","26,740","25,296","23,749","24,050","24,519"
2008,5025,Duluth Transit Authority,Duluth,MN,"Duluth, MN-WI",225,66,"118,265",MB,DO,"3,576,348","3,413,636","3,427,644","3,217,005","3,076,689","3,241,936","3,085,340","3,038,021","2,997,931","3,016,317","3,148,881","3,048,337","2,771,990","2,647,051","2,709,249","2,692,931","2,854,467","3,219,758"
2008,5026,City of Moorhead Transit,Moorhead,MN,"Fargo, ND-MN",197,46,"142,477",DR,PT,"12,319","11,028",,"11,299","12,242","7,333","4,821","4,326","4,822","4,326","3,887","3,385",887,0,0,0,0,
2008,5026,City of Moorhead Transit,Moorhead,MN,"Fargo, ND-MN",197,46,"142,477",MB,PT,"371,962","353,234",,"360,656","343,630","367,599","365,987","356,970","321,833","321,648","318,060","310,853","298,423","280,279","319,746","344,824","356,732",
2008,5027,Metro Transit,Minneapolis,MN,"Minneapolis-St. Paul, MN",16,894,"2,388,593",LR,DO,,,,,,,,,,,,,,"2,938,777","7,901,668","8,957,912","9,101,036","10,221,681"
2008,5027,Metro Transit,Minneapolis,MN,"Minneapolis-St. Paul, MN",16,894,"2,388,593",MB,DO,"65,293,256","66,220,555","66,512,143","65,466,920","61,058,888","61,887,880","62,044,603","66,027,426","71,874,147","73,477,709","73,347,859","69,589,375","67,235,776","53,962,653","61,797,145","64,398,737","67,865,688","71,614,054"
2008,5027,Metro Transit,Minneapolis,MN,"Minneapolis-St. Paul, MN",16,894,"2,388,593",MB,PT,"83,492","82,848","85,880","95,117","50,986","17,408","20,754","21,345",,,,,,,,,,
2008,5028,St. Cloud Metropolitan Transit Commission,St. Cloud,MN,"St. Cloud, MN",280,39,"91,305",DR,DO,,,,,"6,918","11,035","10,195","9,344","84,181","97,009","109,583","117,543","125,292","130,073","131,229","134,748","139,965","136,580"
2008,5028,St. Cloud Metropolitan Transit Commission,St. Cloud,MN,"St. Cloud, MN",280,39,"91,305",DR,PT,"56,290","58,397","60,224","61,440","71,582","75,272","78,219","83,497","14,185","3,216","1,058",,,,,,,
2008,5028,St. Cloud Metropolitan Transit Commission,St. Cloud,MN,"St. Cloud, MN",280,39,"91,305",MB,DO,"1,446,890","1,587,429","1,434,944","1,362,799","1,382,221","1,594,003","1,545,982","1,586,658","1,498,213","1,515,523","1,457,409","1,511,674","1,533,902","1,675,287","1,723,166","1,832,885","1,889,824","2,186,854"
2008,5028,St. Cloud Metropolitan Transit Commission,St. Cloud,MN,"St. Cloud, MN",280,39,"91,305",MB,PT,"171,493","138,800","193,159","213,593","228,943",,,,,,,,,,,,,
2008,5029,Bay Metropolitan Transit Authority,Bay City,MI,"Bay City, MI",326,40,"74,048",DR,DO,"88,785","57,131","73,725","61,841","61,688","69,000","65,800","67,000","93,800","112,700","142,300","138,700","140,115","143,308","55,066","59,827","62,145","62,873"
2008,5029,Bay Metropolitan Transit Authority,Bay City,MI,"Bay City, MI",326,40,"74,048",MB,DO,"611,609","533,285","542,700","564,129","557,938","482,000","476,365","489,600","497,500","498,300","513,300","478,600","486,257","449,420","525,916","518,490","548,835","581,618"
2008,5030,Battle Creek Transit,Battle Creek,MI,"Battle Creek, MI",313,51,"79,135",DR,DO,"30,380","30,896","34,885","33,621","29,806","26,508","36,321","34,548","35,215","37,908","35,703","37,657","34,832","31,110","30,224","26,780","27,388","26,779"
2008,5030,Battle Creek Transit,Battle Creek,MI,"Battle Creek, MI",313,51,"79,135",MB,DO,"727,928","738,762","739,060","762,245","728,085","594,320","534,458","549,082","587,541","568,675","568,255","539,664","503,685","522,800","496,648","517,949","433,298","484,829"
2008,5031,Suburban Mobility Authority for Regional Transportation,Detroit,MI,"Detroit, MI",9,"1,262","3,903,377",DR,DO,"537,295","518,896","504,481","519,534","519,034","501,876","511,248","476,891","502,100","500,867","438,543","409,746","382,242","373,535","385,038","423,546","445,375","451,317"
2008,5031,Suburban Mobility Authority for Regional Transportation,Detroit,MI,"Detroit, MI",9,"1,262","3,903,377",DR,PT,"507,455","500,877","451,872","452,100","372,629","390,401","376,288","384,146","377,723","369,598","361,703","361,042","408,579","391,214","359,532","384,202","368,188","350,458"
2008,5031,Suburban Mobility Authority for Regional Transportation,Detroit,MI,"Detroit, MI",9,"1,262","3,903,377",MB,DO,"9,703,025","7,097,286","7,543,439","7,751,431","8,606,134","8,565,613","8,390,764","7,861,647","9,170,840","10,485,993","11,584,652","10,552,225","8,235,475","8,765,399","9,638,570","10,684,202","10,801,201","11,784,415"
2008,5031,Suburban Mobility Authority for Regional Transportation,Detroit,MI,"Detroit, MI",9,"1,262","3,903,377",MB,PT,"1,211,378","1,386,926","1,332,921","1,422,137","311,115","400,740","398,915","325,602","239,161","241,832","346,190","317,546","178,708","218,735","227,306","233,537","234,349","239,291"
2008,5032,Mass Transportation Authority,Flint,MI,"Flint, MI",86,231,"365,096",DR,DO,,,,,"125,876","205,612","264,750","388,845","437,469","484,982","441,205","459,446","467,169","534,611","658,420","730,400","649,248","672,336"
2008,5032,Mass Transportation Authority,Flint,MI,"Flint, MI",86,231,"365,096",DR,PT,"193,819","199,663","259,949","263,730","125,642","52,325","45,319",,,,,,,,,,,
2008,5032,Mass Transportation Authority,Flint,MI,"Flint, MI",86,231,"365,096",MB,DO,"3,231,663","4,212,236","6,453,402","6,224,452","5,253,582","5,197,433","5,406,382","6,135,736","6,455,078","6,565,036","6,171,850","5,336,465","2,913,925","3,457,338","4,081,665","4,584,462","4,629,815","5,466,706"
2008,5033,Interurban Transit Partnership,Grand Rapids,MI,"Grand Rapids, MI",67,257,"539,080",DR,DO,,,,,,,,,,,,,,,,,"4,880","3,783"
2008,5033,Interurban Transit Partnership,Grand Rapids,MI,"Grand Rapids, MI",67,257,"539,080",DR,PT,"141,960","148,763","180,149","177,401","187,304","174,288","176,407","217,418","368,305","402,040","425,665","389,402","397,887","402,956","395,067","410,997","406,379","417,405"
2008,5033,Interurban Transit Partnership,Grand Rapids,MI,"Grand Rapids, MI",67,257,"539,080",MB,DO,"3,637,987","3,470,199","3,728,068","3,338,307","3,111,975","3,299,177","3,460,449","3,581,328","3,903,756","4,172,380","4,777,960","5,208,455","5,427,949","5,273,942","6,069,439","7,048,057","7,745,112","8,619,972"
2008,5033,Interurban Transit Partnership,Grand Rapids,MI,"Grand Rapids, MI",67,257,"539,080",MB,PT,,,,,,,,,,"68,614",,,,,,,,
2008,5033,Interurban Transit Partnership,Grand Rapids,MI,"Grand Rapids, MI",67,257,"539,080",VP,DO,,,,,,,,,,,,,,,,"1,800","35,774","37,309"
2008,5033,Interurban Transit Partnership,Grand Rapids,MI,"Grand Rapids, MI",67,257,"539,080",VP,PT,,,,,,,,,,,,,,,"3,859",921,454,
2008,5034,City of Jackson Transportation Authority,Jackson,MI,"Jackson, MI",292,52,"88,050",DR,DO,"114,102","108,769","102,064","106,922","95,195","94,208","90,553","98,197","111,249","127,130","207,063","197,089","169,096","151,501","194,870","116,043","74,536","57,219"
2008,5034,City of Jackson Transportation Authority,Jackson,MI,"Jackson, MI",292,52,"88,050",MB,DO,"689,704","721,636","759,936","761,062","709,476","665,268","627,324","618,065","593,106","593,573","585,576","531,774","516,765","494,029","513,072","559,435","480,404","504,154"
2008,5035,Kalamazoo Metro Transit System,Kalamazoo,MI,"Kalamazoo, MI",161,108,"187,961",DR,DO,,,,,,,,,,,426,583,804,746,733,739,639,170
2008,5035,Kalamazoo Metro Transit System,Kalamazoo,MI,"Kalamazoo, MI",161,108,"187,961",DR,PT,,,,"1,066","5,776","8,356","10,985","12,775","19,400","18,942","16,647","21,252","25,509","28,207","92,783","101,412","96,751","99,360"
2008,5035,Kalamazoo Metro Transit System,Kalamazoo,MI,"Kalamazoo, MI",161,108,"187,961",MB,DO,"1,655,945","1,663,805","1,550,547","1,505,940","1,462,590","1,467,616","1,462,590","2,028,144","2,127,599","2,107,500","2,326,834","2,594,785","2,938,789","2,870,019","2,821,101","2,782,397","2,901,864","2,903,805"
2008,5035,Kalamazoo Metro Transit System,Kalamazoo,MI,"Kalamazoo, MI",161,108,"187,961",MB,PT,"33,993","34,006","24,054","21,648","21,648","21,728",,,,,,,,,,,,
2008,5035,Kalamazoo Metro Transit System,Kalamazoo,MI,"Kalamazoo, MI",161,108,"187,961",VP,DO,,,,,,,,,,,,,,,"8,970","12,178","13,276","14,663"
2008,5036,Capital Area Transportation Authority,Lansing,MI,"Lansing, MI",104,137,"300,032",DR,DO,"30,584","36,558","33,578","29,150","33,346","39,437","39,726","41,172","43,261","56,007","64,209","68,687","81,725","104,913","116,529","129,445","153,384","152,783"
2008,5036,Capital Area Transportation Authority,Lansing,MI,"Lansing, MI",104,137,"300,032",DR,PT,"154,198","199,429","226,588","233,156","246,155","266,808","283,081","288,540","294,034","378,698","335,543","346,469","346,005","305,148","305,295","326,765","343,627","361,599"
2008,5036,Capital Area Transportation Authority,Lansing,MI,"Lansing, MI",104,137,"300,032",MB,DO,"5,110,319","5,152,799","4,267,114","3,984,248","3,534,575","3,644,317","3,768,880","4,163,134","4,621,247","6,042,878","7,888,300","8,263,710","8,278,681","8,278,214","8,932,953","9,572,798","10,186,019","10,797,282"
2008,5037,Muskegon Area Transit System,Muskegon Heights,MI,"Muskegon, MI",185,100,"154,729",DR,DO,,,,,,"6,314","9,493","10,151","10,768","11,787","12,605","13,070","12,570","13,754","14,109","14,758","14,215","12,865"
2008,5037,Muskegon Area Transit System,Muskegon Heights,MI,"Muskegon, MI",185,100,"154,729",DR,PT,"7,038","8,886","9,263","9,263","8,945","3,141","18,980","15,163","26,985",,,,,,,,,
2008,5037,Muskegon Area Transit System,Muskegon Heights,MI,"Muskegon, MI",185,100,"154,729",MB,DO,"581,455","605,834","628,913","615,995","579,601","431,504","339,252","417,671","417,456","486,687","455,921","389,310","395,231","402,391","419,907","478,873","515,162","598,297"
2008,5037,Muskegon Area Transit System,Muskegon Heights,MI,"Muskegon, MI",185,100,"154,729",MB,PT,,,,,,,,,,,,,,"8,072","3,799",,,
2008,5038,Niles Dial-A-Ride,Niles,MI,"South Bend, IN-MI",113,156,"276,498",DR,PT,"103,312","103,451","103,544","103,182","104,132","103,431","104,914","105,006","97,690","94,900","94,274","94,017","101,218","104,246","102,545","95,112","75,940",
2008,5039,Saginaw Transit Authority Regional Service,Saginaw,MI,"Saginaw, MI",200,74,"140,985",DR,DO,"37,158","37,206","27,315","27,315",,"27,231","27,231","31,861","36,218",,"64,696","74,726","66,159","53,222","25,935","25,901","24,729","24,895"
2008,5039,Saginaw Transit Authority Regional Service,Saginaw,MI,"Saginaw, MI",200,74,"140,985",MB,DO,"1,336,769","1,433,718","1,158,834","1,158,834",,"1,156,695","1,156,591","1,114,632","1,777,120",,"876,542","952,032","834,224","737,208","616,650","687,694","772,222","989,049"
2008,5040,Ann Arbor Transportation Authority,Ann Arbor,MI,"Ann Arbor, MI",112,129,"283,904",DR,DO,"24,591","22,699",0,"21,402","21,599","18,449","17,783","18,498","21,729","20,109","22,503","22,189","19,213","18,451","1,990",,,
2008,5040,Ann Arbor Transportation Authority,Ann Arbor,MI,"Ann Arbor, MI",112,129,"283,904",DR,PT,"312,633","304,591","292,522","298,464","307,843","302,507","292,192","270,256","244,688","230,998","229,501","224,066","215,137","205,238","187,671","188,442","206,919","224,656"
2008,5040,Ann Arbor Transportation Authority,Ann Arbor,MI,"Ann Arbor, MI",112,129,"283,904",MB,DO,"3,882,511","3,872,508","3,836,037","3,764,690","3,764,329","3,831,861","3,912,755","4,062,460","4,048,409","4,274,143","4,157,303","4,229,510","4,054,511","4,188,064","4,701,100","5,338,018","5,470,584","5,950,982"
2008,5040,Ann Arbor Transportation Authority,Ann Arbor,MI,"Ann Arbor, MI",112,129,"283,904",MB,PT,,,,,,,,,,,,,,,,,,"3,801"
2008,5041,City of Anderson Transportation System,Anderson,IN,"Anderson, IN",265,63,"97,038",DR,DO,"29,352","33,759","32,566","32,345",,"31,345","33,203","44,109","44,880","45,590","45,790","44,443",,"48,793","38,809","29,243","24,918","27,210"
2008,5041,City of Anderson Transportation System,Anderson,IN,"Anderson, IN",265,63,"97,038",MB,DO,"281,028","262,425","254,709","154,541",,"225,147","228,439","225,295","234,533","212,904","275,475","167,070",,"168,716","168,387","159,850","150,118","155,157"
2008,5042,East Chicago Transit,East Chicago,IN,"Chicago, IL-IN",3,"2,123","8,307,904",DR,DO,,,,,,,373,"2,359","4,283","5,666","7,139","7,139","6,095","6,104",,"6,489","6,264","6,581"
2008,5042,East Chicago Transit,East Chicago,IN,"Chicago, IL-IN",3,"2,123","8,307,904",DR,PT,,,,,,640,0,,,,,,,,,,,
2008,5042,East Chicago Transit,East Chicago,IN,"Chicago, IL-IN",3,"2,123","8,307,904",MB,DO,,"203,226","185,973","134,243","136,847","125,500","204,858","244,296","234,209","231,930","254,458","272,471","271,575","270,558",,"189,835","270,041","265,736"
2008,5043,Metropolitan Evansville Transit System,Evansville,IN,"Evansville, IN-KY",142,106,"211,989",DR,DO,,"69,916","58,330","63,242","66,619","68,972","58,797","43,810","51,174","43,590","45,892","43,396","43,344","42,760","42,760",0,"60,180","57,835"
2008,5043,Metropolitan Evansville Transit System,Evansville,IN,"Evansville, IN-KY",142,106,"211,989",DR,PT,"54,339",,,,,,,,,,,,,,,,,
2008,5043,Metropolitan Evansville Transit System,Evansville,IN,"Evansville, IN-KY",142,106,"211,989",MB,DO,"1,564,472","1,653,652","1,285,485","1,259,314","1,244,885","1,259,088","1,222,474","1,192,749","1,309,428","1,343,798","1,311,422","1,342,372","1,342,376","1,342,684",0,0,"1,643,200","1,579,254"
2008,5044,Fort Wayne Public Transportation Corporation,Fort Wayne,IN,"Fort Wayne, IN",110,135,"287,759",DR,DO,"7,905","9,725","11,756","14,414","19,680","22,386","22,386","23,375","29,693","30,875","40,627","42,157","43,583","44,219","44,955","48,736","48,744","51,688"
2008,5044,Fort Wayne Public Transportation Corporation,Fort Wayne,IN,"Fort Wayne, IN",110,135,"287,759",MB,DO,"1,756,172","1,470,742","1,312,421","1,312,421","1,304,594","1,475,171","1,475,171","1,483,893","1,694,427","1,313,026","1,371,596","1,393,485","1,510,502","1,603,607","1,713,381","1,886,851","1,934,680","2,061,609"
2008,5045,Gary Public Transportation Corporation,Gary,IN,"Chicago, IL-IN",3,"2,123","8,307,904",DR,DO,,,,,,,,,,,,,,"5,924","6,166","7,185","16,664","10,526"
2008,5045,Gary Public Transportation Corporation,Gary,IN,"Chicago, IL-IN",3,"2,123","8,307,904",DR,PT,,112,"1,020","2,750","3,043",0,"4,250",0,"9,581","8,198",,,,,,,,
2008,5045,Gary Public Transportation Corporation,Gary,IN,"Chicago, IL-IN",3,"2,123","8,307,904",MB,DO,"2,025,132","2,069,175","2,526,941","2,862,471","2,082,261","2,112,740","2,343,965","2,196,114","2,315,225","1,804,704","1,734,209","1,304,092","1,288,619","1,514,043","1,477,528","764,035","928,657","890,424"
2008,5047,Bloomington-Normal Public Transit System,Bloomington,IL,"Bloomington-Normal, IL",237,37,"112,415",DR,DO,"33,327","28,466","28,182","27,584","26,077","22,692","25,052","16,278","23,996","27,150","25,265","22,290","22,366","20,496","20,418","18,494","19,394","27,563"
2008,5047,Bloomington-Normal Public Transit System,Bloomington,IL,"Bloomington-Normal, IL",237,37,"112,415",MB,DO,"787,765","721,951","734,157","765,936","687,370","771,367","794,017","840,436","800,730","807,377","809,958","812,678","694,984","1,497,801","1,294,175","1,545,326","1,399,293","1,704,594"
2008,5048,Northwest Indiana Community Action Corporation,Crown Point,IN,"Chicago, IL-IN",3,"2,123","8,307,904",DR,DO,"241,075","240,948","251,720","252,960","251,968",,"277,300","285,600","276,700","282,600","197,160","147,059","155,865","124,221","117,230","101,339","98,988","65,586"
2000,5049,"Tradewinds Rehabilitation Center, Inc.",Gary,IN,"Chicago, IL--Northwestern IN",3,"1,585","6,792,087",DR,DO,"117,234","71,383","86,823","119,451","131,307",,,"108,928","109,511","109,511",,,,,,,,
2008,5050,Indianapolis and Marion County Public Transportation,Indianapolis,IN,"Indianapolis, IN",33,553,"1,218,919",DR,DO,"28,736","25,836",,,,,,"210,378","199,265","145,714","126,775","155,552","167,603","191,929","192,548","191,707","117,318","52,571"
2008,5050,Indianapolis and Marion County Public Transportation,Indianapolis,IN,"Indianapolis, IN",33,553,"1,218,919",DR,PT,,"2,513","62,937","87,094","95,066","125,982","181,787","26,372","32,727","109,941","168,786","159,517","141,818","141,453","131,591","147,863","186,547","247,676"
2008,5050,Indianapolis and Marion County Public Transportation,Indianapolis,IN,"Indianapolis, IN",33,553,"1,218,919",MB,DO,"11,628,362","11,547,237","11,029,417","11,326,460","10,455,670","10,242,229","8,264,430","8,838,371","9,729,940","11,145,136","10,095,881","9,654,299","10,929,538","8,948,847","8,486,044","9,694,417","9,086,657","9,386,002"
2008,5050,Indianapolis and Marion County Public Transportation,Indianapolis,IN,"Indianapolis, IN",33,553,"1,218,919",MB,PT,,,,,"318,446","1,697,869","1,261,649","1,292,132","1,277,424","317,119","311,892","278,125","85,614","17,297",,,"18,544","203,849"
2008,5051,Greater Lafayette Public Transportation Corporation,Lafayette,IN,"Lafayette, IN",212,55,"125,738",DR,DO,"11,196","15,597","19,215","24,427","22,560","23,524","22,658","24,293","22,997","22,243","24,661","26,225","23,075","22,202","20,477","19,879","18,164","20,805"
2008,5051,Greater Lafayette Public Transportation Corporation,Lafayette,IN,"Lafayette, IN",212,55,"125,738",DR,PT,"2,301",30,,,,,,,,,,,,,,,,
2008,5051,Greater Lafayette Public Transportation Corporation,Lafayette,IN,"Lafayette, IN",212,55,"125,738",MB,DO,"1,893,149","1,846,650","1,892,187","1,926,275","1,909,270","1,861,856","1,633,726","1,671,409","2,112,336","2,787,923","3,103,734","3,518,761","3,886,982","4,233,369","4,231,208","4,326,202","4,646,717","5,007,283"
2008,5052,South Bend Public Transportation Corporation,South Bend,IN,"South Bend, IN-MI",113,156,"276,498",DR,DO,,,,,"17,375","32,397","28,143","24,916","24,107","26,790","28,523","29,902","30,834","31,198","34,086","34,848","34,540","38,920"
2008,5052,South Bend Public Transportation Corporation,South Bend,IN,"South Bend, IN-MI",113,156,"276,498",DR,PT,"22,798","24,957","24,324","21,012","6,528",,,,,,,,,,,,,
