3/13/09 0:00,Purchase,Preferred Stock w/Warrants,72927000,Par,YES,,First Place Financial Corp.,,Warren,,OH
3/13/09 0:00,Purchase,Preferred Stock w/Warrants,8816000,Par,YES,,"Salisbury Bancorp, Inc.",,Lakeville,,CT
3/13/09 0:00,Purchase,Preferred Stock w/Warrants,17390000,Par,YES,,First Northern Community Bancorp,,Dixon,,CA
3/13/09 0:00,Purchase,Preferred Stock w/Warrants,1224558000,Par,YES,,Discover Financial Services,,Riverwoods,,IL
3/13/09 0:00,Purchase,Preferred Stock w/Warrants,9266000,Par,YES,,"Provident Community Bancshares, Inc.",,Rock Hill,,SC
3/13/09 0:00,Purchase,Preferred Stock,17000000,Par,YES,,First American International Corp.,,Brooklyn,,NY
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,21100000,Par,YES,,"BancIndependent, Inc.",,Sheffield,,AL
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,425000,Par,YES,,"Haviland Bancshares, Inc.",,Haviland,,KS
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,10000000,Par,YES,,"1st United Bancorp, Inc.",,Boca Raton,,FL
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,3370000,Par,YES,,Madison Financial Corporation,,Richmond,,KY
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,3000000,Par,YES,,"St. Johns Bancshares, Inc.",,St. Louis,,MO
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,10000000,Par,YES,,"Blackhawk Bancorp, Inc.",,Beloit,,WI
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,6000000,Par,YES,,IBW Financial Corporation,,Washington,,DC
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,607000,Par,YES,,"Butler Point, Inc.",,Catlin,,IL
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,2672000,Par,YES,,Bank of George,,Las Vegas,,NV
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,9516000,Par,YES,,Moneytree Corporation,,Lenoir City,,TN
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,18215000,Par,YES,,"Sovereign Bancshares, Inc.",,Dallas,,TX
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,6398000,Par,YES,,First Intercontinental Bank,,Doraville,,GA
3/13/09 0:00,Purchase,Preferred Stock w/ Exercised Warrants,13900000,Par,YES,,First National Corporation,,Strasburg,,VA
