Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2009-01-02,2246527000000,80000000000,86550000000,18000000,4000000,0,,450219000000,38476000000,23797000000,38924000000,332410000000,26974000000,20059000000,27990000000,,173171000000,,,625741000000,,475961000000
2008-12-29,2207272000000,80000000000,86260000000,51000000,3000000,0,,420806000000,45679000000,24858000000,40018000000,325796000000,26918000000,20033000000,28085000000,,177596000000,,,613939000000,,476067000000
2008-12-18,2253739000000,80000000000,88407000000,3000000,2000000,0,,447959000000,50493000000,29274000000,44347000000,315267000000,26892000000,17519000000,19608000000,,181575000000,,,642233000000,,476178000000
2008-12-11,2241457000000,80000000000,90161000000,78000000,2000000,0,,447959000000,52802000000,40826000000,56723000000,308518000000,27054000000,,20957000000,,185146000000,,,628030000000,,476286000000
2008-12-04,2117751000000,80000000000,90333000000,158000000,4000000,0,,406508000000,57198000000,51936000000,55944000000,297576000000,26994000000,,21153000000,,190892000000,,,542474000000,,476389000000
2008-11-28,2093892000000,80000000000,93628000000,225000000,5000000,0,,406508000000,52418000000,57318000000,79585000000,282197000000,26928000000,,6010000000,,187447000000,,,520864000000,,476415000000
2008-11-20,2178894000000,80000000000,91552000000,112000000,9000000,85177000000,,415302000000,50170000000,69798000000,,265691000000,26945000000,,,,191256000000,,,606429000000,,476431000000
2008-11-13,2198204000000,80000000000,95380000000,89000000,10000000,82275000000,,415302000000,64933000000,80244000000,,249910000000,26876000000,,,,199999000000,,,615041000000,,476446000000
2008-11-06,2055846000000,80000000000,109994000000,0,10000000,80257000000,,301363000000,77020000000,91729000000,,226008000000,26850000000,,,,199999000000,,,573915000000,,476462000000
2008-10-30,1872948000000,80000000000,111946000000,1000000,17000000,89549000000,,301363000000,87393000000,99902000000,,40819000000,26809000000,,,,197499000000,,,546006000000,,476485000000
2008-10-23,1803300000000,80000000000,105754000000,0,19000000,87332000000,,263092000000,111255000000,114219000000,,,29137000000,,,,197499000000,,,522906000000,,476528000000
2008-10-16,1740078000000,80000000000,99659000000,4000000,25000000,77101000000,,263092000000,131125000000,129616000000,,,29492000000,,,,194546000000,,,440320000000,,476552000000
2008-10-09,1494726000000,81143000000,75010000000,4000000,39000000,65151000000,,149000000000,134066000000,145890000000,,,29452000000,,,,191343000000,,,325071000000,,476594000000
2008-10-02,1388565000000,83000000000,44463000000,286000000,74000000,53176000000,,149143000000,147692000000,122104000000,,,29413000000,,,,233565000000,,,271888000000,,476612000000
2008-09-25,1134942000000,111714000000,39357000000,19000000,95000000,38375000000,,150000000000,88147000000,21760000000,,,29373000000,,,,185636000000,,,176891000000,,476557000000
2008-09-18,931340000000,124500000000,21598000000,8000000,96000000,6000000000,,150000000000,,,,,29333000000,,,,117270000000,,,100791000000,,479818000000
2008-09-11,888283000000,110821000000,19796000000,0,95000000,0,,150000000000,,,,,29293000000,,,,115899000000,,,99563000000,,479762000000
2008-09-04,893846000000,115893000000,18976000000,0,93000000,0,,150000000000,,,,,29253000000,,,,116105000000,,,101404000000,,479701000000
2008-08-28,884355000000,103393000000,18469000000,0,100000000,0,,150000000000,,,,,29213000000,,,,117348000000,,,104788000000,,479604000000
2008-08-21,887648000000,107714000000,17513000000,0,95000000,0,,150000000000,,,,,29183000000,,,,118989000000,,,104575000000,,479500000000
