"state_name","year","sf1_fuel_revenue_for_highways","sf1_vehicle_revenue_for_highways","sf1_toll_revenue_for_highways","state_user","sf1_general_funds_for_highways","sf1_other_imposts_for_highways","sf1_miscellaneous_for_highways","state_non_user","sf1_bonds_original_for_highways","state_bonds","lgf1_fuel_vehicle_revenue_for_highways","lgf1_toll_revenue_for_highways","local_user","lgf1_general_funds_for_highways","lgf1_property_tax_funds_for_highways","lgf1_other_imposts_for_highways","lgf1_miscellanious_for_highways","local_non_user","lgf1_bonds_original_for_highways","local_bonds","sf1_fhwa_funds_for_highways","sf1_other_federal_funds_for_highways","lgf1_fhwa_funds_for_highways","lgf1_other_federal_funds_for_highways","federal"
"Alabama",1995,759089473.222446,201417055.748492,0,960506528.970938,19856030.3418022,7114216.04825443,5278148.41893621,32248394.8089929,15477715.2257357,15477715.2257357,0,0,0,91528189.7276549,121794912.813014,7724297.2034363,101205037.835862,322252437.579967,56788508.8649241,56788508.8649241,486553553.6465,5150016.81593859,0,5196610.12611954,496900180.588558
"Alabama",1996,732598434.519573,201433492.170819,0,934031926.690392,20170138.7900356,7104197.86476868,6924183.27402135,34198519.9288256,0,0,0,0,0,93085970.1067616,127491435.943061,7594631.31672598,103447439.857651,331619477.224199,57101478.6476868,57101478.6476868,502568136.298932,3200574.3772242,0,541461.209964413,506310171.886121
"Alabama",1997,716327441.125987,161927477.171301,0,878254918.297288,0,6894021.97047717,10779942.3274974,17673964.2979746,0,0,44610146.9275661,0,44610146.9275661,249352481.290766,104963603.844834,20249993.1342259,77629531.4109166,452195609.680742,3317115.68829385,3317115.68829385,449994226.227257,3537254.03364229,0,7702107.44936492,461233587.710264
"Alabama",1998,704485051.351351,205615646.959459,0,910100698.310811,6812813.85135135,9138024.66216216,5741709.7972973,21692548.3108108,0,0,49046069.9324324,0,49046069.9324324,537779008.445946,148246990.878378,6728.04054054054,69728066.5540541,755760793.918919,2397873.64864865,2397873.64864865,407834979.054054,3447447.97297297,0,8699356.41891892,419981783.445946
"Alabama",1999,713128573.361941,201573062.881664,0,914701636.243604,29138547.2850305,9059862.35352368,6686759.53127579,44885169.16983,0,0,31892924.2449249,0,31892924.2449249,168676993.233207,212998139.627001,389162.568080541,154185946.525829,536250241.954118,52589.5362271002,52589.5362271002,533177698.30005,3771984.48588876,0,13782402.7067173,550732085.492656
"Alabama",2000,692549006.912072,181979755.023308,0,874528761.93538,18850262.9802283,8898205.11171837,2237036.16781868,29985504.2597653,0,0,30717951.1332583,0,30717951.1332583,286087090.178428,275004349.461501,409760.488667417,189291418.742967,750792618.871564,55061.5656646841,55061.5656646841,688649879.762096,4675111.07538981,0,13184043.7228741,706509034.56036
"Alabama",2001,681578394.765884,287954008.513322,0,969532403.279206,0,13699058.4896737,6196475.48478638,19895533.97446,0,0,33816881.9170739,0,33816881.9170739,264037170.42409,44671388.9326817,0,203188886.331389,511897445.68816,111034209.679962,111034209.679962,864477403.121551,3846737.82122024,0,1297316.41179253,869621457.354564
"Alabama",2002,730698346.895075,233162066.381156,0,963860413.276231,56852481.7987152,5821588.86509636,41281132.7623126,103955203.426124,0,0,34448259.1006424,0,34448259.1006424,385455464.668094,44539175.5888651,0,246841216.27409,676835856.531049,110955000,110955000,927518736.616702,4927271.94860814,0,1060021.41327623,933506029.978587
"Alabama",2003,632578227.367792,273235942.037646,0,905814169.405438,74563140.4242605,6795019.42037646,4883845.83208844,86242005.6767254,238004182.850314,238004182.850314,45292195.9964147,0,45292195.9964147,333886547.953391,84437933.97072,2288410.21810577,109655667.164625,530268559.306842,304689384.822229,304689384.822229,698581547.355841,10530495.0702121,0,194721932.17807,903833974.604123
"Alabama",2004,603296584.961349,241459928.32045,0,844756513.281799,179419175.263528,5618185.24244554,3432713.42234715,188470073.92832,0,0,43392587.772312,0,43392587.772312,431301520.168658,99302375.8257203,2239212.93042867,111420996.2052,644264105.130007,303424548.137737,303424548.137737,589403388.334504,12364933.8018271,0,998688.966971188,602767011.103303
"Alabama",2005,510908813.859791,236598544.721998,0,747507358.581789,67003838.3024443,53606280.1504163,8236668.5468708,128846786.999731,63597479.989256,63597479.989256,41716121.1388665,0,41716121.1388665,1026314149.07333,187100435.401558,7224603.5455278,56142861.6706957,1276782049.69111,39679153.1023368,39679153.1023368,617412072.79076,47112374.6978243,0,26980197.9586355,691504645.44722
"Alabama",2006,659572672.687395,187024742.871888,0,846597415.559283,81368101.148239,49878197.9099471,0,131246299.058186,0,0,40946123.8549865,0,40946123.8549865,978028707.52161,194452207.973165,7444936.65333505,56090876.2740292,1236016728.42214,38379861.1792027,38379861.1792027,776400830.344472,29308014.7077796,0,0,805708845.052251
"Alabama",2007,661580000,183562000,0,845142000,62127000,48422000,28090000,138639000,0,0,122806000,0,122806000,310902000,95323000,55682000,50980000,512887000,31002000,31002000,724717000,60434000,0,12815000,797966000
"Alaska",1995,28852907.3295558,33518062.5114239,23340336.3187717,85711306.1597514,180313198.318406,0,34691631.5116066,215004829.830013,0,0,1167744.83641016,0,1167744.83641016,2654362.63937123,18185951.3800037,0,15129721.4403217,35970035.4596966,100107182.964723,100107182.964723,333197497.349662,4120595.86912813,0,2795598.61085725,340113691.829647
"Alaska",1996,26320401.0676157,32929913.1672598,21545053.3807829,80795367.6156584,180794181.494662,0,33168042.7046263,213962224.199288,0,0,1224666.19217082,0,1224666.19217082,2755498.93238434,17007835.2313167,0,15465662.9893238,35228997.1530249,100969758.718861,100969758.718861,345195695.729537,2829205.69395018,0,2562727.40213523,350587628.825623
"Alaska",1997,23266298.661174,32729512.8733265,21056711.2941984,77052522.8286989,179594604.8747,0,30217748.0260899,209812352.90079,0,0,1737862.34122897,0,1737862.34122897,80771630.2780639,162419711.980776,0,16710004.4627532,259901346.721593,27515925.8496395,27515925.8496395,305862404.737384,2638925.50635084,0,2972551.32166152,311473881.565396
"Alaska",1998,31176394.2567568,32369948.6486486,20049560.8108108,83595903.7162162,161206542.567568,0,29737939.1891892,190944481.756757,0,0,1672590.87837838,0,1672590.87837838,39170652.027027,115169252.364865,0,11849425,166189329.391892,19511317.5675676,19511317.5675676,267286212.162162,1511117.90540541,0,2376343.91891892,271173673.986486
"Alaska",1999,33137981.5151015,41895454.0353194,20904340.6502723,95937776.2006932,179798365.406833,0,30238983.3305826,210037348.737415,0,0,2824058.09539528,0,2824058.09539528,25525646.1462287,57025463.6078561,9665956.75854101,1768323.15563624,93985389.6682621,105101502.888265,105101502.888265,238560598.448589,1824856.90708038,0,5670466.74368708,246055922.099356
"Alaska",2000,35236841.0223437,30460570.3263141,20359974.2806623,86057385.6293201,130687985.854364,0,28811284.3594277,159499270.213792,0,0,2968202.5397846,0,2968202.5397846,37199849.863366,63354093.554091,10171023.6296415,1860568.71885549,112585535.765954,106921877.511654,106921877.511654,394841365.375342,1592943.89969458,0,5014443.98006751,401448753.255104
"Alaska",2001,34058009.4592464,30402164.2755794,19968374.586158,84428548.3209838,99537951.7578433,0,28257133.8483367,127795085.60618,0,0,12065168.2169321,0,12065168.2169321,39968145.987703,65973500.2364812,10041957.4333911,1937811.44568816,117921415.103263,113931507.803878,113931507.803878,390723320.510799,1945346.68138105,0,0,392668667.19218
"Alaska",2002,19419104.9250535,23085316.9164882,21381972.1627409,63886394.0042827,167310368.308351,525137.04496788,28145396.1456103,195980901.498929,0,0,12055002.1413276,0,12055002.1413276,39421830.8351178,65926021.4132762,10034869.379015,1955556.74518201,117338278.372591,120283188.436831,120283188.436831,396167773.019272,3108177.73019272,0,1013721.62740899,400289672.376874
"Alaska",2003,32462580.5198685,31938971.3175978,22834121.3026591,87235673.1401255,99062100.9859576,0,27913130.5646848,126975231.550642,135502921.422169,135502921.422169,12127503.1371377,0,12127503.1371377,43037106.363908,68252459.5159845,10094947.4155961,1948064.23662982,123332577.532118,117480054.675829,117480054.675829,474719573.050493,5065919.03196893,0,2365761.57753212,482151253.659994
"Alaska",2004,32334234.71539,36009902.7406887,22721293.6050597,91065431.0611384,103098961.349262,0,29063864.2304989,132162825.579761,0,0,11979789.1777934,0,11979789.1777934,45349659.8735067,71919040.8995081,10447047.926915,1905570.2037948,129621318.903725,111026894.729445,111026894.729445,438976422.487702,5595793.11314125,0,0,444572215.600843
"Alaska",2005,33670953.2634972,42416863.8195004,23270006.1778136,99357823.2608112,93672713.9403707,0,28424476.7660489,122097190.70642,0,0,2291589.04109589,0,2291589.04109589,60376203.3306473,99752592.8015042,8475242.00913242,2201722.80419017,170805760.945474,42691811.7109858,42691811.7109858,411265344.345958,8432448.56298684,0,4124218.37228042,423822011.281225
"Alaska",2006,30057235.9695523,40547361.3727261,25711958.1989421,96316555.5412205,177898426.267578,0,28881503.2898981,206779929.557476,0,0,20685289.8980777,0,20685289.8980777,60987021.8036382,99659788.4143982,8467536.31789447,2735839.50458005,171850186.040511,96752316.6043091,96752316.6043091,348494771.513353,12280445.61992,0,2138723.51954587,362913940.652819
"Alaska",2007,31638000,51676000,23811000,107125000,162812000,0,17000,162829000,0,0,1995000,0,1995000,25131000,108474000,8213000,4041000,145859000,54877000,54877000,375927000,6966000,0,3081000,385974000
"Arizona",1995,655795016.633157,289682257.722537,0,945477274.355694,5988696.39919576,174149777.006032,60079161.396454,240217634.801682,0,0,1978759.6417474,0,1978759.6417474,37474125.7539755,21431466.6422957,239215878.632791,109724333.394261,407845804.423323,36053029.7934564,36053029.7934564,302419703.893255,7505891.06196308,0,9541436.30049351,319467031.255712
"Arizona",1996,671129830.24911,309452168.683274,0,980581998.932384,10969550.5338078,226995564.05694,72785427.0462634,310750541.637011,208008985.765125,208008985.765125,105502724.55516,0,105502724.55516,55102891.4590747,14394080.0711744,264394658.362989,62201419.5729537,396093049.466192,58137625.6227758,58137625.6227758,373550119.928826,4690301.42348754,0,2348694.30604982,380589115.658363
"Arizona",1997,653242081.016135,273800143.494679,0,927042224.510814,797146.927566083,240567457.260556,62720285.9594919,304084890.147614,0,0,0,0,0,31332112.9419842,21847021.6271885,308653102.643323,91558409.2001373,453390646.412633,30201340.1991075,30201340.1991075,422876190.181943,4620170.61448678,0,11356950.9097151,438853311.706145
"Arizona",1998,645618733.445946,257729703.378378,0,903348436.824324,0,244133679.054054,40944163.5135135,285077842.567568,0,0,0,0,0,60131189.527027,22015494.2567568,314359620.608108,45392743.9189189,441899048.310811,35459464.8648649,35459464.8648649,356840468.581081,6819541.89189189,0,10942485.1351351,374602495.608108
"Arizona",1999,761892220.82852,252536267.700941,0,1014428488.52946,48420500.7426968,218104583.594653,52401528.6350883,318926612.972438,198411117.016009,198411117.016009,9944681.30054464,0,9944681.30054464,97921716.4548605,22145453.7052319,368699979.534577,110507707.212411,599274856.90708,90636750.9490015,90636750.9490015,506435919.128569,6468512.95593332,0,5164292.45750124,518068724.542004
"Arizona",2000,717185856.293201,259564062.047902,0,976749918.341103,147700729.143225,302898794.727536,72573704.5491079,523173228.419868,327672657.772062,327672657.772062,10909873.01077,0,10909873.01077,187402678.990516,22091212.3452821,335510607.619354,80532021.5399454,625536520.495097,113631705.513583,113631705.513583,544210588.008359,8825216.52467449,0,4491999.35701656,557527803.89005
"Arizona",2001,714713337.852751,253418767.460192,0,968132105.312943,60264303.3265017,648450986.914709,115262732.776289,823978023.0175,572366456.250985,572366456.250985,5044840.29638972,0,5044840.29638972,238917206.369226,16405463.9760366,330553207.630459,39107873.2460981,624983751.221819,131401951.757843,131401951.757843,492874743.18146,6927393.34699669,0,7536491.56550528,507338628.093962
