"state_name","year","sf1_fuel_revenue_for_highways","sf1_vehicle_revenue_for_highways","sf1_toll_revenue_for_highways","state_user","sf1_general_funds_for_highways","sf1_other_imposts_for_highways","sf1_miscellaneous_for_highways","state_non_user","sf1_bonds_original_for_highways","state_bonds","lgf1_fuel_vehicle_revenue_for_highways","lgf1_toll_revenue_for_highways","local_user","lgf1_general_funds_for_highways","lgf1_property_tax_funds_for_highways","lgf1_other_imposts_for_highways","lgf1_miscellanious_for_highways","local_non_user","lgf1_bonds_original_for_highways","local_bonds","sf1_fhwa_funds_for_highways","sf1_other_federal_funds_for_highways","lgf1_fhwa_funds_for_highways","lgf1_other_federal_funds_for_highways","federal"
"Arizona",2002,722074402.569593,236856301.927195,0,958930704.496788,448454852.248394,659307732.334047,64108145.6102784,1171870730.19272,190172715.203426,190172715.203426,0,0,0,126127927.194861,18646629.5503212,116833854.389722,107661623.126338,369270034.261242,749398586.723769,749398586.723769,642096396.14561,65711580.2997859,27846884.3683084,10318760.1713062,745973620.985011
"Arizona",2003,715144258.440394,297321965.342097,0,1012466223.78249,51805180.4601135,689198232.446967,2374091.72393188,743377504.631013,415521982.671049,415521982.671049,0,0,0,571187428.443382,19305709.2919032,118676025.694652,110410140.424261,819579303.854198,267326298.177472,267326298.177472,533112709.291903,13241362.7128772,20230.3555422767,3709295.18972214,550083597.550045
"Arizona",2004,703416273.506676,356437914.265636,0,1059854187.77231,0,706314934.645116,14793360.224877,721108294.869993,394112671.820098,394112671.820098,0,0,0,281492577.090654,18888880.6746311,115512038.229093,116923861.981729,532817357.976107,258956018.552354,258956018.552354,482662347.1539,12284322.1363317,0,3929818.69290232,498876487.983134
"Arizona",2005,668409022.56245,307102886.919151,0,975511909.481601,0,857225475.154445,36038500.6715015,893263975.825947,340438981.466559,340438981.466559,0,0,0,241794738.920226,11621630.1369863,158621396.991673,121843639.538007,533881405.586892,35044622.8847703,35044622.8847703,544314447.757185,16067869.1915122,47671899.0061778,6643682.51410153,614697898.468977
"Arizona",2006,701585588.956264,287734879.886466,0,989320468.84273,1672130.305767,871954804.025287,60909941.4269127,934536875.757967,145529806.734615,145529806.734615,0,0,0,271356841.439814,11611387.9499419,178093696.555283,109694625.725713,570756551.670752,94932191.975229,94932191.975229,448952084.892272,16003941.6849439,0,3363787.64030448,468319814.21752
"Arizona",2007,709806000,328465000,0,1038271000,246188000,828634000,1927087000,3001909000,26693000,26693000,0,0,0,129283000,14677000,243214000,165699000,552873000,72350000,72350000,372428000,22681000,0,12669000,407778000
"Arkansas",1995,466285463.717785,148776807.530616,0,615062271.248401,29923097.4227746,0,43063866.9347468,72986964.3575215,0,0,0,0,0,43304113.6903674,48781739.7185158,84644028.1484189,39230111.1314202,215959992.688722,0,0,347197331.018095,4155540.85176385,0,2331121.54999086,353683993.41985
"Arkansas",1996,467137862.989324,168350495.729537,0,635488358.718861,15725054.0925267,1841251.60142349,28745637.0106762,46311942.7046263,0,0,0,0,0,55359447.6868327,46956876.8683274,83504091.1032029,40099313.1672598,225919728.825623,11722209.9644128,11722209.9644128,373316242.704626,3878109.60854092,0,2403974.3772242,379598326.690391
"Arkansas",1997,466013734.63783,138008967.387573,0,604022702.025403,67876445.5887401,1747433.57363543,23051629.5914864,92675508.753862,0,0,0,0,0,49710246.4812908,67925669.0696876,69696347.0648816,26919774.802609,214252037.418469,4006244.42155853,4006244.42155853,400974475.798146,4107426.0212839,0,7892164.77857879,412974066.598009
"Arkansas",1998,463224245.608108,143261512.837838,0,606485758.445946,16326263.1756757,1879814.52702703,22728666.5540541,40934744.2567568,0,0,0,0,0,60054489.8648649,68499526.3513514,69028350.3378378,26419669.5945946,224002036.148649,3954742.22972973,3954742.22972973,379387478.040541,4615435.81081081,0,9828321.62162162,393831235.472973
"Arkansas",1999,476945021.950817,153962440.996864,0,630907462.947681,9880259.11866645,2994974.08813336,16655106.1231226,29530339.3299224,0,0,0,0,0,37416140.2871761,55518773.3949497,73943517.4121142,44690587.8857897,211569018.98003,37964386.2023436,37964386.2023436,350690692.853606,5829550.09077405,0,5265527.31473841,361785770.259119
"Arkansas",2000,505137364.410866,157406930.718534,0,662544295.129401,14682230.5095644,1905386.27230349,33876948.4005787,50464565.1824466,229093247.709371,229093247.709371,0,0,0,36413621.9257354,54703025.2371001,71939856.2932005,44138887.6386433,207195391.094679,20488024.4333708,20488024.4333708,359457266.677383,5676463.26957081,0,3338267.48111236,368471997.428066
"Arkansas",2001,501787671.133533,134599403.43686,0,636387074.570393,39667992.4326029,1887576.54106889,32597429.6074413,74152998.581113,0,0,0,0,0,44765579.3788428,54219788.4281886,61547805.1395239,40905026.9588523,201438199.905408,0,0,305237327.44758,6403694.46634085,0,101590047.61154,413231069.525461
"Arkansas",2002,483814486.08137,127898284.796574,0,611712770.877944,66225751.6059957,1802036.40256959,36185719.4860814,104213507.494647,231777946.466809,231777946.466809,0,0,0,115990710.920771,147950965.738758,105232102.783726,80153458.2441114,449327237.687366,0,0,479904591.006424,6821907.92291221,0,1872704.49678801,488599203.426124
"Arkansas",2003,501854429.937257,158728559.605617,0,660582989.542874,34191680.9082761,1593438.00418285,31779508.5150881,67564627.4275471,268621040.932178,268621040.932178,0,0,0,5729950.7021213,67649118.9124589,88406653.719749,50616349.5667762,212402072.901105,17711081.2668061,17711081.2668061,520137911.263818,9904544.0693158,0,8349186.73438901,538391642.067523
"Arkansas",2004,475800279.128602,143411511.735769,0,619211790.864371,31586337.5966268,1518186.36683064,36213671.1173577,69318195.0808152,0,0,0,0,0,9423727.61770907,67464126.7744202,88165650.3162333,51433601.4054814,216487106.113844,16450377.7933942,16450377.7933942,481973789.177793,22196198.1728742,0,5170342.6563598,509340330.007027
"Arkansas",2005,461017004.834811,123040786.19393,0,584057791.02874,95121272.0923986,1450697.82433521,11623769.8092936,108195739.726027,0,0,0,0,0,38013418.2111201,65639797.2065539,85824395.917271,48292403.9752887,237770015.310234,15502995.7023905,15502995.7023905,440727562.181037,9424186.67741069,0,1808023.09965082,451959771.958098
"Arkansas",2006,428729277.254548,148808292.091343,0,577537569.345891,31236051.8642756,1690629.59618114,28660539.5432847,61587221.0037415,0,0,0,0,0,83409189.5239324,56423863.5014837,63566645.0780545,45569918.7201651,248969616.823636,25526965.2948007,25526965.2948007,494450061.927493,7831366.27531931,0,3241486.77589988,505522914.978713
"Arkansas",2007,435824000,127807000,0,563631000,33346000,4971000,20419000,58736000,0,0,0,0,0,227402000,61898000,78481000,56132000,423913000,0,0,433430000,26941000,0,7027000,467398000
"California",1995,3552174957.41181,1614804735.51453,196210253.33577,5363189946.26211,0,0,182712753.792725,182712753.792725,0,0,0,38206514.3483824,38206514.3483824,1420608186.80314,212267472.856882,117618987.388046,1970438367.75727,3720933014.80534,2778589140.55931,2778589140.55931,2255346267.2272,72908338.1465911,0,87141138.3659294,2415395743.73972
"California",1996,3690406835.58719,1608309886.121,195039430.604982,5493756152.31317,0,0,432613332.384342,432613332.384342,0,0,0,50843491.1032029,50843491.1032029,1800891479.7153,222016105.338078,246997027.758007,1703706279.7153,3973610892.52669,437239849.11032,437239849.11032,2656736124.19929,80479279.0035587,0,34394126.3345196,2771609529.53737
"California",1997,3715533277.72056,1834445647.4425,191155286.302781,5741134211.46584,103869748.712667,71400026.4332303,221351157.226227,396620932.372125,0,0,0,77673285.6162032,77673285.6162032,841825440.439409,228998571.918984,366076395.1253,1379185876.07278,2816086283.55647,148251553.381394,148251553.381394,2262318020.94061,51919833.8482664,0,44288826.9824923,2358526681.77137
"California",1998,3717650117.90541,1854463270.27027,280841868.243243,5852955256.41892,581935138.513514,114076618.581081,311671095.608108,1007682852.7027,0,0,0,95734634.4594595,95734634.4594595,953189761.148649,227086169.932432,0,1954953283.78378,3135229214.86486,465451227.027027,465451227.027027,2281517569.93243,77458585.1351351,473254408.445946,48782330.7432432,2881012894.25676
"California",1999,3429542461.79237,1851260798.4816,369494081.531606,5650297341.80558,0,147596477.636574,202952223.469219,350548701.105793,0,0,0,140131392.969137,140131392.969137,3476411571.21637,254904111.569566,118219962.700116,2090432750.28883,5939968395.77488,166555005.446443,166555005.446443,2049002713.64912,106144090.443968,0,86871340.1551411,2242018144.24823
"California",2000,3695061304.61341,2051104785.08278,366798381.932165,6112964471.62836,187533290.146279,4305046.13406205,296761350.908214,488599687.188555,0,0,0,171014820.446874,171014820.446874,2426047156.72721,206953376.30606,169268216.363929,2071779762.73911,4874048512.13631,7821303.32743932,7821303.32743932,2135880388.68349,71786196.1099502,474510328.886031,59654724.6423405,2741831638.32181
"California",2001,2965613826.58048,1737862710.70471,359743454.832098,5063219992.11729,1703034851.33218,921658539.177046,325616372.379,2950309762.88822,0,0,0,206743005.833202,206743005.833202,2568545837.61627,219879433.39114,678359593.252404,2119435743.33911,5586220607.59893,240613890.272742,240613890.272742,2185213327.44758,93572556.8343055,0,52761720.3216144,2331547604.6035
"California",2002,3422822546.03854,1893656368.30835,368104010.706638,5684582925.05353,250993.576017131,200913047.109208,445840132.762313,647004173.447538,0,0,0,222191453.961456,222191453.961456,1865886244.11135,290861346.895075,714319188.436831,2055515546.03854,4926582325.4818,170188265.524625,170188265.524625,2474632173.44754,92829852.248394,553093586.723769,51017490.3640257,3171573102.78373
"California",2003,2718331453.83926,1762341242.60532,326690491.484912,4807363187.92949,6439203.16701524,315162758.888557,337226936.659695,658828898.715267,0,0,0,280697373.170003,280697373.170003,2167168507.31999,292605912.458918,718602459.217209,2129454364.50553,5307831243.50164,338784674.036451,338784674.036451,2952828645.05527,90502280.549746,0,51514815.3570362,3094845740.96206
"California",2004,3854461340.54814,2212397235.98032,125182079.26915,6192040655.79761,0,136440841.883345,139805259.311314,276246101.194659,756926744.90513,756926744.90513,0,280369611.806044,280369611.806044,1320272412.36824,230350073.366128,943391603.654252,2177188971.46873,4671203060.85734,162095504.427266,162095504.427266,1963112378.07449,103879327.055517,14011874.9121574,46640566.1278988,2127644146.17006
"California",2005,3429946060.70373,2471600742.14343,248050070.910556,6149596873.75772,28517552.5114155,453073471.394037,209004260.811174,690595284.716626,320950846.091861,320950846.091861,0,298575222.93849,298575222.93849,2693615280.41902,280822361.804996,127590799.355359,1705299571.85066,4807328013.43003,75274741.6062315,75274741.6062315,2281178465.48482,86709150.4163309,0,43003134.0316949,2410890749.93285
"California",2006,3325306033.028,2281030338.79499,198962951.619146,5805299323.44214,1147350657.20552,364163670.49413,572166608.695652,2083680936.3953,1058202576.69978,1058202576.69978,0,318268986.453361,318268986.453361,2829578492.32357,283021671.784286,127472443.813701,1647995925.94504,4888068533.8666,86850057.5409625,86850057.5409625,2310432905.43156,63599532.7054574,0,0,2374032438.13701
"California",2007,3396156000,1281944000,315624000,4993724000,1775554000,950844000,796354000,3522752000,788114000,788114000,0,321639000,321639000,1696189000,298675000,410009000,2236551000,4641424000,97771000,97771000,2703681000,186629000,0,91834000,2982144000
"Colorado",1995,621723658.563334,212676620.361908,0,834400278.925242,105287776.640468,49307370.4989947,3095543.04514714,157690690.18461,0,0,0,4739413.26996893,4739413.26996893,296495073.295558,127157511.606653,135960735.148967,135420543.959057,695033864.010236,92152831.2922683,92152831.2922683,338894985.560227,19733722.9025772,3204746.11588375,17677793.0908426,379511247.66953
"Colorado",1996,613285614.234875,222928935.231317,0,836214549.466192,44147515.3024911,14649218.86121,3669746.2633452,62466480.4270463,0,0,0,4877403.20284698,4877403.20284698,264981477.580071,125457412.811388,133675716.725979,118348962.633452,642463569.75089,87501265.480427,87501265.480427,367219843.060498,6922765.83629893,0,7695269.39501779,381837878.291815
"Colorado",1997,585074396.498455,240315870.580158,0,825390267.078613,70847629.5914864,24567986.2684518,20125567.112942,115541182.97288,0,0,0,5566355.3038105,5566355.3038105,233927756.608308,115295065.568143,199013268.108479,211743007.209063,759979097.493993,368045334.363199,368045334.363199,261503844.490216,8551212.49570889,0,13057895.6402334,283112952.626159
"Colorado",1998,641895435.810811,227022926.351351,0,868918362.162162,215621588.851351,235112722.297297,30177953.0405405,480912264.189189,0,0,0,7935051.01351351,7935051.01351351,248704709.797297,115182708.445946,206039513.513514,204679103.716216,774606035.472973,101325636.148649,101325636.148649,335970086.824324,5726908.10810811,0,11156436.8243243,352853431.756757
"Colorado",1999,671239693.01865,256464706.057105,0,927704399.075755,131772286.185839,239587409.143423,93489733.2893217,464849428.618584,0,0,0,19948525.8293448,19948525.8293448,133211924.740056,115923114.705397,246279427.628322,228153129.229246,723567596.30302,53228499.0922594,53228499.0922594,421306607.360951,3275013.36854266,0,18541755.7352698,443123376.464763
"Colorado",2000,647890235.653432,362649556.984408,0,1010539792.63784,52719528.3716444,255518957.723839,43853335.7981032,352091821.893586,709737178.910143,709737178.910143,0,34725920.9130365,34725920.9130365,178338008.680277,113116943.899695,242553879.762096,189767765.311043,723776597.653111,464303451.213631,464303451.213631,378993878.476129,8179843.75502331,0,13936978.6208005,401110700.851953
"Colorado",2001,677960225.760681,200262703.137317,0,878222928.897998,179804538.231121,252390207.788113,28294810.0268012,460489556.046035,677209213.936623,677209213.936623,0,48700228.2831468,48700228.2831468,365456419.359924,112383016.868989,266391931.578118,203851987.072363,948083354.879395,59645158.1270692,59645158.1270692,463027674.601923,6535561.09096642,0,28601242.9449787,498164478.637869
"Colorado",2002,651500126.33833,289903672.376874,0,941403798.715204,82168717.3447538,23883379.0149893,56166513.9186296,162218610.278373,319659813.704497,319659813.704497,0,48260216.2740899,48260216.2740899,443972301.927195,112847199.143469,271369137.044968,168174224.8394,996362862.955032,78290501.0706638,78290501.0706638,385704021.413276,10330944.3254818,0,3109396.14561028,399144361.884368
"Colorado",2003,625977181.356439,762755805.198685,0,1388732986.55512,34201201.0755901,1201921.12339408,157038729.90738,192441852.106364,125974423.961757,125974423.961757,0,74146633.1042725,74146633.1042725,540948997.01225,118593914.251569,291511093.217807,227753342.694951,1178807347.17658,25321265.0134449,25321265.0134449,508816052.285629,19008204.0633403,0,38263932.4768449,566088188.825814
"Colorado",2004,591319034.996486,752019509.768096,0,1343338544.76458,24125280.1124385,0,28255508.3626142,52380788.4750527,203173865.63598,203173865.63598,0,85046426.7041462,85046426.7041462,529298434.855938,116040492.480675,285233182.290935,231224486.01546,1161796595.64301,67514509.0653549,67514509.0653549,536993490.091356,8587381.58819395,0,38115882.5017568,583696754.181307
"Colorado",2005,535582445.071179,742337910.287403,0,1277920355.35858,86883533.7093742,0,152335039.752887,239218573.462262,0,0,0,87185227.5047005,87185227.5047005,240304457.158206,143255340.316949,333515001.880204,266265101.262423,983339900.617781,114203939.564867,114203939.564867,391516168.949772,4528616.43835616,0,31522722.266989,427567507.655117
"Colorado",2006,594178708.811766,886456192.23326,0,1480634901.04503,69115404.4639401,5404876.01599794,34734473.2292607,109254753.709199,0,0,0,96731761.8371823,96731761.8371823,365644641.465617,150003551.799768,349226521.223068,166106156.36692,1030980870.85537,148459888.788543,148459888.788543,482305277.77061,4905395.17481615,0,0,487210672.945426
"Colorado",2007,544266000,730948000,2200000,1277414000,374382000,14293000,55698000,444373000,0,0,0,93000000,93000000,158588000,132152000,371946000,294863000,957549000,40091000,40091000,532666000,161332000,0,41917000,735915000
"Connecticut",1995,445833912.630232,203551611.771157,347993.785414001,649733518.186803,20728198.866752,11648.3275452385,107899914.092488,128639761.286785,470755509.41327,470755509.41327,42126176.5673551,0,42126176.5673551,248193827.088284,797910.436848839,0,30023564.2478523,279015301.772985,1616205.44690185,1616205.44690185,523966525.680863,1871012.61195394,0,0,525837538.292817
"Connecticut",1996,512733999.644128,211906939.501779,284904.982206406,724925844.128114,0,12756.9395017794,115477233.807829,115489990.747331,456619057.651246,456619057.651246,33883848.7544484,0,33883848.7544484,285399667.97153,388377.93594306,0,23655618.1494662,309443664.056939,3116945.55160142,3116945.55160142,467133610.676157,4520208.89679715,0,0,471653819.572954
"Connecticut",1997,535093420.871953,207833842.430484,236546.17233093,743163809.474768,0,9571.23240645383,111992990.387916,112002561.620323,204299323.034672,204299323.034672,25813613.800206,0,25813613.800206,317544777.548919,0,0,17444254.7202197,334989032.269138,1702312.04943357,1702312.04943357,504245338.825953,3133894.95365602,0,0,507379233.779609
