"state_name","year","sf1_fuel_revenue_for_highways","sf1_vehicle_revenue_for_highways","sf1_toll_revenue_for_highways","state_user","sf1_general_funds_for_highways","sf1_other_imposts_for_highways","sf1_miscellaneous_for_highways","state_non_user","sf1_bonds_original_for_highways","state_bonds","lgf1_fuel_vehicle_revenue_for_highways","lgf1_toll_revenue_for_highways","local_user","lgf1_general_funds_for_highways","lgf1_property_tax_funds_for_highways","lgf1_other_imposts_for_highways","lgf1_miscellanious_for_highways","local_non_user","lgf1_bonds_original_for_highways","local_bonds","sf1_fhwa_funds_for_highways","sf1_other_federal_funds_for_highways","lgf1_fhwa_funds_for_highways","lgf1_other_federal_funds_for_highways","federal","cci_multiplier_for_conversion_to_2007_dollars"
"Arizona",1998,479797000,191534000,0,671331000,0,181430000,30428000,211858000,0,0,,,0,44687000,16361000,233619000,33734000,328401000,26352000,26352000,265189000,5068000,,8132000,278389000,1.34560810810811
"Arizona",1999,579501000,192081000,,771582000,36829000,165892000,39857000,242578000,150913000,150913000,7564000,,7564000,74480000,16844000,280436000,84053000,455813000,68939000,68939000,385199000,4920000,,3928000,394047000,1.3147384056775
"Arizona",2000,560082000,202705000,,762787000,115346000,236547000,56676000,408569000,255894000,255894000,8520000,,8520000,146351000,17252000,262015000,62891000,488509000,88740000,88740000,424998000,6892000,,3508000,435398000,1.28050152708568
"Arizona",2001,569097000,201787000,,770884000,47986000,516335000,91779000,656100000,455752000,455752000,4017000,,4017000,190240000,13063000,263206000,31140000,497649000,104630000,104630000,392456000,5516000,,6001000,403973000,1.25587261548163
"Arizona",2002,592634000,194397000,,787031000,368064000,541119000,52616000,961799000,156082000,156082000,,,0,103518000,15304000,95890000,88362000,303074000,615060000,615060000,526993000,53932000,22855000,8469000,612249000,1.21841541755889
"Arizona",2003,600951000,249846000,,850797000,43533000,579148000,1995000,624676000,349172000,349172000,,,0,479981000,16223000,99726000,92780000,688710000,224640000,224640000,447986000,11127000,17000,3117000,462247000,1.19002091425157
"Arizona",2004,628271000,318360000,,946631000,,630860000,13213000,644073000,352010000,352010000,,,0,251421000,16871000,103172000,104433000,475897000,231292000,231292000,431100000,10972000,,3510000,445582000,1.11960646521434
"Arizona",2005,624777000,287056000,,911833000,,801268000,33686000,834954000,318216000,318216000,,,0,226011000,10863000,148267000,113890000,499031000,32757000,32757000,508783000,15019000,44560000,6210000,574572000,1.06983615363954
"Arizona",2006,682650000,279969000,,962619000,1627000,848421000,59266000,909314000,141602000,141602000,,,0,264033000,11298000,173287000,106734000,555352000,92370000,92370000,436835000,15572000,,3273000,455680000,1.02773835634112
"Arizona",2007,709806000,328465000,,1038271000,246188000,828634000,1927087000,3001909000,26693000,26693000,,,0,129283000,14677000,243214000,165699000,552873000,72350000,72350000,372428000,22681000,,12669000,407778000,1
"Arkansas",1995,320242000,102179000,,422421000,20551000,,29576000,50127000,,0,0,0,0,29741000,33503000,58133000,26943000,148320000,0,0,238453000,2854000,0,1601000,242908000,1.45604094315482
"Arkansas",1996,329565000,118771000,0,448336000,11094000,1299000,20280000,32673000,0,0,0,0,0,39056000,33128000,58912000,28290000,159386000,8270000,8270000,263374000,2736000,0,1696000,267806000,1.41743772241993
"Arkansas",1997,340823000,100934000,0,441757000,49642000,1278000,16859000,67779000,0,0,0,0,0,36356000,49678000,50973000,19688000,156695000,2930000,2930000,293256000,3004000,0,5772000,302032000,1.36731891520769
"Arkansas",1998,344249000,106466000,0,450715000,12133000,1397000,16891000,30421000,0,0,,,0,44630000,50906000,51299000,19634000,166469000,2939000,2939000,281945000,3430000,,7304000,292679000,1.34560810810811
"Arkansas",1999,362768000,117105000,,479873000,7515000,2278000,12668000,22461000,,0,,,0,28459000,42228000,56242000,33992000,160921000,28876000,28876000,266738000,4434000,,4005000,275177000,1.3147384056775
"Arkansas",2000,394484000,122926000,,517410000,11466000,1488000,26456000,39410000,178909000,178909000,,,0,28437000,42720000,56181000,34470000,161808000,16000000,16000000,280716000,4433000,,2607000,287756000,1.28050152708568
"Arkansas",2001,399553000,107176000,,506729000,31586000,1503000,25956000,59045000,,0,,,0,35645000,43173000,49008000,32571000,160397000,,0,243048000,5099000,,80892000,329039000,1.25587261548163
"Arkansas",2002,397085000,104971000,,502056000,54354000,1479000,29699000,85532000,190229000,190229000,,,0,95198000,121429000,86368000,65785000,368780000,,0,393876000,5599000,,1537000,401012000,1.21841541755889
"Arkansas",2003,421719000,133383000,,555102000,28732000,1339000,26705000,56776000,225728000,225728000,,,0,4815000,56847000,74290000,42534000,178486000,14883000,14883000,437083000,8323000,,7016000,452422000,1.19002091425157
"Arkansas",2004,424971000,128091000,,553062000,28212000,1356000,32345000,61913000,,0,,,0,8417000,60257000,78747000,45939000,193360000,14693000,14693000,430485000,19825000,,4618000,454928000,1.11960646521434
"Arkansas",2005,430923000,115009000,,545932000,88912000,1356000,10865000,101133000,,0,,,0,35532000,61355000,80222000,45140000,222249000,14491000,14491000,411958000,8809000,,1690000,422457000,1.06983615363954
"Arkansas",2006,417158000,144792000,,561950000,30393000,1645000,27887000,59925000,,0,,,0,81158000,54901000,61851000,44340000,242250000,24838000,24838000,481105000,7620000,,3154000,491879000,1.02773835634112
"Arkansas",2007,435824000,127807000,,563631000,33346000,4971000,20419000,58736000,,0,,,0,227402000,61898000,78481000,56132000,423913000,,0,433430000,26941000,,7027000,467398000,1
"California",1995,2439612000,1109038000,134756000,3683406000,,,125486000,125486000,,0,0,26240000,26240000,975665000,145784000,80780000,1353285000,2555514000,1908318000,1908318000,1548958000,50073000,0,59848000,1658879000,1.45604094315482
"California",1996,2603576000,1134660000,137600000,3875836000,0,0,305208000,305208000,0,0,0,35870000,35870000,1270526000,156632000,174256000,1201962000,2803376000,308472000,308472000,1874323000,56778000,0,24265000,1955366000,1.41743772241993
"California",1997,2717386000,1341637000,139803000,4198826000,75966000,52219000,161887000,290072000,0,0,0,56807000,56807000,615676000,167480000,267733000,1008679000,2059568000,108425000,108425000,1654565000,37972000,0,32391000,1724928000,1.36731891520769
"California",1998,2762803000,1378160000,208710000,4349673000,432470000,84777000,231621000,748868000,0,0,,71146000,71146000,708371000,168761000,,1452840000,2329972000,345904000,345904000,1695529000,57564000,351703000,36253000,2141049000,1.34560810810811
"California",1999,2608536000,1408083000,281040000,4297659000,,112263000,154367000,266630000,,0,,106585000,106585000,2644185000,193882000,89919000,1589999000,4517985000,126683000,126683000,1558487000,80734000,,66075000,1705296000,1.3147384056775
"California",2000,2885636000,1601798000,286449000,4773883000,146453000,3362000,231754000,381569000,,0,,133553000,133553000,1894607000,161619000,132189000,1617944000,3806359000,6108000,6108000,1668003000,56061000,370566000,46587000,2141217000,1.28050152708568
"California",2001,2361397000,1383789000,286449000,4031635000,1356057000,733879000,259275000,2349211000,,0,,164621000,164621000,2045228000,175081000,540150000,1687620000,4448079000,191591000,191591000,1739996000,74508000,,42012000,1856516000,1.25587261548163
"California",2002,2809241000,1554196000,302117000,4665554000,206000,164897000,365918000,531021000,,0,,182361000,182361000,1531404000,238721000,586269000,1687040000,4043434000,139680000,139680000,2031025000,76189000,453945000,41872000,2603031000,1.21841541755889
"California",2003,2284272000,1480933000,274525000,4039730000,5411000,264838000,283379000,553628000,,0,,235876000,235876000,1821118000,245883000,603857000,1789426000,4460284000,284688000,284688000,2481325000,76051000,,43289000,2600665000,1.19002091425157
