date,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane II LLC,Reserve Bank credit,Net portfolio holdings of Maiden Lance LLC,Primary dealer and other broker-dealer credit,Asset-backed Commercial paper money market Mutual Fund Liquidity Facility,Term Auction credit,Mortgage-backed securities,"Credit extended to American International Group, Inc.",Central bank liquidity swaps
2009-2-26,27677,0,246233,18641,1900189,25924,25618,11382,447563,68529,38046,374590
2009-2-19,27639,0,250358,18631,1907301,25883,26001,13875,447563,63071,37355,379687
2009-2-12,27528,0,256153,18674,1830406,25863,25805,15111,412883,7377,37677,389671
2009-2-5,27464,0,259315,18965,1840746,25785,30264,16981,412883,7377,39013,388791
2009-1-29,27037,0,316201,19692,1989877,26980,32054,14593,415859,6824,38336,465853
2009-1-22,26946,0,349940,19802,2049246,27131,32679,15482,416031,5784,38445,
2009-1-15,26889,0,334582,19795,2069182,27070,33690,18767,371387,1542,39124,
2009-1-8,26798,0,334272,20071,2177564,27028,35977,22868,406805,,39003,
2009-1-2,27990,0,332410,20059,2246527,26974,38476,23797,450219,,38924,
2008-12-29,28085,0,325796,20033,2207272,26918,45679,24858,420806,,40018,
2008-12-18,19608,0,315267,17519,2253739,26892,50493,29274,447959,,44347,
2008-12-11,20957,0,308518,,2241457,27054,52802,40826,447959,,56723,
2008-12-4,21153,0,297576,,2117751,26994,57198,51936,406508,,55944,
2008-11-28,6010,0,282197,,2093892,26928,52418,57318,406508,,79585,
2008-11-20,,,265691,,2178894,26945,50170,69798,415302,,,
2008-11-13,,,249910,,2198204,26876,64933,80244,415302,,,
2008-11-6,,,226008,,2055846,26850,77020,91729,301363,,,
2008-10-30,,,40819,,1872948,26809,87393,99902,301363,,,
2008-10-23,,,,,1803300,29137,111255,114219,263092,,,
2008-10-16,,,,,1740078,29492,131125,129616,263092,,,
2008-10-9,,,,,1494726,29452,134066,145890,149000,,,
2008-10-2,,,,,1388565,29413,147692,122104,149143,,,
2008-9-25,,,,,1134942,29373,88147,21760,150000,,,
2008-9-18,,,,,931340,29333,,,150000,,,
2008-9-11,,,,,888283,29293,,,150000,,,
2008-9-4,,,,,893846,29253,,,150000,,,
2008-8-28,,,,,884355,29213,,,150000,,,
2008-8-21,,,,,887648,29183,,,150000,,,
2008-8-14,,,,,883000,29145,,,150000,,,
2008-8-7,,,,,889150,29105,,,150000,,,
2008-7-31,,,,,892783,29065,,,150000,,,
2008-7-24,,,,,882978,29025,,,150000,,,
2008-7-17,,,,,888418,28955,,,150000,,,
2008-7-10,,,,,887866,28900,,,150000,,,
2008-7-3,,,,,890030,29816,,,150000,,,
2008-6-26,,,,,874582,,,,150000,,,
2008-6-19,,,,,877428,,,,150000,,,
2008-6-12,,,,,873485,,,,150000,,,
2008-6-5,,,,,877723,,,,150000,,,
2008-5-29,,,,,878001,,,,150000,,,
2008-5-22,,,,,871207,,,,125000,,,
2008-5-15,,,,,866213,,,,125000,,,
2008-5-8,,,,,867629,,,,100000,,,
2008-5-1,,,,,864390,,,,100000,,,
2008-4-24,,,,,868439,,,,100000,,,
2008-4-17,,,,,867193,,,,100000,,,
2008-4-10,,,,,866836,,,,100000,,,
2008-4-3,,,,,875577,,,,100000,,,
2008-3-27,,,,,869437,,,,80000,,,
2008-3-20,,,,,878784,,,,80000,,,
2008-3-13,,,,,869162,,,,60000,,,
2008-3-6,,,,,873313,,,,60000,,,
2008-2-28,,,,,866606,,,,60000,,,
2008-2-21,,,,,866859,,,,60000,,,
2008-2-14,,,,,858335,,,,60000,,,
2008-2-7,,,,,861703,,,,60000,,,
2008-1-31,,,,,864627,,,,50000,,,
2008-1-24,,,,,861489,,,,50000,,,
2008-1-17,,,,,867536,,,,40000,,,
2008-1-10,,,,,869212,,,,40000,,,
2008-1-3,,,,,891743,,,,40000,,,
2007-12-27,,,,,873512,,,,20000,,,
2007-12-20,,,,,870930,,,,,,,
2007-12-13,,,,,863773,,,,,,,
2007-12-6,,,,,866962,,,,,,,
2007-11-29,,,,,869619,,,,,,,
2007-11-23,,,,,868136,,,,,,,
2007-11-15,,,,,865773,,,,,,,
2007-11-8,,,,,864361,,,,,,,
2007-11-1,,,,,862696,,,,,,,
2007-10-25,,,,,858846,,,,,,,
2007-10-18,,,,,858089,,,,,,,
2007-10-11,,,,,858315,,,,,,,
2007-10-4,,,,,861582,,,,,,,
2007-9-27,,,,,859548,,,,,,,
2007-9-20,,,,,852998,,,,,,,
2007-9-13,,,,,857247,,,,,,,
2007-9-6,,,,,856617,,,,,,,
2007-8-30,,,,,849988,,,,,,,
2007-8-23,,,,,851696,,,,,,,
2007-8-16,,,,,867778,,,,,,,
2007-8-9,,,,,850555,,,,,,,
2007-8-2,,,,,857603,,,,,,,
2007-7-26,,,,,850186,,,,,,,
2007-7-19,,,,,853857,,,,,,,
2007-7-12,,,,,854278,,,,,,,
2007-7-5,,,,,857318,,,,,,,
2007-6-28,,,,,847621,,,,,,,
2007-6-21,,,,,852284,,,,,,,
2007-6-14,,,,,849980,,,,,,,
2007-6-7,,,,,857913,,,,,,,
2007-5-31,,,,,853787,,,,,,,
2007-5-24,,,,,850099,,,,,,,
2007-5-17,,,,,847847,,,,,,,
2007-5-10,,,,,853506,,,,,,,
2007-5-3,,,,,866926,,,,,,,
2007-4-26,,,,,849995,,,,,,,
2007-4-19,,,,,851199,,,,,,,
2007-4-12,,,,,849422,,,,,,,
2007-4-5,,,,,852245,,,,,,,
2007-3-29,,,,,852122,,,,,,,
2007-3-22,,,,,851125,,,,,,,
2007-3-15,,,,,851593,,,,,,,
2007-3-8,,,,,851757,,,,,,,
2007-3-1,,,,,853467,,,,,,,
2007-2-22,,,,,851672,,,,,,,
2007-2-15,,,,,847171,,,,,,,
2007-2-8,,,,,841481,,,,,,,
2007-2-1,,,,,844206,,,,,,,
2007-1-25,,,,,837092,,,,,,,
2007-1-18,,,,,846037,,,,,,,
2007-1-11,,,,,844553,,,,,,,
2007-1-4,,,,,859453,,,,,,,
2006-12-28,,,,,852198,,,,,,,
2006-12-21,,,,,845210,,,,,,,
2006-12-14,,,,,837607,,,,,,,
2006-12-7,,,,,842371,,,,,,,
2006-11-30,,,,,844012,,,,,,,
2006-11-24,,,,,838938,,,,,,,
2006-11-16,,,,,834832,,,,,,,
2006-11-9,,,,,835238,,,,,,,
2006-11-2,,,,,833424,,,,,,,
2006-10-26,,,,,830809,,,,,,,
2006-10-19,,,,,831456,,,,,,,
2006-10-12,,,,,831100,,,,,,,
2006-10-5,,,,,829644,,,,,,,
2006-9-28,,,,,825247,,,,,,,
2006-9-21,,,,,828940,,,,,,,
2006-9-14,,,,,826496,,,,,,,
2006-9-7,,,,,832105,,,,,,,
2006-8-31,,,,,828872,,,,,,,
2006-8-24,,,,,825027,,,,,,,
2006-8-17,,,,,829233,,,,,,,
2006-8-10,,,,,825183,,,,,,,
2006-8-3,,,,,832999,,,,,,,
2006-7-27,,,,,825902,,,,,,,
2006-7-20,,,,,830710,,,,,,,
2006-7-13,,,,,829845,,,,,,,
2006-7-6,,,,,836187,,,,,,,
2006-6-29,,,,,824729,,,,,,,
2006-6-22,,,,,825872,,,,,,,
2006-6-15,,,,,824744,,,,,,,
2006-6-8,,,,,829430,,,,,,,
2006-6-1,,,,,826970,,,,,,,
2006-5-25,,,,,822842,,,,,,,
2006-5-18,,,,,824687,,,,,,,
2006-5-11,,,,,824690,,,,,,,
2006-5-4,,,,,823061,,,,,,,
2006-4-27,,,,,820179,,,,,,,
2006-4-20,,,,,823734,,,,,,,
2006-4-13,,,,,817880,,,,,,,
2006-4-6,,,,,820479,,,,,,,
2006-3-30,,,,,814099,,,,,,,
2006-3-23,,,,,820825,,,,,,,
2006-3-16,,,,,820050,,,,,,,
2006-3-9,,,,,815376,,,,,,,
2006-3-2,,,,,820759,,,,,,,
2006-2-23,,,,,815809,,,,,,,
2006-2-16,,,,,815847,,,,,,,
2006-2-9,,,,,809112,,,,,,,
2006-2-2,,,,,814350,,,,,,,
2006-1-26,,,,,811962,,,,,,,
2006-1-19,,,,,816436,,,,,,,
2006-1-12,,,,,815874,,,,,,,
2006-1-5,,,,,832796,,,,,,,
2005-12-29,,,,,826403,,,,,,,
2005-12-22,,,,,817179,,,,,,,
2005-12-15,,,,,811624,,,,,,,
2005-12-8,,,,,813647,,,,,,,
2005-12-1,,,,,812719,,,,,,,
2005-11-25,,,,,806510,,,,,,,
2005-11-17,,,,,808873,,,,,,,
2005-11-10,,,,,799326,,,,,,,
2005-11-3,,,,,801887,,,,,,,
2005-10-27,,,,,797931,,,,,,,
2005-10-20,,,,,800945,,,,,,,
2005-10-13,,,,,801371,,,,,,,
2005-10-6,,,,,800180,,,,,,,
2005-9-29,,,,,800582,,,,,,,
2005-9-22,,,,,800393,,,,,,,
2005-9-15,,,,,800567,,,,,,,
2005-9-8,,,,,799280,,,,,,,
2005-9-1,,,,,797815,,,,,,,
2005-8-25,,,,,791441,,,,,,,
2005-8-18,,,,,793703,,,,,,,
2005-8-11,,,,,791658,,,,,,,
2005-8-4,,,,,799110,,,,,,,
2005-7-28,,,,,793287,,,,,,,
2005-7-21,,,,,796276,,,,,,,
2005-7-14,,,,,792010,,,,,,,
2005-7-7,,,,,795797,,,,,,,
2005-6-30,,,,,788567,,,,,,,
2005-6-23,,,,,787859,,,,,,,
2005-6-16,,,,,787960,,,,,,,
2005-6-9,,,,,790003,,,,,,,
2005-6-2,,,,,792472,,,,,,,
2005-5-26,,,,,786594,,,,,,,
2005-5-19,,,,,787559,,,,,,,
2005-5-12,,,,,783258,,,,,,,
2005-5-5,,,,,786449,,,,,,,
2005-4-28,,,,,786712,,,,,,,
2005-4-21,,,,,785627,,,,,,,
2005-4-14,,,,,781422,,,,,,,
2005-4-7,,,,,783431,,,,,,,
2005-3-31,,,,,782330,,,,,,,
2005-3-24,,,,,783495,,,,,,,
2005-3-17,,,,,785361,,,,,,,
2005-3-10,,,,,777647,,,,,,,
2005-3-5,,,,,784887,,,,,,,
2005-2-24,,,,,780772,,,,,,,
2005-2-17,,,,,783703,,,,,,,
2005-2-10,,,,,776603,,,,,,,
2005-2-3,,,,,784230,,,,,,,
2005-1-27,,,,,780557,,,,,,,
2005-1-20,,,,,783308,,,,,,,
2005-1-13,,,,,780682,,,,,,,
2005-1-6,,,,,791658,,,,,,,
2004-12-30,,,,,790621,,,,,,,
2004-12-23,,,,,784475,,,,,,,
2004-12-16,,,,,782668,,,,,,,
2004-12-9,,,,,784133,,,,,,,
2004-12-2,,,,,785515,,,,,,,
2004-11-26,,,,,779872,,,,,,,
2004-11-18,,,,,778583,,,,,,,
2004-11-12,,,,,774767,,,,,,,
2004-11-4,,,,,773351,,,,,,,
2004-10-28,,,,,770604,,,,,,,
2004-10-21,,,,,770529,,,,,,,
2004-10-14,,,,,768783,,,,,,,
2004-10-7,,,,,764916,,,,,,,
2004-9-30,,,,,765836,,,,,,,
2004-9-23,,,,,767481,,,,,,,
2004-9-16,,,,,768420,,,,,,,
2004-9-9,,,,,764440,,,,,,,
2004-9-2,,,,,764044,,,,,,,
2004-8-26,,,,,755206,,,,,,,
2004-8-19,,,,,754238,,,,,,,
2004-8-12,,,,,754791,,,,,,,
2004-8-5,,,,,757633,,,,,,,
2004-7-29,,,,,752230,,,,,,,
2004-7-22,,,,,756215,,,,,,,
2004-7-15,,,,,755496,,,,,,,
2004-7-8,,,,,754955,,,,,,,
2004-7-1,,,,,752257,,,,,,,
2004-6-24,,,,,748436,,,,,,,
2004-6-17,,,,,746382,,,,,,,
2004-6-10,,,,,746417,,,,,,,
2004-6-3,,,,,749607,,,,,,,
2004-5-27,,,,,743669,,,,,,,
2004-5-20,,,,,740495,,,,,,,
2004-5-13,,,,,741313,,,,,,,
2004-5-6,,,,,742139,,,,,,,
2004-4-29,,,,,744758,,,,,,,
2004-4-22,,,,,739030,,,,,,,
2004-4-15,,,,,740217,,,,,,,
2004-4-8,,,,,733554,,,,,,,
2004-4-1,,,,,737739,,,,,,,
2004-3-25,,,,,731279,,,,,,,
2004-3-18,,,,,736994,,,,,,,
2004-3-11,,,,,729556,,,,,,,
2004-3-4,,,,,736597,,,,,,,
2004-2-26,,,,,732057,,,,,,,
2004-2-19,,,,,739691,,,,,,,
2004-2-12,,,,,729540,,,,,,,
2004-2-5,,,,,732240,,,,,,,
2004-1-29,,,,,728183,,,,,,,
2004-1-22,,,,,738254,,,,,,,
2004-1-15,,,,,729489,,,,,,,
2004-1-8,,,,,743299,,,,,,,
2004-1-2,,,,,746570,,,,,,,
2003-12-26,,,,,739526,,,,,,,
2003-12-18,,,,,731854,,,,,,,
2003-12-11,,,,,731209,,,,,,,
2003-12-4,,,,,734979,,,,,,,
2003-11-28,,,,,729194,,,,,,,
2003-11-20,,,,,727983,,,,,,,
2003-11-13,,,,,722260,,,,,,,
2003-11-6,,,,,725126,,,,,,,
2003-10-30,,,,,726848,,,,,,,
2003-10-23,,,,,721122,,,,,,,
2003-10-16,,,,,722887,,,,,,,
2003-10-9,,,,,715038,,,,,,,
2003-10-2,,,,,727180,,,,,,,
2003-9-25,,,,,717608,,,,,,,
2003-9-18,,,,,721688,,,,,,,
2003-9-11,,,,,715316,,,,,,,
2003-9-4,,,,,725331,,,,,,,
2003-8-28,,,,,715426,,,,,,,
2003-8-21,,,,,726540,,,,,,,
2003-8-14,,,,,711825,,,,,,,
2003-8-7,,,,,716002,,,,,,,
2003-7-31,,,,,713408,,,,,,,
2003-7-24,,,,,716729,,,,,,,
2003-7-17,,,,,715493,,,,,,,
2003-7-10,,,,,718451,,,,,,,
2003-7-3,,,,,719541,,,,,,,
2003-6-26,,,,,717692,,,,,,,
2003-6-19,,,,,713850,,,,,,,
2003-6-12,,,,,713231,,,,,,,
2003-6-5,,,,,716921,,,,,,,
2003-5-29,,,,,720486,,,,,,,
