date,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane II LLC,Reserve Bank credit,Net portfolio holdings of Maiden Lance LLC,Primary dealer and other broker-dealer credit,Asset-backed Commercial paper money market Mutual Fund Liquidity Facility,Term Auction credit,Mortgage-backed securities,"Credit extended to American International Group, Inc.",Central bank liquidity swaps
2003-5-22,,,,,711816,,,,,,,
2003-5-15,,,,,714343,,,,,,,
2003-5-8,,,,,708240,,,,,,,
2003-5-1,,,,,715838,,,,,,,
2003-4-24,,,,,709678,,,,,,,
2003-4-17,,,,,711299,,,,,,,
2003-4-10,,,,,704413,,,,,,,
2003-4-3,,,,,707835,,,,,,,
2003-3-27,,,,,698983,,,,,,,
2003-3-20,,,,,704886,,,,,,,
2003-3-13,,,,,696359,,,,,,,
2003-3-6,,,,,702078,,,,,,,
2003-2-27,,,,,697030,,,,,,,
2003-2-20,,,,,701756,,,,,,,
2003-2-13,,,,,691408,,,,,,,
2003-2-6,,,,,694493,,,,,,,
2003-1-30,,,,,690594,,,,,,,
2003-1-23,,,,,697026,,,,,,,
2003-1-16,,,,,693039,,,,,,,
2003-1-9,,,,,697473,,,,,,,
2003-1-2,,,,,706754,,,,,,,
2002-12-26,,,,,703676,,,,,,,
2002-12-19,,,,,692654,,,,,,,
2002-12-12,,,,,670752,,,,,,,
2002-12-5,,,,,672629,,,,,,,
2002-11-29,,,,,669038,,,,,,,
2002-11-21,,,,,666088,,,,,,,
2002-11-14,,,,,666333,,,,,,,
2002-11-7,,,,,660583,,,,,,,
2002-10-31,,,,,662420,,,,,,,
2002-10-24,,,,,657667,,,,,,,
2002-10-17,,,,,661675,,,,,,,
2002-10-10,,,,,655648,,,,,,,
2002-10-3,,,,,661670,,,,,,,
2002-9-26,,,,,655957,,,,,,,
2002-9-19,,,,,657922,,,,,,,
2002-9-12,,,,,658198,,,,,,,
2002-9-5,,,,,665138,,,,,,,
2002-8-29,,,,,655650,,,,,,,
2002-8-22,,,,,658647,,,,,,,
2002-8-15,,,,,653477,,,,,,,
2002-8-8,,,,,657571,,,,,,,
2002-8-1,,,,,655498,,,,,,,
2002-7-25,,,,,658663,,,,,,,
2002-7-18,,,,,656753,,,,,,,
2002-7-11,,,,,658153,,,,,,,
2002-7-5,,,,,659792,,,,,,,
2002-6-27,,,,,656063,,,,,,,
2002-6-20,,,,,650788,,,,,,,
2002-6-13,,,,,650293,,,,,,,
2002-6-6,,,,,651310,,,,,,,
2002-5-30,,,,,655848,,,,,,,
2002-5-23,,,,,643814,,,,,,,
2002-5-16,,,,,645879,,,,,,,
2002-5-9,,,,,641535,,,,,,,
2002-5-2,,,,,647401,,,,,,,
2002-4-25,,,,,640408,,,,,,,
2002-4-18,,,,,644013,,,,,,,
2002-4-11,,,,,638804,,,,,,,
2002-4-4,,,,,642146,,,,,,,
2002-3-28,,,,,635208,,,,,,,
2002-3-21,,,,,637254,,,,,,,
2002-3-14,,,,,634224,,,,,,,
2002-3-7,,,,,636234,,,,,,,
2002-2-28,,,,,631999,,,,,,,
2002-2-21,,,,,636464,,,,,,,
2002-2-14,,,,,627844,,,,,,,
2002-2-7,,,,,629719,,,,,,,
2002-1-31,,,,,627628,,,,,,,
2002-1-24,,,,,631916,,,,,,,
2002-1-17,,,,,629104,,,,,,,
2002-1-10,,,,,631596,,,,,,,
2002-1-3,,,,,642801,,,,,,,
2001-12-27,,,,,633771,,,,,,,
2001-12-20,,,,,627352,,,,,,,
2001-12-13,,,,,619750,,,,,,,
2001-12-6,,,,,622763,,,,,,,
2001-11-29,,,,,621130,,,,,,,
2001-11-23,,,,,619225,,,,,,,
2001-11-15,,,,,616009,,,,,,,
2001-11-8,,,,,609350,,,,,,,
2001-11-1,,,,,617178,,,,,,,
2001-10-25,,,,,606621,,,,,,,
2001-10-18,,,,,614114,,,,,,,
2001-10-11,,,,,612383,,,,,,,
2001-10-4,,,,,613015,,,,,,,
2001-9-27,,,,,611281,,,,,,,
2001-9-20,,,,,672702,,,,,,,
2001-9-13,,,,,622845,,,,,,,
2001-9-6,,,,,608992,,,,,,,
2001-8-30,,,,,600643,,,,,,,
2001-8-23,,,,,601174,,,,,,,
2001-8-16,,,,,598605,,,,,,,
2001-8-9,,,,,597508,,,,,,,
2001-8-2,,,,,596369,,,,,,,
2001-7-26,,,,,595815,,,,,,,
2001-7-19,,,,,591877,,,,,,,
2001-7-12,,,,,591218,,,,,,,
2001-7-5,,,,,594211,,,,,,,
2001-6-28,,,,,587021,,,,,,,
2001-6-21,,,,,587618,,,,,,,
2001-6-14,,,,,585192,,,,,,,
2001-6-7,,,,,587753,,,,,,,
2001-5-31,,,,,590597,,,,,,,
2001-5-24,,,,,582087,,,,,,,
2001-5-17,,,,,584854,,,,,,,
2001-5-10,,,,,580014,,,,,,,
2001-5-3,,,,,586374,,,,,,,
2001-4-26,,,,,579177,,,,,,,
2001-4-19,,,,,581646,,,,,,,
2001-4-12,,,,,578408,,,,,,,
2001-4-5,,,,,580844,,,,,,,
2001-3-29,,,,,576109,,,,,,,
2001-3-22,,,,,581260,,,,,,,
2001-3-15,,,,,575113,,,,,,,
2001-3-8,,,,,577776,,,,,,,
2001-3-1,,,,,575148,,,,,,,
2001-2-22,,,,,577179,,,,,,,
2001-2-15,,,,,572674,,,,,,,
2001-2-8,,,,,572088,,,,,,,
2001-2-1,,,,,573712,,,,,,,
2001-1-25,,,,,577567,,,,,,,
2001-1-18,,,,,577838,,,,,,,
2001-1-11,,,,,578383,,,,,,,
2001-1-4,,,,,590853,,,,,,,
2000-12-28,,,,,584323,,,,,,,
2000-12-21,,,,,578291,,,,,,,
2000-12-14,,,,,572898,,,,,,,
2000-12-7,,,,,571915,,,,,,,
2000-11-30,,,,,573582,,,,,,,
2000-11-24,,,,,568034,,,,,,,
2000-11-16,,,,,566796,,,,,,,
2000-11-9,,,,,562411,,,,,,,
2000-11-2,,,,,563958,,,,,,,
2000-10-26,,,,,559523,,,,,,,
2000-10-19,,,,,561873,,,,,,,
2000-10-12,,,,,561709,,,,,,,
2000-10-5,,,,,562885,,,,,,,
2000-9-28,,,,,558798,,,,,,,
2000-9-21,,,,,562174,,,,,,,
2000-9-14,,,,,559373,,,,,,,
2000-9-7,,,,,562918,,,,,,,
2000-8-31,,,,,556838,,,,,,,
2000-8-24,,,,,557933,,,,,,,
2000-8-17,,,,,558157,,,,,,,
2000-8-10,,,,,557914,,,,,,,
2000-8-3,,,,,558836,,,,,,,
2000-7-27,,,,,558302,,,,,,,
2000-7-20,,,,,558319,,,,,,,
2000-7-13,,,,,560520,,,,,,,
2000-7-6,,,,,564938,,,,,,,
2000-6-29,,,,,559552,,,,,,,
2000-6-22,,,,,558964,,,,,,,
2000-6-15,,,,,557301,,,,,,,
2000-6-8,,,,,557277,,,,,,,
2000-6-1,,,,,560269,,,,,,,
2000-5-25,,,,,552640,,,,,,,
2000-5-18,,,,,556399,,,,,,,
2000-5-11,,,,,560586,,,,,,,
2000-5-4,,,,,568555,,,,,,,
2000-4-27,,,,,564005,,,,,,,
2000-4-20,,,,,559618,,,,,,,
2000-4-13,,,,,557297,,,,,,,
2000-4-6,,,,,558850,,,,,,,
2000-3-30,,,,,553961,,,,,,,
2000-3-23,,,,,556444,,,,,,,
2000-3-16,,,,,555117,,,,,,,
2000-3-9,,,,,554851,,,,,,,
2000-3-2,,,,,556770,,,,,,,
2000-2-24,,,,,557057,,,,,,,
2000-2-17,,,,,557694,,,,,,,
2000-2-10,,,,,555766,,,,,,,
2000-2-3,,,,,558386,,,,,,,
2000-1-27,,,,,565748,,,,,,,
2000-1-20,,,,,571881,,,,,,,
2000-1-13,,,,,589585,,,,,,,
2000-1-6,,,,,636928,,,,,,,
1999-12-30,,,,,618779,,,,,,,
1999-12-23,,,,,594453,,,,,,,
1999-12-16,,,,,584135,,,,,,,
1999-12-9,,,,,574563,,,,,,,
1999-12-2,,,,,573579,,,,,,,
1999-11-26,,,,,562987,,,,,,,
1999-11-18,,,,,561724,,,,,,,
1999-11-12,,,,,552242,,,,,,,
1999-11-4,,,,,550733,,,,,,,
1999-10-28,,,,,543576,,,,,,,
1999-10-21,,,,,544461,,,,,,,
1999-10-14,,,,,541214,,,,,,,
1999-10-7,,,,,539749,,,,,,,
1999-9-30,,,,,537415,,,,,,,
1999-9-23,,,,,538437,,,,,,,
1999-9-16,,,,,534635,,,,,,,
1999-9-9,,,,,534587,,,,,,,
1999-9-2,,,,,530337,,,,,,,
1999-8-26,,,,,527424,,,,,,,
1999-8-19,,,,,527957,,,,,,,
1999-8-12,,,,,527812,,,,,,,
1999-8-5,,,,,527523,,,,,,,
1999-7-29,,,,,526240,,,,,,,
1999-7-22,,,,,523417,,,,,,,
1999-7-15,,,,,527231,,,,,,,
1999-7-8,,,,,525718,,,,,,,
1999-7-1,,,,,526643,,,,,,,
1999-6-24,,,,,519197,,,,,,,
1999-6-17,,,,,522569,,,,,,,
1999-6-10,,,,,519709,,,,,,,
1999-6-3,,,,,524681,,,,,,,
1999-5-27,,,,,515213,,,,,,,
1999-5-20,,,,,518977,,,,,,,
1999-5-13,,,,,514492,,,,,,,
1999-5-6,,,,,520501,,,,,,,
1999-4-29,,,,,513046,,,,,,,
1999-4-22,,,,,513586,,,,,,,
1999-4-15,,,,,511928,,,,,,,
1999-4-8,,,,,511083,,,,,,,
1999-4-1,,,,,509538,,,,,,,
1999-3-25,,,,,508381,,,,,,,
1999-3-18,,,,,507626,,,,,,,
1999-3-11,,,,,507167,,,,,,,
1999-3-4,,,,,503908,,,,,,,
1999-2-25,,,,,503737,,,,,,,
1999-2-18,,,,,501332,,,,,,,
1999-2-11,,,,,500970,,,,,,,
1999-2-4,,,,,499067,,,,,,,
1999-1-28,,,,,500951,,,,,,,
1999-1-21,,,,,505971,,,,,,,
1999-1-14,,,,,500534,,,,,,,
1999-1-7,,,,,515752,,,,,,,
1998-12-31,,,,,511015,,,,,,,
1998-12-24,,,,,504289,,,,,,,
1998-12-17,,,,,503135,,,,,,,
1998-12-10,,,,,496035,,,,,,,
1998-12-3,,,,,501454,,,,,,,
1998-11-27,,,,,494178,,,,,,,
1998-11-19,,,,,495256,,,,,,,
1998-11-12,,,,,493079,,,,,,,
1998-11-5,,,,,493934,,,,,,,
1998-10-29,,,,,488266,,,,,,,
1998-10-22,,,,,490871,,,,,,,
1998-10-15,,,,,,,,,,,,
1998-10-8,,,,,488464,,,,,,,
1998-10-1,,,,,487952,,,,,,,
1998-9-24,,,,,486056,,,,,,,
1998-9-17,,,,,486775,,,,,,,
1998-9-10,,,,,486298,,,,,,,
1998-9-3,,,,,483860,,,,,,,
1998-8-27,,,,,481047,,,,,,,
1998-8-20,,,,,479882,,,,,,,
1998-8-13,,,,,481990,,,,,,,
1998-8-6,,,,,480678,,,,,,,
1998-7-30,,,,,479153,,,,,,,
1998-7-23,,,,,476932,,,,,,,
1998-7-16,,,,,481522,,,,,,,
1998-7-9,,,,,479440,,,,,,,
1998-7-2,,,,,491832,,,,,,,
1998-6-25,,,,,480511,,,,,,,
1998-6-18,,,,,477649,,,,,,,
1998-6-11,,,,,472597,,,,,,,
1998-6-4,,,,,476574,,,,,,,
1998-5-28,,,,,471997,,,,,,,
1998-5-21,,,,,474000,,,,,,,
1998-5-14,,,,,469128,,,,,,,
1998-5-7,,,,,473803,,,,,,,
1998-4-30,,,,,481445,,,,,,,
1998-4-23,,,,,476170,,,,,,,
1998-4-16,,,,,471730,,,,,,,
1998-4-9,,,,,467625,,,,,,,
1998-4-2,,,,,468282,,,,,,,
1998-3-26,,,,,466556,,,,,,,
1998-3-19,,,,,468414,,,,,,,
1998-3-12,,,,,467527,,,,,,,
1998-3-5,,,,,466373,,,,,,,
1998-2-26,,,,,466237,,,,,,,
1998-2-19,,,,,464706,,,,,,,
1998-2-12,,,,,461319,,,,,,,
1998-2-5,,,,,463131,,,,,,,
1998-1-29,,,,,465445,,,,,,,
1998-1-22,,,,,466496,,,,,,,
1998-1-15,,,,,468372,,,,,,,
1998-1-8,,,,,476867,,,,,,,
1998-1-2,,,,,476190,,,,,,,
1997-12-26,,,,,471597,,,,,,,
1997-12-18,,,,,466694,,,,,,,
1997-12-11,,,,,464043,,,,,,,
1997-12-4,,,,,467322,,,,,,,
1997-11-28,,,,,460748,,,,,,,
1997-11-20,,,,,460894,,,,,,,
1997-11-13,,,,,459449,,,,,,,
1997-11-6,,,,,457793,,,,,,,
1997-10-30,,,,,453544,,,,,,,
1997-10-23,,,,,455299,,,,,,,
1997-10-16,,,,,453978,,,,,,,
1997-10-9,,,,,451412,,,,,,,
1997-10-2,,,,,453327,,,,,,,
1997-9-25,,,,,453087,,,,,,,
1997-9-18,,,,,451587,,,,,,,
1997-9-11,,,,,453121,,,,,,,
1997-9-4,,,,,453918,,,,,,,
1997-8-28,,,,,450803,,,,,,,
1997-8-21,,,,,449091,,,,,,,
1997-8-14,,,,,449622,,,,,,,
1997-8-7,,,,,447624,,,,,,,
1997-7-31,,,,,447422,,,,,,,
1997-7-24,,,,,446368,,,,,,,
1997-7-17,,,,,450727,,,,,,,
1997-7-10,,,,,449886,,,,,,,
1997-7-3,,,,,456522,,,,,,,
1997-6-26,,,,,450268,,,,,,,
1997-6-19,,,,,447544,,,,,,,
1997-6-12,,,,,443436,,,,,,,
1997-6-5,,,,,447838,,,,,,,
1997-5-29,,,,,442688,,,,,,,
1997-5-22,,,,,442278,,,,,,,
1997-5-15,,,,,450198,,,,,,,
1997-5-8,,,,,460930,,,,,,,
1997-5-1,,,,,466380,,,,,,,
1997-4-24,,,,,445849,,,,,,,
1997-4-17,,,,,443088,,,,,,,
1997-4-10,,,,,442191,,,,,,,
1997-4-3,,,,,438627,,,,,,,
