date,Reserve Bank credit,U.S. Treasury securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Central bank liquidity swaps,Term Facility
2008-3-27,869437,628977,84821,550,2,6,0,43506,,80000,,,,,,,,,,,
2008-3-20,878784,676894,61107,81,0,7,5529,43301,,80000,,,,,,,,,,,
2008-3-13,869162,709133,58714,99,0,3,,42373,,60000,,,,,,,,,,,
2008-3-6,873313,713365,59357,355,0,3,,41607,,60000,,,,,,,,,,,
2008-2-28,866606,713358,42857,169,0,5,,51323,,60000,,,,,,,,,,,
2008-2-21,866859,713364,43536,220,0,3,,51026,,60000,,,,,,,,,,,
2008-2-14,858335,713372,18357,57,0,1,,67575,,60000,,,,,,,,,,,
2008-2-7,861703,713379,21679,144,0,1,,67762,,60000,,,,,,,,,,,
2008-1-31,864627,718350,29393,25,0,2,,67996,,50000,,,,,,,,,,,
2008-1-24,861489,723298,21500,744,0,8,,67210,,50000,,,,,,,,,,,
2008-1-17,867536,728238,31321,1230,0,6,,67784,,40000,,,,,,,,,,,
2008-1-10,869212,728182,33036,1512,0,5,,67202,,40000,,,,,,,,,,,
2008-1-3,891743,740611,39750,5770,0,16,,66612,,40000,,,,,,,,,,,
2007-12-27,873512,754605,39536,4802,0,26,,55445,,20000,,,,,,,,,,,
2007-12-20,870930,769748,55750,4586,0,32,,41183,,,,,,,,,,,,,
2007-12-13,863773,774728,45643,3009,3,36,,41137,,,,,,,,,,,,,
2007-12-6,866962,779705,46857,309,0,33,,40817,,,,,,,,,,,,,
2007-11-29,869619,779683,49250,7,0,48,,41200,,,,,,,,,,,,,
2007-11-23,868136,779657,48286,434,0,46,,40337,,,,,,,,,,,,,
2007-11-15,865773,779631,43250,523,0,44,,43242,,,,,,,,,,,,,
2007-11-8,864361,779603,42821,191,0,54,,42356,,,,,,,,,,,,,
2007-11-1,862696,779568,41250,190,0,93,,42323,,,,,,,,,,,,,
2007-10-25,858846,779580,37714,142,57,95,,41747,,,,,,,,,,,,,
2007-10-18,858089,779597,38500,126,0,114,,41223,,,,,,,,,,,,,
2007-10-11,858315,779613,38071,113,0,144,,40889,,,,,,,,,,,,,
2007-10-4,861582,779630,41893,27,0,175,,40905,,,,,,,,,,,,,
2007-9-27,859548,779634,39107,88,0,218,,40676,,,,,,,,,,,,,
2007-9-20,852998,779636,30179,2179,0,241,,40140,,,,,,,,,,,,,
2007-9-13,857247,779639,33357,2932,0,226,,39743,,,,,,,,,,,,,
2007-9-6,856617,779641,37000,1103,0,238,,38985,,,,,,,,,,,,,
2007-8-30,849988,784630,24571,1315,0,262,,39203,,,,,,,,,,,,,
2007-8-23,851696,789613,22607,1200,85,256,,38690,,,,,,,,,,,,,
2007-8-16,867778,790655,36286,11,0,260,,41601,,,,,,,,,,,,,
2007-8-9,850555,790814,18571,1,0,249,,41807,,,,,,,,,,,,,
2007-8-2,857603,790758,25786,2,0,249,,41665,,,,,,,,,,,,,
2007-7-26,850186,790694,18857,3,0,236,,41321,,,,,,,,,,,,,
2007-7-19,853857,790640,22536,145,0,216,,41044,,,,,,,,,,,,,
2007-7-12,854278,790587,22893,43,0,195,,40559,,,,,,,,,,,,,
2007-7-5,857318,790531,27179,18,0,178,,40348,,,,,,,,,,,,,
2007-6-28,847621,790476,17786,5,0,174,,40006,,,,,,,,,,,,,
2007-6-21,852284,790417,22679,132,0,151,,39478,,,,,,,,,,,,,
2007-6-14,849980,790359,21071,26,0,120,,39244,,,,,,,,,,,,,
2007-6-7,857913,790300,29179,13,0,106,,38866,,,,,,,,,,,,,
2007-5-31,853787,790236,25857,6,0,122,,38979,,,,,,,,,,,,,
2007-5-24,850099,790153,22071,42,0,101,,38667,,,,,,,,,,,,,
2007-5-17,847847,790074,18036,2,0,82,,40708,,,,,,,,,,,,,
2007-5-10,853506,789796,22821,5,0,70,,41289,,,,,,,,,,,,,
2007-5-3,866926,787183,38750,6,0,60,,41225,,,,,,,,,,,,,
2007-4-26,849995,784787,24964,61,0,55,,41057,,,,,,,,,,,,,
2007-4-19,851199,782844,28571,2,0,48,,40629,,,,,,,,,,,,,
2007-4-12,849422,781362,28607,1,0,43,,39879,,,,,,,,,,,,,
2007-4-5,852245,780908,32214,87,0,28,,39775,,,,,,,,,,,,,
2007-3-29,852122,780882,32179,52,0,28,,39534,,,,,,,,,,,,,
