date,Reserve Bank credit,U.S. Treasury securities,Federal agency debt securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Central bank liquidity swaps,NON_BAILOUT_SUM
2008-8-28,884355,,,103393,18469,0,100,0,104788,,150000,,,,,,29213,,,,226750
2008-8-21,887648,,,107714,17513,0,95,0,104575,,150000,,,,,,29183,,,,229897
2008-8-14,883000,,,105786,17699,7,100,0,101987,,150000,,,,,,29145,,,,225579
2008-8-7,889150,,,110500,17370,0,93,0,103971,,150000,,,,,,29105,,,,231934
2008-7-31,892783,,,113714,17452,89,101,0,104507,,150000,,,,,,29065,,,,235863
2008-7-24,882978,,,104786,16381,34,96,0,104973,,150000,,,,,,29025,,,,226270
2008-7-17,888418,,,111143,13916,279,98,0,106359,,150000,,,,,,28955,,,,231795
2008-7-10,887866,,,113357,12856,57,101,0,105031,,150000,,,,,,28900,,,,231402
2008-7-3,890030,,,110250,14861,86,95,0,105864,,150000,,,,,,29816,,,,231156
2008-6-26,874582,,,121679,14702,0,77,0,104402,,150000,,,,,,,,,,240860
2008-6-19,877428,,,124643,13371,0,70,0,103354,,150000,,,,,,,,,,241438
2008-6-12,873485,,,116821,13148,224,67,0,104138,,150000,,,,,,,,,,234398
2008-6-5,877723,,,114107,15921,0,77,0,103695,,150000,,,,,,,,,,233800
2008-5-29,878001,,,105036,15950,1,54,0,104684,,150000,,,,,,,,,,225725
2008-5-22,871207,,,123357,13536,0,46,0,93140,,125000,,,,,,,,,,230079
2008-5-15,866213,,,95821,14416,1,37,0,95501,,125000,,,,,,,,,,205776
2008-5-8,867629,,,119571,11655,0,36,0,78959,,100000,,,,,,,,,,210221
2008-5-1,864390,,,107536,11588,0,25,0,79664,,100000,,,,,,,,,,198813
2008-4-24,868439,,,107786,10731,0,26,0,80466,,100000,,,,,,,,,,199009
2008-4-17,867193,,,106964,7841,0,18,0,80383,,100000,,,,,,,,,,195206
2008-4-10,866836,,,99179,10182,0,17,0,64765,,100000,,,,,,,,,,174143
2008-4-3,875577,,,77500,7013,0,7,0,64924,,100000,,,,,,,,,,149444
2008-3-27,869437,,,84821,550,2,6,0,43506,,80000,,,,,,,,,,128885
2008-3-20,878784,,,61107,81,0,7,5529,43301,,80000,,,,,,,,,,110025
2008-3-13,869162,,,58714,99,0,3,,42373,,60000,,,,,,,,,,101189
2008-3-6,873313,,,59357,355,0,3,,41607,,60000,,,,,,,,,,101322
2008-2-28,866606,,,42857,169,0,5,,51323,,60000,,,,,,,,,,94354
2008-2-21,866859,,,43536,220,0,3,,51026,,60000,,,,,,,,,,94785
2008-2-14,858335,,,18357,57,0,1,,67575,,60000,,,,,,,,,,85990
2008-2-7,861703,,,21679,144,0,1,,67762,,60000,,,,,,,,,,89586
2008-1-31,864627,,,29393,25,0,2,,67996,,50000,,,,,,,,,,97416
2008-1-24,861489,,,21500,744,0,8,,67210,,50000,,,,,,,,,,89462
2008-1-17,867536,,,31321,1230,0,6,,67784,,40000,,,,,,,,,,100341
2008-1-10,869212,,,33036,1512,0,5,,67202,,40000,,,,,,,,,,101755
2008-1-3,891743,,,39750,5770,0,16,,66612,,40000,,,,,,,,,,112148
2007-12-27,873512,,,39536,4802,0,26,,55445,,20000,,,,,,,,,,99809
2007-12-20,870930,,,55750,4586,0,32,,41183,,,,,,,,,,,,101551
2007-12-13,863773,,,45643,3009,3,36,,41137,,,,,,,,,,,,89828
2007-12-6,866962,,,46857,309,0,33,,40817,,,,,,,,,,,,88016
2007-11-29,869619,,,49250,7,0,48,,41200,,,,,,,,,,,,90505
2007-11-23,868136,,,48286,434,0,46,,40337,,,,,,,,,,,,89103
2007-11-15,865773,,,43250,523,0,44,,43242,,,,,,,,,,,,87059
2007-11-8,864361,,,42821,191,0,54,,42356,,,,,,,,,,,,85422
2007-11-1,862696,,,41250,190,0,93,,42323,,,,,,,,,,,,83856
2007-10-25,858846,,,37714,142,57,95,,41747,,,,,,,,,,,,79755
2007-10-18,858089,,,38500,126,0,114,,41223,,,,,,,,,,,,79963
2007-10-11,858315,,,38071,113,0,144,,40889,,,,,,,,,,,,79217
2007-10-4,861582,,,41893,27,0,175,,40905,,,,,,,,,,,,83000
2007-9-27,859548,,,39107,88,0,218,,40676,,,,,,,,,,,,80089
2007-9-20,852998,,,30179,2179,0,241,,40140,,,,,,,,,,,,72739
2007-9-13,857247,,,33357,2932,0,226,,39743,,,,,,,,,,,,76258
2007-9-6,856617,,,37000,1103,0,238,,38985,,,,,,,,,,,,77326
2007-8-30,849988,,,24571,1315,0,262,,39203,,,,,,,,,,,,65351
2007-8-23,851696,,,22607,1200,85,256,,38690,,,,,,,,,,,,62838
2007-8-16,867778,,,36286,11,0,260,,41601,,,,,,,,,,,,78158
2007-8-9,850555,,,18571,1,0,249,,41807,,,,,,,,,,,,60628
2007-8-2,857603,,,25786,2,0,249,,41665,,,,,,,,,,,,67702
2007-7-26,850186,,,18857,3,0,236,,41321,,,,,,,,,,,,60417
2007-7-19,853857,,,22536,145,0,216,,41044,,,,,,,,,,,,63941
2007-7-12,854278,,,22893,43,0,195,,40559,,,,,,,,,,,,63690
2007-7-5,857318,,,27179,18,0,178,,40348,,,,,,,,,,,,67723
2007-6-28,847621,,,17786,5,0,174,,40006,,,,,,,,,,,,57971
2007-6-21,852284,,,22679,132,0,151,,39478,,,,,,,,,,,,62440
2007-6-14,849980,,,21071,26,0,120,,39244,,,,,,,,,,,,60461
2007-6-7,857913,,,29179,13,0,106,,38866,,,,,,,,,,,,68164
2007-5-31,853787,,,25857,6,0,122,,38979,,,,,,,,,,,,64964
2007-5-24,850099,,,22071,42,0,101,,38667,,,,,,,,,,,,60881
2007-5-17,847847,,,18036,2,0,82,,40708,,,,,,,,,,,,58828
2007-5-10,853506,,,22821,5,0,70,,41289,,,,,,,,,,,,64185
2007-5-3,866926,,,38750,6,0,60,,41225,,,,,,,,,,,,80041
2007-4-26,849995,,,24964,61,0,55,,41057,,,,,,,,,,,,66137
2007-4-19,851199,,,28571,2,0,48,,40629,,,,,,,,,,,,69250
2007-4-12,849422,,,28607,1,0,43,,39879,,,,,,,,,,,,68530
2007-4-5,852245,,,32214,87,0,28,,39775,,,,,,,,,,,,72104
2007-3-29,852122,,,32179,52,0,28,,39534,,,,,,,,,,,,71793
2007-3-22,851125,,,31750,10,0,30,,39081,,,,,,,,,,,,70871
2007-3-15,851593,,,32786,5,21,28,,38621,,,,,,,,,,,,71461
2007-3-8,851757,,,33357,8,0,24,,38252,,,,,,,,,,,,71641
2007-3-1,853467,,,36286,11,0,21,,38141,,,,,,,,,,,,74459
2007-2-22,851672,,,35179,5,0,21,,37779,,,,,,,,,,,,72984
2007-2-15,847171,,,27036,14,0,24,,41129,,,,,,,,,,,,68203
2007-2-8,841481,,,22393,1,0,20,,40648,,,,,,,,,,,,63062
2007-2-1,844206,,,25500,189,0,22,,40569,,,,,,,,,,,,66280
2007-1-25,837092,,,18607,298,0,21,,39827,,,,,,,,,,,,58753
2007-1-18,846037,,,27500,265,0,19,,39564,,,,,,,,,,,,67348
2007-1-11,844553,,,26571,22,0,16,,39309,,,,,,,,,,,,65918
2007-1-4,859453,,,40857,180,0,54,,39650,,,,,,,,,,,,80741
2006-12-28,852198,,,33036,64,0,85,,39180,,,,,,,,,,,,72365
2006-12-21,845210,,,28929,107,0,85,,38263,,,,,,,,,,,,67384
2006-12-14,837607,,,22464,147,0,81,,37973,,,,,,,,,,,,60665
2006-12-7,842371,,,29679,101,0,82,,37945,,,,,,,,,,,,67807
2006-11-30,844012,,,34750,11,0,101,,37459,,,,,,,,,,,,72321
2006-11-24,838938,,,31964,100,0,99,,36598,,,,,,,,,,,,68761
2006-11-16,834832,,,25786,3,0,118,,39039,,,,,,,,,,,,64946
2006-11-9,835238,,,23536,45,0,124,,40931,,,,,,,,,,,,64636
2006-11-2,833424,,,22429,21,0,152,,40940,,,,,,,,,,,,63542
2006-10-26,830809,,,22893,9,0,165,,40732,,,,,,,,,,,,63799
2006-10-19,831456,,,22786,34,0,197,,40323,,,,,,,,,,,,63340
2006-10-12,831100,,,22250,5,0,242,,39621,,,,,,,,,,,,62118
2006-10-5,829644,,,21214,40,0,303,,39512,,,,,,,,,,,,61069
2006-9-28,825247,,,16643,31,0,353,,39974,,,,,,,,,,,,57001
2006-9-21,828940,,,19429,11,0,345,,39428,,,,,,,,,,,,59213
2006-9-14,826496,,,18250,244,0,340,,39117,,,,,,,,,,,,57951
2006-9-7,832105,,,26357,3,0,341,,38808,,,,,,,,,,,,65509
2006-8-31,828872,,,24393,52,0,361,,38896,,,,,,,,,,,,63702
2006-8-24,825027,,,21536,7,0,341,,38567,,,,,,,,,,,,60451
2006-8-17,829233,,,23429,8,0,339,,40980,,,,,,,,,,,,64756
2006-8-10,825183,,,18929,9,0,331,,41809,,,,,,,,,,,,61078
2006-8-3,832999,,,26607,141,0,345,,41541,,,,,,,,,,,,68634
2006-7-27,825902,,,20536,15,0,334,,41072,,,,,,,,,,,,61957
2006-7-20,830710,,,24286,16,0,313,,40933,,,,,,,,,,,,65548
2006-7-13,829845,,,21143,11,0,289,,41019,,,,,,,,,,,,62462
2006-7-6,836187,,,29464,15,0,276,,40488,,,,,,,,,,,,70243
2006-6-29,824729,,,18429,16,0,277,,40300,,,,,,,,,,,,59022
2006-6-22,825872,,,18571,16,0,252,,39936,,,,,,,,,,,,58775
2006-6-15,824744,,,19714,14,0,217,,39723,,,,,,,,,,,,59668
2006-6-8,829430,,,25821,14,0,209,,39574,,,,,,,,,,,,65618
2006-6-1,826970,,,26429,23,0,172,,39465,,,,,,,,,,,,66089
2006-5-25,822842,,,22857,21,0,152,,39137,,,,,,,,,,,,62167
2006-5-18,824687,,,23750,20,0,149,,40828,,,,,,,,,,,,64747
2006-5-11,824690,,,23500,40,0,134,,41592,,,,,,,,,,,,65266
2006-5-4,823061,,,25071,25,0,113,,41207,,,,,,,,,,,,66416
2006-4-27,820179,,,21536,29,0,90,,40507,,,,,,,,,,,,62162
2006-4-20,823734,,,26321,3,0,84,,39999,,,,,,,,,,,,66407
2006-4-13,817880,,,19464,526,0,74,,39647,,,,,,,,,,,,59711
2006-4-6,820479,,,24143,235,0,59,,39298,,,,,,,,,,,,63735
2006-3-30,814099,,,20750,36,0,55,,35036,,,,,,,,,,,,55877
2006-3-23,820825,,,28893,350,0,52,,34808,,,,,,,,,,,,64103
2006-3-16,820050,,,28536,10,0,49,,34155,,,,,,,,,,,,62750
2006-3-9,815376,,,25679,20,0,42,,33835,,,,,,,,,,,,59576
2006-3-2,820759,,,29036,6,0,28,,37787,,,,,,,,,,,,66857
2006-2-23,815809,,,27536,5,8,32,,37216,,,,,,,,,,,,64797
2006-2-16,815847,,,24357,66,0,32,,40182,,,,,,,,,,,,64637
2006-2-9,809112,,,20036,5,0,28,,40330,,,,,,,,,,,,60399
2006-2-2,814350,,,25393,11,0,29,,40423,,,,,,,,,,,,65856
2006-1-26,811962,,,25643,10,0,28,,40239,,,,,,,,,,,,65920
2006-1-19,816436,,,29571,292,0,29,,40179,,,,,,,,,,,,70071
2006-1-12,815874,,,30393,16,0,23,,39892,,,,,,,,,,,,70324
2006-1-5,832796,,,48750,7,0,57,,39296,,,,,,,,,,,,88110
2005-12-29,826403,,,42179,51,0,74,,39080,,,,,,,,,,,,81384
2005-12-22,817179,,,31964,365,0,72,,38770,,,,,,,,,,,,71171
2005-12-15,811624,,,27179,11,0,70,,38133,,,,,,,,,,,,65393
2005-12-8,813647,,,30893,17,0,69,,37524,,,,,,,,,,,,68503
2005-12-1,812719,,,29821,6,0,97,,37569,,,,,,,,,,,,67493
2005-11-25,806510,,,24571,23,0,94,,37224,,,,,,,,,,,,61912
2005-11-17,808873,,,25607,46,0,106,,39343,,,,,,,,,,,,65102
2005-11-10,799326,,,17857,3,0,116,,40078,,,,,,,,,,,,58054
2005-11-3,801887,,,20536,5,0,148,,40301,,,,,,,,,,,,60990
2005-10-27,797931,,,19071,40,0,183,,39891,,,,,,,,,,,,59185
2005-10-20,800945,,,21214,10,0,215,,39728,,,,,,,,,,,,61167
2005-10-13,801371,,,22143,9,0,260,,39574,,,,,,,,,,,,61986
2005-10-6,800180,,,23929,108,152,300,,39069,,,,,,,,,,,,63558
2005-9-29,800582,,,24857,12,0,339,,39294,,,,,,,,,,,,64502
2005-9-22,800393,,,27614,1,0,321,,39113,,,,,,,,,,,,67049
2005-9-15,800567,,,28036,3,0,309,,39006,,,,,,,,,,,,67354
2005-9-8,799280,,,30250,20,0,301,,38750,,,,,,,,,,,,69321
2005-9-1,797815,,,28714,6,0,326,,38420,,,,,,,,,,,,67466
2005-8-25,791441,,,25107,16,0,317,,37970,,,,,,,,,,,,63410
2005-8-18,793703,,,26857,155,0,290,,40032,,,,,,,,,,,,67334
2005-8-11,791658,,,25964,2,0,267,,41077,,,,,,,,,,,,67310
2005-8-4,799110,,,33750,448,0,262,,40691,,,,,,,,,,,,75151
2005-7-28,793287,,,28643,11,67,266,,40403,,,,,,,,,,,,69390
2005-7-21,796276,,,31643,128,0,239,,40095,,,,,,,,,,,,72105
2005-7-14,792010,,,26893,51,0,224,,40105,,,,,,,,,,,,67273
2005-7-7,795797,,,30071,539,0,206,,39748,,,,,,,,,,,,70564
2005-6-30,788567,,,23107,19,0,196,,40025,,,,,,,,,,,,63347
2005-6-23,787859,,,22286,22,0,158,,39710,,,,,,,,,,,,62176
2005-6-16,787960,,,23714,14,0,148,,39323,,,,,,,,,,,,63199
2005-6-9,790003,,,25500,2,0,150,,39201,,,,,,,,,,,,64853
2005-6-2,792472,,,29714,11,0,145,,39035,,,,,,,,,,,,68905
2005-5-26,786594,,,26357,8,0,142,,38685,,,,,,,,,,,,65192
2005-5-19,787559,,,26571,2,0,139,,40493,,,,,,,,,,,,67205
2005-5-12,783258,,,21036,8,0,126,,42134,,,,,,,,,,,,63304
2005-5-5,786449,,,26143,5,0,107,,41957,,,,,,,,,,,,68212
2005-4-28,786712,,,27321,7,0,96,,41662,,,,,,,,,,,,69086
2005-4-21,785627,,,27464,5,0,80,,41150,,,,,,,,,,,,68699
2005-4-14,781422,,,22893,211,0,68,,40997,,,,,,,,,,,,64169
2005-4-7,783431,,,25143,12,0,57,,40624,,,,,,,,,,,,65836
2005-3-31,782330,,,24643,13,0,46,,40614,,,,,,,,,,,,65316
2005-3-24,783495,,,25964,5,0,38,,40687,,,,,,,,,,,,66694
2005-3-17,785361,,,28107,8,0,35,,40430,,,,,,,,,,,,68580
2005-3-10,777647,,,20893,5,0,29,,39974,,,,,,,,,,,,60901
2005-3-5,784887,,,26571,64,0,17,,39612,,,,,,,,,,,,66264
2005-2-24,780772,,,23964,5,0,16,,39250,,,,,,,,,,,,63235
2005-2-17,783703,,,23929,9,0,14,,41473,,,,,,,,,,,,65425
2005-2-10,776603,,,16143,22,0,15,,42221,,,,,,,,,,,,58401
2005-2-3,784230,,,26321,42,0,19,,39927,,,,,,,,,,,,66309
2005-1-27,780557,,,21893,55,0,22,,39602,,,,,,,,,,,,61572
2005-1-20,783308,,,24786,35,0,19,,39702,,,,,,,,,,,,64542
2005-1-13,780682,,,22893,45,0,20,,39257,,,,,,,,,,,,62215
2005-1-6,791658,,,33214,19,0,35,,39607,,,,,,,,,,,,72875
2004-12-30,790621,,,31071,9,0,45,,39272,,,,,,,,,,,,70397
2004-12-23,784475,,,25393,19,0,56,,40878,,,,,,,,,,,,66346
2004-12-16,782668,,,24821,5,0,56,,40436,,,,,,,,,,,,65318
2004-12-9,784133,,,28071,3,0,51,,40244,,,,,,,,,,,,68369
2004-12-2,785515,,,33643,6,0,67,,39938,,,,,,,,,,,,73654
2004-11-26,779872,,,28607,5,0,71,,39414,,,,,,,,,,,,68097
2004-11-18,778583,,,27107,431,0,80,,40943,,,,,,,,,,,,68561
2004-11-12,774767,,,23643,6,0,79,,42149,,,,,,,,,,,,65877
2004-11-4,773351,,,24286,8,0,107,,41599,,,,,,,,,,,,66000
2004-10-28,770604,,,24000,51,0,147,,41100,,,,,,,,,,,,65298
2004-10-21,770529,,,26964,5,0,168,,40342,,,,,,,,,,,,67479
2004-10-14,768783,,,27071,5,0,188,,40044,,,,,,,,,,,,67308
2004-10-7,764916,,,24464,2,0,199,,39560,,,,,,,,,,,,64225
2004-9-30,765836,,,27571,9,0,245,,39269,,,,,,,,,,,,67094
2004-9-23,767481,,,31286,352,0,240,,38847,,,,,,,,,,,,70725
2004-9-16,768420,,,33500,20,0,238,,38627,,,,,,,,,,,,72385
2004-9-9,764440,,,30929,31,0,236,,38100,,,,,,,,,,,,69296
2004-9-2,764044,,,31000,31,0,242,,37971,,,,,,,,,,,,69244
2004-8-26,755206,,,22786,6,0,234,,37846,,,,,,,,,,,,60872
2004-8-19,754238,,,20536,12,0,235,,39803,,,,,,,,,,,,60586
2004-8-12,754791,,,20036,16,0,223,,41071,,,,,,,,,,,,61346
2004-8-5,757633,,,22929,31,0,234,,40475,,,,,,,,,,,,63669
2004-7-29,752230,,,18607,37,0,226,,40363,,,,,,,,,,,,59233
2004-7-22,756215,,,23536,26,0,214,,40418,,,,,,,,,,,,64194
2004-7-15,755496,,,25250,53,0,191,,40431,,,,,,,,,,,,65925
2004-7-8,754955,,,27179,59,0,165,,39901,,,,,,,,,,,,67304
2004-7-1,752257,,,25250,58,0,164,,39693,,,,,,,,,,,,65165
2004-6-24,748436,,,24250,54,0,143,,39208,,,,,,,,,,,,63655
2004-6-17,746382,,,22821,34,0,135,,38767,,,,,,,,,,,,61757
2004-6-10,746417,,,24821,32,0,126,,38470,,,,,,,,,,,,63449
2004-6-3,749607,,,29750,8,0,119,,38333,,,,,,,,,,,,68210
2004-5-27,743669,,,26107,4,0,114,,37637,,,,,,,,,,,,63862
2004-5-20,740495,,,22000,2,0,104,,39299,,,,,,,,,,,,61405
2004-5-13,741313,,,23071,16,0,93,,40687,,,,,,,,,,,,63867
2004-5-6,742139,,,24464,6,0,82,,40591,,,,,,,,,,,,65143
2004-4-29,744758,,,29429,16,0,71,,40455,,,,,,,,,,,,69971
2004-4-22,739030,,,24529,34,0,61,,40308,,,,,,,,,,,,64932
2004-4-15,740217,,,25729,33,0,52,,40347,,,,,,,,,,,,66161
2004-4-8,733554,,,19571,36,0,37,,40205,,,,,,,,,,,,59849
2004-4-1,737739,,,24357,11,0,36,,40019,,,,,,,,,,,,64423
2004-3-25,731279,,,18786,26,0,36,,39690,,,,,,,,,,,,58538
2004-3-18,736994,,,25179,48,0,27,,39342,,,,,,,,,,,,64596
2004-3-11,729556,,,18000,7,0,19,,38977,,,,,,,,,,,,57003
2004-3-4,736597,,,26286,3,0,21,,38548,,,,,,,,,,,,64858
2004-2-26,732057,,,23000,37,0,16,,38634,,,,,,,,,,,,61687
2004-2-19,739691,,,28429,11,0,11,,41394,,,,,,,,,,,,69845
2004-2-12,729540,,,17286,19,0,9,,41981,,,,,,,,,,,,59295
2004-2-5,732240,,,23214,10,0,13,,41406,,,,,,,,,,,,64643
2004-1-29,728183,,,19143,184,0,14,,41289,,,,,,,,,,,,60630
2004-1-22,738254,,,30607,212,0,11,,40771,,,,,,,,,,,,71601
2004-1-15,729489,,,21143,39,0,6,,41172,,,,,,,,,,,,62360
2004-1-8,743299,,,34679,12,0,11,,40544,,,,,,,,,,,,75246
2004-1-2,746570,,,38679,32,0,33,,40242,,,,,,,,,,,,78986
2003-12-26,739526,,,33179,33,0,37,,39810,,,,,,,,,,,,73059
2003-12-18,731854,,,25571,5,0,32,,39448,,,,,,,,,,,,65056
2003-12-11,731209,,,25893,13,0,24,,39037,,,,,,,,,,,,64967
2003-12-4,734979,,,30679,9,0,26,,38565,,,,,,,,,,,,69279
2003-11-28,729194,,,27393,5,0,42,,38192,,,,,,,,,,,,65632
2003-11-20,727983,,,24071,22,0,43,,40049,,,,,,,,,,,,64185
2003-11-13,722260,,,20464,3,0,48,,41048,,,,,,,,,,,,61563
2003-11-6,725126,,,24000,82,0,53,,40687,,,,,,,,,,,,64822
2003-10-30,726848,,,28071,19,0,71,,40823,,,,,,,,,,,,68984
2003-10-23,721122,,,24571,14,0,86,,40156,,,,,,,,,,,,64827
2003-10-16,722887,,,26393,4,0,98,,40258,,,,,,,,,,,,66753
2003-10-9,715038,,,19250,2,0,125,,39705,,,,,,,,,,,,59082
2003-10-2,727180,,,32107,23,0,155,,39389,,,,,,,,,,,,71674
2003-9-25,717608,,,22286,73,0,163,,38809,,,,,,,,,,,,61331
2003-9-18,721688,,,27893,4,0,158,,38087,,,,,,,,,,,,66142
2003-9-11,715316,,,22821,3,0,155,,37489,,,,,,,,,,,,60468
2003-9-4,725331,,,34429,9,0,157,,37323,,,,,,,,,,,,71918
2003-8-28,715426,,,24607,1,0,156,,36834,,,,,,,,,,,,61598
2003-8-21,726540,,,34071,719,66,152,,37243,,,,,,,,,,,,72251
2003-8-14,711825,,,17679,7,0,138,,40334,,,,,,,,,,,,58158
2003-8-7,716002,,,22500,21,0,133,,39856,,,,,,,,,,,,62510
2003-7-31,713408,,,20857,1,0,125,,40032,,,,,,,,,,,,61015
2003-7-24,716729,,,24250,4,0,115,,39545,,,,,,,,,,,,63914
2003-7-17,715493,,,22893,6,1,107,,39486,,,,,,,,,,,,62493
2003-7-10,718451,,,26000,8,0,91,,39236,,,,,,,,,,,,65335
2003-7-3,719541,,,28714,99,0,89,,39043,,,,,,,,,,,,67945
2003-6-26,717692,,,26321,322,0,84,,38986,,,,,,,,,,,,65713
2003-6-19,713850,,,23179,3,0,71,,38815,,,,,,,,,,,,62068
2003-6-12,713231,,,23286,2,0,61,,38374,,,,,,,,,,,,61723
2003-6-5,716921,,,27813,12,0,64,,38147,,,,,,,,,,,,66036
2003-5-29,720486,,,31857,2,0,57,,38116,,,,,,,,,,,,70032
2003-5-22,711816,,,24608,2,0,54,,37620,,,,,,,,,,,,62284
2003-5-15,714343,,,25644,2,0,49,,40855,,,,,,,,,,,,66550
2003-5-8,708240,,,20537,4,0,46,,40136,,,,,,,,,,,,60723
2003-5-1,715838,,,28751,0,0,29,,39811,,,,,,,,,,,,68591
2003-4-24,709678,,,23893,4,0,24,,39347,,,,,,,,,,,,63268
2003-4-17,711299,,,26821,16,0,20,,39046,,,,,,,,,,,,65903
2003-4-10,704413,,,21893,13,0,16,,38597,,,,,,,,,,,,60519
2003-4-3,707835,,,28464,4,0,7,,38642,,,,,,,,,,,,67117
2003-3-27,698983,,,19286,2,0,8,,38146,,,,,,,,,,,,57442
2003-3-20,704886,,,26500,9,0,8,,38026,,,,,,,,,,,,64543
2003-3-13,696359,,,19214,36,0,9,,38020,,,,,,,,,,,,57279
2003-3-6,702078,,,27136,24,0,6,,37573,,,,,,,,,,,,64739
2003-2-27,697030,,,23321,10,0,4,,37456,,,,,,,,,,,,60791
2003-2-20,701756,,,30067,14,0,5,,39838,,,,,,,,,,,,69924
2003-2-13,691408,,,19285,28,0,3,,40434,,,,,,,,,,,,59750
2003-2-6,694493,,,24393,11,0,4,,40074,,,,,,,,,,,,64482
2003-1-30,690594,,,20143,45,0,7,,40220,,,,,,,,,,,,60415
2003-1-23,697026,,,27036,12,0,7,,39728,,,,,,,,,,,,66783
2003-1-16,693039,,,24428,6,0,11,,39428,,,,,,,,,,,,63873
2003-1-9,697473,,,28393,,,17,,38899,,,,,,,,,,,,67309
2003-1-2,706754,,,38107,,,40,,39073,,,,,,,,,,,,77220
2002-12-26,703676,,,34321,,,46,,38708,,,,,,,,,,,,73075
2002-12-19,692654,,,28179,,,49,,38003,,,,,,,,,,,,66231
2002-12-12,670752,,,30750,,,46,,,,,,,,,,,,,,30796
2002-12-5,672629,,,18000,,,54,,,,,,,,,,,,,,18054
2002-11-29,669038,,,29000,,,54,,,,,,,,,,,,,,29054
