date,Reserve Bank credit,U.S. Treasury securities,Federal agency debt securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Central bank liquidity swaps,NON_BAILOUT_SUM
2008-9-4,893846,479701,,115893,18976,0,93,0,101404,,150000,,,,,,29253,,,,716067
2008-8-28,884355,479604,,103393,18469,0,100,0,104788,,150000,,,,,,29213,,,,706354
2008-8-21,887648,479500,,107714,17513,0,95,0,104575,,150000,,,,,,29183,,,,709397
2008-8-14,883000,479396,,105786,17699,7,100,0,101987,,150000,,,,,,29145,,,,704975
2008-8-7,889150,479291,,110500,17370,0,93,0,103971,,150000,,,,,,29105,,,,711225
2008-7-31,892783,479174,,113714,17452,89,101,0,104507,,150000,,,,,,29065,,,,715037
2008-7-24,882978,479089,,104786,16381,34,96,0,104973,,150000,,,,,,29025,,,,705359
2008-7-17,888418,479004,,111143,13916,279,98,0,106359,,150000,,,,,,,,,,710799
2008-7-10,887866,478925,,113357,12856,57,101,0,105031,,150000,,,,,,28900,,,,710327
2008-7-3,890030,478838,,110250,14861,86,95,0,105864,,150000,,,,,,,,,,709994
2008-6-26,874582,478773,,121679,14702,0,77,0,104402,,150000,,,,,,,,,,719633
2008-6-19,877428,478710,,124643,13371,0,70,0,103354,,150000,,,,,,,,,,720148
2008-6-12,873485,482050,,116821,13148,224,67,0,104138,,150000,,,,,,,,,,716448
2008-6-5,877723,486909,,114107,15921,0,77,0,103695,,150000,,,,,,,,,,720709
2008-5-29,878001,491064,,105036,15950,1,54,0,104684,,150000,,,,,,,,,,716789
2008-5-22,871207,502831,,123357,13536,0,46,0,93140,,125000,,,,,,,,,,732910
2008-5-15,866213,520054,,95821,14416,1,37,0,95501,,125000,,,,,,,,,,725830
2008-5-8,867629,542395,,119571,11655,0,36,0,78959,,100000,,,,,,,,,,752616
2008-5-1,864390,548680,,107536,11588,0,25,0,79664,,100000,,,,,,,,,,747493
2008-4-24,868439,548651,,107786,10731,0,26,0,80466,,100000,,,,,,,,,,747660
2008-4-17,867193,548622,,106964,7841,0,18,0,80383,,100000,,,,,,,,,,743828
2008-4-10,866836,560817,,99179,10182,0,17,0,64765,,100000,,,,,,,,,,734960
2008-4-3,875577,589085,,77500,7013,0,7,0,64924,,100000,,,,,,,,,,738529
2008-3-27,869437,628977,,84821,550,2,6,0,43506,,80000,,,,,,,,,,757862
2008-3-20,878784,676894,,61107,81,0,7,5529,43301,,80000,,,,,,,,,,786919
2008-3-13,869162,709133,,58714,99,0,3,,42373,,60000,,,,,,,,,,810322
2008-3-6,873313,713365,,59357,355,0,3,,41607,,60000,,,,,,,,,,814687
2008-2-28,866606,713358,,42857,169,0,5,,51323,,60000,,,,,,,,,,807712
2008-2-21,866859,713364,,43536,220,0,3,,51026,,60000,,,,,,,,,,808149
2008-2-14,858335,713372,,18357,57,0,1,,67575,,60000,,,,,,,,,,799362
2008-2-7,861703,713379,,21679,144,0,1,,67762,,60000,,,,,,,,,,802965
2008-1-31,864627,718350,,29393,25,0,2,,67996,,50000,,,,,,,,,,815766
2008-1-24,861489,723298,,21500,744,0,8,,67210,,50000,,,,,,,,,,812760
2008-1-17,867536,728238,,31321,1230,0,6,,67784,,40000,,,,,,,,,,828579
2008-1-10,869212,728182,,33036,1512,0,5,,67202,,40000,,,,,,,,,,829937
2008-1-3,891743,740611,,39750,5770,0,16,,66612,,40000,,,,,,,,,,852759
2007-12-27,873512,754605,,39536,4802,0,26,,55445,,20000,,,,,,,,,,854414
2007-12-20,870930,769748,,55750,4586,0,32,,41183,,,,,,,,,,,,871299
2007-12-13,863773,774728,,45643,3009,3,36,,41137,,,,,,,,,,,,864556
2007-12-6,866962,779705,,46857,309,0,33,,40817,,,,,,,,,,,,867721
2007-11-29,869619,779683,,49250,7,0,48,,41200,,,,,,,,,,,,870188
2007-11-23,868136,779657,,48286,434,0,46,,40337,,,,,,,,,,,,868760
2007-11-15,865773,779631,,43250,523,0,44,,43242,,,,,,,,,,,,866690
2007-11-8,864361,779603,,42821,191,0,54,,42356,,,,,,,,,,,,865025
2007-11-1,862696,779568,,41250,190,0,93,,42323,,,,,,,,,,,,863424
2007-10-25,858846,779580,,37714,142,57,95,,41747,,,,,,,,,,,,859335
2007-10-18,858089,779597,,38500,126,0,114,,41223,,,,,,,,,,,,859560
2007-10-11,858315,779613,,38071,113,0,144,,40889,,,,,,,,,,,,858830
2007-10-4,861582,779630,,41893,27,0,175,,40905,,,,,,,,,,,,862630
2007-9-27,859548,779634,,39107,88,0,218,,40676,,,,,,,,,,,,859723
2007-9-20,852998,779636,,30179,2179,0,241,,40140,,,,,,,,,,,,852375
2007-9-13,857247,779639,,33357,2932,0,226,,39743,,,,,,,,,,,,855897
2007-9-6,856617,779641,,37000,1103,0,238,,38985,,,,,,,,,,,,856967
2007-8-30,849988,784630,,24571,1315,0,262,,39203,,,,,,,,,,,,849981
2007-8-23,851696,789613,,22607,1200,85,256,,38690,,,,,,,,,,,,852451
2007-8-16,867778,790655,,36286,11,0,260,,41601,,,,,,,,,,,,868813
2007-8-9,850555,790814,,18571,1,0,249,,41807,,,,,,,,,,,,851442
2007-8-2,857603,790758,,25786,2,0,249,,41665,,,,,,,,,,,,858460
2007-7-26,850186,790694,,18857,3,0,236,,41321,,,,,,,,,,,,851111
2007-7-19,853857,790640,,22536,145,0,216,,41044,,,,,,,,,,,,854581
2007-7-12,854278,790587,,22893,43,0,195,,40559,,,,,,,,,,,,854277
2007-7-5,857318,790531,,27179,18,0,178,,40348,,,,,,,,,,,,858254
2007-6-28,847621,790476,,17786,5,0,174,,40006,,,,,,,,,,,,848447
2007-6-21,852284,790417,,22679,132,0,151,,39478,,,,,,,,,,,,852857
2007-6-14,849980,790359,,21071,26,0,120,,39244,,,,,,,,,,,,850820
2007-6-7,857913,790300,,29179,13,0,106,,38866,,,,,,,,,,,,858464
2007-5-31,853787,790236,,25857,6,0,122,,38979,,,,,,,,,,,,855200
2007-5-24,850099,790153,,22071,42,0,101,,38667,,,,,,,,,,,,851034
2007-5-17,847847,790074,,18036,2,0,82,,40708,,,,,,,,,,,,848902
2007-5-10,853506,789796,,22821,5,0,70,,41289,,,,,,,,,,,,853981
2007-5-3,866926,787183,,38750,6,0,60,,41225,,,,,,,,,,,,867224
2007-4-26,849995,784787,,24964,61,0,55,,41057,,,,,,,,,,,,850924
2007-4-19,851199,782844,,28571,2,0,48,,40629,,,,,,,,,,,,852094
2007-4-12,849422,781362,,28607,1,0,43,,39879,,,,,,,,,,,,849892
2007-4-5,852245,780908,,32214,87,0,28,,39775,,,,,,,,,,,,853012
2007-3-29,852122,780882,,32179,52,0,28,,39534,,,,,,,,,,,,852675
2007-3-22,851125,780857,,31750,10,0,30,,39081,,,,,,,,,,,,851728
2007-3-15,851593,780833,,32786,5,21,28,,38621,,,,,,,,,,,,852294
2007-3-8,851757,780809,,33357,8,0,24,,38252,,,,,,,,,,,,852450
2007-3-1,853467,779447,,36286,11,0,21,,38141,,,,,,,,,,,,853906
2007-2-22,851672,778898,,35179,5,0,21,,37779,,,,,,,,,,,,851882
2007-2-15,847171,778884,,27036,14,0,24,,41129,,,,,,,,,,,,847087
2007-2-8,841481,778871,,22393,1,0,20,,40648,,,,,,,,,,,,841933
2007-2-1,844206,778868,,25500,189,0,22,,40569,,,,,,,,,,,,845148
2007-1-25,837092,778880,,18607,298,0,21,,39827,,,,,,,,,,,,837633
2007-1-18,846037,778891,,27500,265,0,19,,39564,,,,,,,,,,,,846239
2007-1-11,844553,778902,,26571,22,0,16,,39309,,,,,,,,,,,,844820
2007-1-4,859453,778916,,40857,180,0,54,,39650,,,,,,,,,,,,859657
