date,Reserve Bank credit,U.S. Treasury securities,Federal agency debt securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Central bank liquidity swaps,NON_BAILOUT_SUM
2009-2-26,1900189,199950,,0,64408,7,2,0,43395,68529,447563,25618,11382,38046,246233,0,25924,18641,27677,374590,307762
2009-2-19,1907301,199950,,0,65992,4,3,0,45793,63071,447563,26001,13875,37355,250358,0,25883,18631,27639,379687,311742
2009-2-12,1830406,199950,,0,64574,35,4,0,44617,7377,412883,25805,15111,37677,256153,0,25863,18674,27528,389671,309180
2009-2-5,1840746,169962,,0,67426,5,2,0,44209,7377,412883,30264,16981,39013,259315,0,25785,18965,27464,388791,281604
2009-1-29,1989877,174840,,17143,64990,34,1,0,44428,6824,415859,32054,14593,38336,316201,0,26980,19692,27037,465853,301436
2009-1-22,2049246,199747,,37143,61618,74,1,0,520184,5784,416031,32679,15482,38445,349940,0,27131,19802,26946,,818767
2009-1-15,2069182,199686,,57143,69101,41,0,0,575496,1542,371387,33690,18767,39124,334582,0,27070,19795,26889,,901467
2009-1-8,2177564,229403,,77143,87935,16,2,0,605725,,406805,35977,22868,39003,334272,0,27028,20071,26798,,1000224
2009-1-2,2246527,263600,,80000,86550,18,4,0,625741,,450219,38476,23797,38924,332410,0,26974,20059,27990,,1055913
2008-12-29,2207272,289247,,80000,86260,51,3,0,613939,,420806,45679,24858,40018,325796,0,26918,20033,28085,,1069500
2008-12-18,2253739,364177,,80000,88407,3,2,0,642233,,447959,50493,29274,44347,315267,0,26892,17519,19608,,1174822
2008-12-11,2241457,404123,,80000,90161,78,2,0,628030,,447959,52802,40826,56723,308518,0,27054,,20957,,1202394
2008-12-4,2117751,440528,,80000,90333,158,4,0,542474,,406508,57198,51936,55944,297576,0,26994,,21153,,1153497
2008-11-28,2093892,479054,,80000,93628,225,5,0,520864,,406508,52418,57318,79585,282197,0,26928,,6010,,1173776
2008-11-20,2178894,508956,,80000,91552,112,9,85177,606429,,415302,50170,69798,,265691,,26945,,,,1372235
2008-11-13,2198204,558892,,80000,95380,89,10,82275,615041,,415302,64933,80244,,249910,,26876,,,,1431687
2008-11-6,2055846,558851,,80000,109994,0,10,80257,573915,,301363,77020,91729,,226008,,26850,,,,1403027
2008-10-30,1872948,558864,,80000,111946,1,17,89549,546006,,301363,87393,99902,,40819,,26809,,,,1386383
2008-10-23,1803300,524771,,80000,105754,0,19,87332,522906,,263092,111255,114219,,,,29137,,,,1320782
2008-10-16,1740078,494853,,80000,99659,4,25,77101,440320,,263092,131125,129616,,,,29492,,,,1191962
2008-10-9,1494726,405771,,81143,75010,4,39,65151,325071,,149000,134066,145890,,,,29452,,,,952189
2008-10-2,1388565,266081,,83000,44463,286,74,53176,271888,,149143,147692,122104,,,,29413,,,,718968
2008-9-25,1134942,117046,,111714,39357,19,95,38375,176891,,150000,88147,21760,,,,29373,,,,483497
2008-9-18,931340,4941,,124500,21598,8,96,6000,100791,,150000,,,,,,29333,,,,257934
2008-9-11,888283,4723,,110821,19796,0,95,0,99563,,150000,,,,,,29293,,,,234998
2008-9-4,893846,4746,,115893,18976,0,93,0,101404,,150000,,,,,,29253,,,,241112
2008-8-28,884355,4828,,103393,18469,0,100,0,104788,,150000,,,,,,29213,,,,231578
2008-8-21,887648,4765,,107714,17513,0,95,0,104575,,150000,,,,,,29183,,,,234662
2008-8-14,883000,4859,,105786,17699,7,100,0,101987,,150000,,,,,,29145,,,,230438
2008-8-7,889150,4880,,110500,17370,0,93,0,103971,,150000,,,,,,29105,,,,236814
2008-7-31,892783,5094,,113714,17452,89,101,0,104507,,150000,,,,,,29065,,,,240957
2008-7-24,882978,5419,,104786,16381,34,96,0,104973,,150000,,,,,,29025,,,,231689
2008-7-17,888418,4711,,111143,13916,279,98,0,106359,,150000,,,,,,28955,,,,236506
2008-7-10,887866,5180,,113357,12856,57,101,0,105031,,150000,,,,,,28900,,,,236582
2008-7-3,890030,5042,,110250,14861,86,95,0,105864,,150000,,,,,,29816,,,,236198
2008-6-26,874582,1353434,,121679,14702,0,77,0,104402,,150000,,,,,,,,,,1594294
2008-6-19,877428,1359927,,124643,13371,0,70,0,103354,,150000,,,,,,,,,,1601365
2008-6-12,873485,1349729,,116821,13148,224,67,0,104138,,150000,,,,,,,,,,1584127
2008-6-5,877723,1350554,,114107,15921,0,77,0,103695,,150000,,,,,,,,,,1584354
2008-5-29,878001,1345503,,105036,15950,1,54,0,104684,,150000,,,,,,,,,,1571228
2008-5-22,871207,1337621,,123357,13536,0,46,0,93140,,125000,,,,,,,,,,1567700
2008-5-15,866213,1348648,,95821,14416,1,37,0,95501,,125000,,,,,,,,,,1554424
2008-5-8,867629,1346761,,119571,11655,0,36,0,78959,,100000,,,,,,,,,,1556982
2008-5-1,864390,1329532,,107536,11588,0,25,0,79664,,100000,,,,,,,,,,1528345
2008-4-24,868439,1331610,,107786,10731,0,26,0,80466,,100000,,,,,,,,,,1530619
2008-4-17,867193,1327635,,106964,7841,0,18,0,80383,,100000,,,,,,,,,,1522841
2008-4-10,866836,1312438,,99179,10182,0,17,0,64765,,100000,,,,,,,,,,1486581
2008-4-3,875577,1298702,,77500,7013,0,7,0,64924,,100000,,,,,,,,,,1448146
2008-3-27,869437,1284715,,84821,550,2,6,0,43506,,80000,,,,,,,,,,1413600
2008-3-20,878784,1280342,,61107,81,0,7,5529,43301,,80000,,,,,,,,,,1390367
2008-3-13,869162,1277697,,58714,99,0,3,,42373,,60000,,,,,,,,,,1378886
2008-3-6,873313,1280627,,59357,355,0,3,,41607,,60000,,,,,,,,,,1381949
2008-2-28,866606,1270283,,42857,169,0,5,,51323,,60000,,,,,,,,,,1364637
2008-2-21,866859,1264063,,43536,220,0,3,,51026,,60000,,,,,,,,,,1358848
2008-2-14,858335,1266680,,18357,57,0,1,,67575,,60000,,,,,,,,,,1352670
2008-2-7,861703,1267132,,21679,144,0,1,,67762,,60000,,,,,,,,,,1356718
2008-1-31,864627,1256281,,29393,25,0,2,,67996,,50000,,,,,,,,,,1353697
2008-1-24,861489,1251102,,21500,744,0,8,,67210,,50000,,,,,,,,,,1340564
2008-1-17,867536,1238967,,31321,1230,0,6,,67784,,40000,,,,,,,,,,1339308
2008-1-10,869212,1231838,,33036,1512,0,5,,67202,,40000,,,,,,,,,,1333593
2008-1-3,891743,1230841,,39750,5770,0,16,,66612,,40000,,,,,,,,,,1342989
2007-12-27,873512,1226184,,39536,4802,0,26,,55445,,20000,,,,,,,,,,1325993
2007-12-20,870930,1224633,,55750,4586,0,32,,41183,,,,,,,,,,,,1326184
2007-12-13,863773,1228614,,45643,3009,3,36,,41137,,,,,,,,,,,,1318442
2007-12-6,866962,1225718,,46857,309,0,33,,40817,,,,,,,,,,,,1313734
2007-11-29,869619,1225293,,49250,7,0,48,,41200,,,,,,,,,,,,1315798
2007-11-23,868136,1223270,,48286,434,0,46,,40337,,,,,,,,,,,,1312373
2007-11-15,865773,1234478,,43250,523,0,44,,43242,,,,,,,,,,,,1321537
2007-11-8,864361,1237175,,42821,191,0,54,,42356,,,,,,,,,,,,1322597
2007-11-1,862696,1231478,,41250,190,0,93,,42323,,,,,,,,,,,,1315334
2007-10-25,858846,1234088,,37714,142,57,95,,41747,,,,,,,,,,,,1313843
2007-10-18,858089,1230231,,38500,126,0,114,,41223,,,,,,,,,,,,1310194
2007-10-11,858315,1221835,,38071,113,0,144,,40889,,,,,,,,,,,,1301052
2007-10-4,861582,1214132,,41893,27,0,175,,40905,,,,,,,,,,,,1297132
2007-9-27,859548,1214842,,39107,88,0,218,,40676,,,,,,,,,,,,1294931
2007-9-20,852998,1210997,,30179,2179,0,241,,40140,,,,,,,,,,,,1283736
2007-9-13,857247,1207142,,33357,2932,0,226,,39743,,,,,,,,,,,,1283400
2007-9-6,856617,1207179,,37000,1103,0,238,,38985,,,,,,,,,,,,1284505
2007-8-30,849988,1205372,,24571,1315,0,262,,39203,,,,,,,,,,,,1270723
2007-8-23,851696,1218830,,22607,1200,85,256,,38690,,,,,,,,,,,,1281668
2007-8-16,867778,1243962,,36286,11,0,260,,41601,,,,,,,,,,,,1322120
2007-8-9,850555,1247819,,18571,1,0,249,,41807,,,,,,,,,,,,1308447
2007-8-2,857603,1252176,,25786,2,0,249,,41665,,,,,,,,,,,,1319878
2007-7-26,850186,1253258,,18857,3,0,236,,41321,,,,,,,,,,,,1313675
2007-7-19,853857,1251477,,22536,145,0,216,,41044,,,,,,,,,,,,1315418
2007-7-12,854278,1245021,,22893,43,0,195,,40559,,,,,,,,,,,,1308711
2007-7-5,857318,1240662,,27179,18,0,178,,40348,,,,,,,,,,,,1308385
2007-6-28,847621,1231611,,17786,5,0,174,,40006,,,,,,,,,,,,1289582
2007-6-21,852284,1230950,,22679,132,0,151,,39478,,,,,,,,,,,,1293390
2007-6-14,849980,1226667,,21071,26,0,120,,39244,,,,,,,,,,,,1287128
2007-6-7,857913,1229911,,29179,13,0,106,,38866,,,,,,,,,,,,1298075
2007-5-31,853787,1231410,,25857,6,0,122,,38979,,,,,,,,,,,,1296374
2007-5-24,850099,1221737,,22071,42,0,101,,38667,,,,,,,,,,,,1282618
2007-5-17,847847,1224733,,18036,2,0,82,,40708,,,,,,,,,,,,1283561
2007-5-10,853506,1228032,,22821,5,0,70,,41289,,,,,,,,,,,,1292217
