date,Reserve Bank credit,U.S. Treasury securities,Federal agency debt securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Central bank liquidity swaps,NON_BAILOUT_SUM
2007-5-3,866926,1227308,,38750,6,0,60,,41225,,,,,,,,,,,,1307349
2007-4-26,849995,1228017,,24964,61,0,55,,41057,,,,,,,,,,,,1294154
2007-4-19,851199,1235924,,28571,2,0,48,,40629,,,,,,,,,,,,1305174
2007-4-12,849422,1236121,,28607,1,0,43,,39879,,,,,,,,,,,,1304651
2007-4-5,852245,1220359,,32214,87,0,28,,39775,,,,,,,,,,,,1292463
2007-3-29,852122,1210818,,32179,52,0,28,,39534,,,,,,,,,,,,1282611
2007-3-22,851125,1217428,,31750,10,0,30,,39081,,,,,,,,,,,,1288299
2007-3-15,851593,1213730,,32786,5,21,28,,38621,,,,,,,,,,,,1285191
2007-3-8,851757,1209870,,33357,8,0,24,,38252,,,,,,,,,,,,1281511
2007-3-1,853467,1200513,,36286,11,0,21,,38141,,,,,,,,,,,,1274972
2007-2-22,851672,1192778,,35179,5,0,21,,37779,,,,,,,,,,,,1265762
2007-2-15,847171,1183729,,27036,14,0,24,,41129,,,,,,,,,,,,1251932
2007-2-8,841481,1180647,,22393,1,0,20,,40648,,,,,,,,,,,,1243709
2007-2-1,844206,1173303,,25500,189,0,22,,40569,,,,,,,,,,,,1239583
2007-1-25,837092,1169180,,18607,298,0,21,,39827,,,,,,,,,,,,1227933
2007-1-18,846037,1167812,,27500,265,0,19,,39564,,,,,,,,,,,,1235160
2007-1-11,844553,1167850,,26571,22,0,16,,39309,,,,,,,,,,,,1233768
2007-1-4,859453,1162289,,40857,180,0,54,,39650,,,,,,,,,,,,1243030
