date,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Repurchase agreements,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane II LLC,Reserve Bank credit,U.S. Treasury securities,Other credit extensions,Primary credit,Seasonal credit,Net portfolio holdings of Maiden Lance LLC,Primary dealer and other broker-dealer credit,Asset-backed Commercial paper money market Mutual Fund Liquidity Facility,Federal agency debt securities,Term Auction credit,Mortgage-backed securities,Secondary credit,"Credit extended to American International Group, Inc.",Other federal reserve assets,Central bank liquidity swaps,NON_BAILOUT_SUM
2009-2-26,27677,0,0,246233,18641,1900189,474684,0,64408,2,25924,25618,11382,35869,447563,68529,7,38046,43395,374590,618365
2009-2-19,27639,0,0,250358,18631,1907301,474790,0,65992,3,25883,26001,13875,32558,447563,63071,4,37355,45793,379687,619140
2009-2-12,27528,0,0,256153,18674,1830406,474910,0,64574,4,25863,25805,15111,31831,412883,7377,35,37677,44617,389671,615971
2009-2-5,27464,0,0,259315,18965,1840746,475034,0,67426,2,25785,30264,16981,29029,412883,7377,5,39013,44209,388791,615705
2009-1-29,27037,0,17143,316201,19692,1989877,475200,0,64990,1,26980,32054,14593,26668,415859,6824,34,38336,44428,465853,628464
2009-1-22,26946,0,37143,349940,19802,2049246,475381,0,61618,1,27131,32679,15482,24158,416031,5784,74,38445,520184,,1118559
2009-1-15,26889,0,57143,334582,19795,2069182,475589,0,69101,0,27070,33690,18767,20358,371387,1542,41,39124,575496,,1197728
2009-1-8,26798,0,77143,334272,20071,2177564,,0,87935,2,27028,35977,22868,,406805,,16,39003,605725,,770821
2009-1-2,27990,0,80000,332410,20059,2246527,,0,86550,4,26974,38476,23797,,450219,,18,38924,625741,,792313
2008-12-29,28085,0,80000,325796,20033,2207272,,0,86260,3,26918,45679,24858,,420806,,51,40018,613939,,780253
2008-12-18,19608,0,80000,315267,17519,2253739,,0,88407,2,26892,50493,29274,,447959,,3,44347,642233,,810645
2008-12-11,20957,0,80000,308518,,2241457,,0,90161,2,27054,52802,40826,,447959,,78,56723,628030,,798271
2008-12-4,21153,0,80000,297576,,2117751,,0,90333,4,26994,57198,51936,,406508,,158,55944,542474,,712969
2008-11-28,6010,0,80000,282197,,2093892,,0,93628,5,26928,52418,57318,,406508,,225,79585,520864,,694722
2008-11-20,,,80000,265691,,2178894,,85177,91552,9,26945,50170,69798,,415302,,112,,606429,,863279
2008-11-13,,,80000,249910,,2198204,,82275,95380,10,26876,64933,80244,,415302,,89,,615041,,872795
2008-11-6,,,80000,226008,,2055846,,80257,109994,10,26850,77020,91729,,301363,,0,,573915,,844176
2008-10-30,,,80000,40819,,1872948,,89549,111946,17,26809,87393,99902,,301363,,1,,546006,,827519
2008-10-23,,,80000,,,1803300,,87332,105754,19,29137,111255,114219,,263092,,0,,522906,,796011
2008-10-16,,,80000,,,1740078,,77101,99659,25,29492,131125,129616,,263092,,4,,440320,,697109
