date,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Repurchase agreements,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane II LLC,Reserve Bank credit,U.S. Treasury securities,Other credit extensions,Primary credit,Seasonal credit,Net portfolio holdings of Maiden Lance LLC,Primary dealer and other broker-dealer credit,Asset-backed Commercial paper money market Mutual Fund Liquidity Facility,Federal agency debt securities,Term Auction credit,Mortgage-backed securities,Secondary credit,"Credit extended to American International Group, Inc.",Other federal reserve assets,Central bank liquidity swaps,NON_BAILOUT_SUM
2008-10-9,,,81143,,,1494726,,65151,75010,39,29452,134066,145890,,149000,,4,,325071,,546418
2008-10-2,,,83000,,,1388565,,53176,44463,74,29413,147692,122104,,149143,,286,,271888,,452887
2008-9-25,,,111714,,,1134942,,38375,39357,95,29373,88147,21760,,150000,,19,,176891,,366451
2008-9-18,,,124500,,,931340,,6000,21598,96,29333,,,,150000,,8,,100791,,252993
2008-9-11,,,110821,,,888283,,0,19796,95,29293,,,,150000,,0,,99563,,230275
2008-9-4,,,115893,,,893846,,0,18976,93,29253,,,,150000,,0,,101404,,236366
2008-8-28,,,103393,,,884355,,0,18469,100,29213,,,,150000,,0,,104788,,226750
2008-8-21,,,107714,,,887648,,0,17513,95,29183,,,,150000,,0,,104575,,229897
2008-8-14,,,105786,,,883000,,0,17699,100,29145,,,,150000,,7,,101987,,225579
2008-8-7,,,110500,,,889150,,0,17370,93,29105,,,,150000,,0,,103971,,231934
2008-7-31,,,113714,,,892783,,0,17452,101,29065,,,,150000,,89,,104507,,235863
2008-7-24,,,104786,,,882978,,0,16381,96,29025,,,,150000,,34,,104973,,226270
2008-7-17,,,111143,,,888418,,0,13916,98,28955,,,,150000,,279,,106359,,231795
2008-7-10,,,113357,,,887866,,0,12856,101,28900,,,,150000,,57,,105031,,231402
2008-7-3,,,110250,,,890030,,0,14861,95,29816,,,,150000,,86,,105864,,231156
2008-6-26,,,121679,,,874582,,0,14702,77,,,,,150000,,0,,104402,,240860
2008-6-19,,,124643,,,877428,,0,13371,70,,,,,150000,,0,,103354,,241438
2008-6-12,,,116821,,,873485,,0,13148,67,,,,,150000,,224,,104138,,234398
2008-6-5,,,114107,,,877723,,0,15921,77,,,,,150000,,0,,103695,,233800
2008-5-29,,,105036,,,878001,,0,15950,54,,,,,150000,,1,,104684,,225725
2008-5-22,,,123357,,,871207,,0,13536,46,,,,,125000,,0,,93140,,230079
2008-5-15,,,95821,,,866213,,0,14416,37,,,,,125000,,1,,95501,,205776
2008-5-8,,,119571,,,867629,,0,11655,36,,,,,100000,,0,,78959,,210221
2008-5-1,,,107536,,,864390,,0,11588,25,,,,,100000,,0,,79664,,198813
2008-4-24,,,107786,,,868439,,0,10731,26,,,,,100000,,0,,80466,,199009
2008-4-17,,,106964,,,867193,,0,7841,18,,,,,100000,,0,,80383,,195206
2008-4-10,,,99179,,,866836,,0,10182,17,,,,,100000,,0,,64765,,174143
2008-4-3,,,77500,,,875577,,0,7013,7,,,,,100000,,0,,64924,,149444
2008-3-27,,,84821,,,869437,,0,550,6,,,,,80000,,2,,43506,,128885
2008-3-20,,,61107,,,878784,,5529,81,7,,,,,80000,,0,,43301,,110025
2008-3-13,,,58714,,,869162,,,99,3,,,,,60000,,0,,42373,,101189
2008-3-6,,,59357,,,873313,,,355,3,,,,,60000,,0,,41607,,101322
2008-2-28,,,42857,,,866606,,,169,5,,,,,60000,,0,,51323,,94354
2008-2-21,,,43536,,,866859,,,220,3,,,,,60000,,0,,51026,,94785
2008-2-14,,,18357,,,858335,,,57,1,,,,,60000,,0,,67575,,85990
2008-2-7,,,21679,,,861703,,,144,1,,,,,60000,,0,,67762,,89586
2008-1-31,,,29393,,,864627,,,25,2,,,,,50000,,0,,67996,,97416
2008-1-24,,,21500,,,861489,,,744,8,,,,,50000,,0,,67210,,89462
2008-1-17,,,31321,,,867536,,,1230,6,,,,,40000,,0,,67784,,100341
2008-1-10,,,33036,,,869212,,,1512,5,,,,,40000,,0,,67202,,101755
2008-1-3,,,39750,,,891743,,,5770,16,,,,,40000,,0,,66612,,112148
2007-12-27,,,39536,,,873512,,,4802,26,,,,,20000,,0,,55445,,99809
2007-12-20,,,55750,,,870930,,,4586,32,,,,,,,0,,41183,,101551
2007-12-13,,,45643,,,863773,,,3009,36,,,,,,,3,,41137,,89828
2007-12-6,,,46857,,,866962,,,309,33,,,,,,,0,,40817,,88016
2007-11-29,,,49250,,,869619,,,7,48,,,,,,,0,,41200,,90505
2007-11-23,,,48286,,,868136,,,434,46,,,,,,,0,,40337,,89103
2007-11-15,,,43250,,,865773,,,523,44,,,,,,,0,,43242,,87059
2007-11-8,,,42821,,,864361,,,191,54,,,,,,,0,,42356,,85422
2007-11-1,,,41250,,,862696,,,190,93,,,,,,,0,,42323,,83856
2007-10-25,,,37714,,,858846,,,142,95,,,,,,,57,,41747,,79755
2007-10-18,,,38500,,,858089,,,126,114,,,,,,,0,,41223,,79963
2007-10-11,,,38071,,,858315,,,113,144,,,,,,,0,,40889,,79217
2007-10-4,,,41893,,,861582,,,27,175,,,,,,,0,,40905,,83000
2007-9-27,,,39107,,,859548,,,88,218,,,,,,,0,,40676,,80089
2007-9-20,,,30179,,,852998,,,2179,241,,,,,,,0,,40140,,72739
2007-9-13,,,33357,,,857247,,,2932,226,,,,,,,0,,39743,,76258
2007-9-6,,,37000,,,856617,,,1103,238,,,,,,,0,,38985,,77326
2007-8-30,,,24571,,,849988,,,1315,262,,,,,,,0,,39203,,65351
2007-8-23,,,22607,,,851696,,,1200,256,,,,,,,85,,38690,,62838
2007-8-16,,,36286,,,867778,,,11,260,,,,,,,0,,41601,,78158
2007-8-9,,,18571,,,850555,,,1,249,,,,,,,0,,41807,,60628
2007-8-2,,,25786,,,857603,,,2,249,,,,,,,0,,41665,,67702
2007-7-26,,,18857,,,850186,,,3,236,,,,,,,0,,41321,,60417
2007-7-19,,,22536,,,853857,,,145,216,,,,,,,0,,41044,,63941
2007-7-12,,,22893,,,854278,,,43,195,,,,,,,0,,40559,,63690
2007-7-5,,,27179,,,857318,,,18,178,,,,,,,0,,40348,,67723
2007-6-28,,,17786,,,847621,,,5,174,,,,,,,0,,40006,,57971
2007-6-21,,,22679,,,852284,,,132,151,,,,,,,0,,39478,,62440
2007-6-14,,,21071,,,849980,,,26,120,,,,,,,0,,39244,,60461
2007-6-7,,,29179,,,857913,,,13,106,,,,,,,0,,38866,,68164
2007-5-31,,,25857,,,853787,,,6,122,,,,,,,0,,38979,,64964
2007-5-24,,,22071,,,850099,,,42,101,,,,,,,0,,38667,,60881
2007-5-17,,,18036,,,847847,,,2,82,,,,,,,0,,40708,,58828
2007-5-10,,,22821,,,853506,,,5,70,,,,,,,0,,41289,,64185
2007-5-3,,,38750,,,866926,,,6,60,,,,,,,0,,41225,,80041
2007-4-26,,,24964,,,849995,,,61,55,,,,,,,0,,41057,,66137
2007-4-19,,,28571,,,851199,,,2,48,,,,,,,0,,40629,,69250
2007-4-12,,,28607,,,849422,,,1,43,,,,,,,0,,39879,,68530
2007-4-5,,,32214,,,852245,,,87,28,,,,,,,0,,39775,,72104
2007-3-29,,,32179,,,852122,,,52,28,,,,,,,0,,39534,,71793
2007-3-22,,,31750,,,851125,,,10,30,,,,,,,0,,39081,,70871
2007-3-15,,,32786,,,851593,,,5,28,,,,,,,21,,38621,,71461
2007-3-8,,,33357,,,851757,,,8,24,,,,,,,0,,38252,,71641
2007-3-1,,,36286,,,853467,,,11,21,,,,,,,0,,38141,,74459
2007-2-22,,,35179,,,851672,,,5,21,,,,,,,0,,37779,,72984
2007-2-15,,,27036,,,847171,,,14,24,,,,,,,0,,41129,,68203
2007-2-8,,,22393,,,841481,,,1,20,,,,,,,0,,40648,,63062
2007-2-1,,,25500,,,844206,,,189,22,,,,,,,0,,40569,,66280
2007-1-25,,,18607,,,837092,,,298,21,,,,,,,0,,39827,,58753
2007-1-18,,,27500,,,846037,,,265,19,,,,,,,0,,39564,,67348
2007-1-11,,,26571,,,844553,,,22,16,,,,,,,0,,39309,,65918
2007-1-4,,,40857,,,859453,,,180,54,,,,,,,0,,39650,,80741
2006-12-28,,,33036,,,852198,,,64,85,,,,,,,0,,39180,,72365
2006-12-21,,,28929,,,845210,,,107,85,,,,,,,0,,38263,,67384
2006-12-14,,,22464,,,837607,,,147,81,,,,,,,0,,37973,,60665
2006-12-7,,,29679,,,842371,,,101,82,,,,,,,0,,37945,,67807
2006-11-30,,,34750,,,844012,,,11,101,,,,,,,0,,37459,,72321
2006-11-24,,,31964,,,838938,,,100,99,,,,,,,0,,36598,,68761
2006-11-16,,,25786,,,834832,,,3,118,,,,,,,0,,39039,,64946
2006-11-9,,,23536,,,835238,,,45,124,,,,,,,0,,40931,,64636
2006-11-2,,,22429,,,833424,,,21,152,,,,,,,0,,40940,,63542
2006-10-26,,,22893,,,830809,,,9,165,,,,,,,0,,40732,,63799
2006-10-19,,,22786,,,831456,,,34,197,,,,,,,0,,40323,,63340
2006-10-12,,,22250,,,831100,,,5,242,,,,,,,0,,39621,,62118
2006-10-5,,,21214,,,829644,,,40,303,,,,,,,0,,39512,,61069
2006-9-28,,,16643,,,825247,,,31,353,,,,,,,0,,39974,,57001
2006-9-21,,,19429,,,828940,,,11,345,,,,,,,0,,39428,,59213
2006-9-14,,,18250,,,826496,,,244,340,,,,,,,0,,39117,,57951
2006-9-7,,,26357,,,832105,,,3,341,,,,,,,0,,38808,,65509
2006-8-31,,,24393,,,828872,,,52,361,,,,,,,0,,38896,,63702
2006-8-24,,,21536,,,825027,,,7,341,,,,,,,0,,38567,,60451
2006-8-17,,,23429,,,829233,,,8,339,,,,,,,0,,40980,,64756
2006-8-10,,,18929,,,825183,,,9,331,,,,,,,0,,41809,,61078
2006-8-3,,,26607,,,832999,,,141,345,,,,,,,0,,41541,,68634
2006-7-27,,,20536,,,825902,,,15,334,,,,,,,0,,41072,,61957
2006-7-20,,,24286,,,830710,,,16,313,,,,,,,0,,40933,,65548
2006-7-13,,,21143,,,829845,,,11,289,,,,,,,0,,41019,,62462
2006-7-6,,,29464,,,836187,,,15,276,,,,,,,0,,40488,,70243
2006-6-29,,,18429,,,824729,,,16,277,,,,,,,0,,40300,,59022
2006-6-22,,,18571,,,825872,,,16,252,,,,,,,0,,39936,,58775
2006-6-15,,,19714,,,824744,,,14,217,,,,,,,0,,39723,,59668
2006-6-8,,,25821,,,829430,,,14,209,,,,,,,0,,39574,,65618
2006-6-1,,,26429,,,826970,,,23,172,,,,,,,0,,39465,,66089
2006-5-25,,,22857,,,822842,,,21,152,,,,,,,0,,39137,,62167
2006-5-18,,,23750,,,824687,,,20,149,,,,,,,0,,40828,,64747
2006-5-11,,,23500,,,824690,,,40,134,,,,,,,0,,41592,,65266
2006-5-4,,,25071,,,823061,,,25,113,,,,,,,0,,41207,,66416
2006-4-27,,,21536,,,820179,,,29,90,,,,,,,0,,40507,,62162
2006-4-20,,,26321,,,823734,,,3,84,,,,,,,0,,39999,,66407
2006-4-13,,,19464,,,817880,,,526,74,,,,,,,0,,39647,,59711
2006-4-6,,,24143,,,820479,,,235,59,,,,,,,0,,39298,,63735
2006-3-30,,,20750,,,814099,,,36,55,,,,,,,0,,35036,,55877
2006-3-23,,,28893,,,820825,,,350,52,,,,,,,0,,34808,,64103
2006-3-16,,,28536,,,820050,,,10,49,,,,,,,0,,34155,,62750
2006-3-9,,,25679,,,815376,,,20,42,,,,,,,0,,33835,,59576
2006-3-2,,,29036,,,820759,,,6,28,,,,,,,0,,37787,,66857
2006-2-23,,,27536,,,815809,,,5,32,,,,,,,8,,37216,,64797
2006-2-16,,,24357,,,815847,,,66,32,,,,,,,0,,40182,,64637
2006-2-9,,,20036,,,809112,,,5,28,,,,,,,0,,40330,,60399
2006-2-2,,,25393,,,814350,,,11,29,,,,,,,0,,40423,,65856
2006-1-26,,,25643,,,811962,,,10,28,,,,,,,0,,40239,,65920
2006-1-19,,,29571,,,816436,,,292,29,,,,,,,0,,40179,,70071
2006-1-12,,,30393,,,815874,,,16,23,,,,,,,0,,39892,,70324
2006-1-5,,,48750,,,832796,,,7,57,,,,,,,0,,39296,,88110
2005-12-29,,,42179,,,826403,,,51,74,,,,,,,0,,39080,,81384
2005-12-22,,,31964,,,817179,,,365,72,,,,,,,0,,38770,,71171
2005-12-15,,,27179,,,811624,,,11,70,,,,,,,0,,38133,,65393
2005-12-8,,,30893,,,813647,,,17,69,,,,,,,0,,37524,,68503
2005-12-1,,,29821,,,812719,,,6,97,,,,,,,0,,37569,,67493
2005-11-25,,,24571,,,806510,,,23,94,,,,,,,0,,37224,,61912
2005-11-17,,,25607,,,808873,,,46,106,,,,,,,0,,39343,,65102
2005-11-10,,,17857,,,799326,,,3,116,,,,,,,0,,40078,,58054
2005-11-3,,,20536,,,801887,,,5,148,,,,,,,0,,40301,,60990
2005-10-27,,,19071,,,797931,,,40,183,,,,,,,0,,39891,,59185
2005-10-20,,,21214,,,800945,,,10,215,,,,,,,0,,39728,,61167
2005-10-13,,,22143,,,801371,,,9,260,,,,,,,0,,39574,,61986
2005-10-6,,,23929,,,800180,,,108,300,,,,,,,152,,39069,,63558
2005-9-29,,,24857,,,800582,,,12,339,,,,,,,0,,39294,,64502
2005-9-22,,,27614,,,800393,,,1,321,,,,,,,0,,39113,,67049
2005-9-15,,,28036,,,800567,,,3,309,,,,,,,0,,39006,,67354
2005-9-8,,,30250,,,799280,,,20,301,,,,,,,0,,38750,,69321
2005-9-1,,,28714,,,797815,,,6,326,,,,,,,0,,38420,,67466
2005-8-25,,,25107,,,791441,,,16,317,,,,,,,0,,37970,,63410
2005-8-18,,,26857,,,793703,,,155,290,,,,,,,0,,40032,,67334
2005-8-11,,,25964,,,791658,,,2,267,,,,,,,0,,41077,,67310
2005-8-4,,,33750,,,799110,,,448,262,,,,,,,0,,40691,,75151
2005-7-28,,,28643,,,793287,,,11,266,,,,,,,67,,40403,,69390
2005-7-21,,,31643,,,796276,,,128,239,,,,,,,0,,40095,,72105
2005-7-14,,,26893,,,792010,,,51,224,,,,,,,0,,40105,,67273
2005-7-7,,,30071,,,795797,,,539,206,,,,,,,0,,39748,,70564
2005-6-30,,,23107,,,788567,,,19,196,,,,,,,0,,40025,,63347
2005-6-23,,,22286,,,787859,,,22,158,,,,,,,0,,39710,,62176
2005-6-16,,,23714,,,787960,,,14,148,,,,,,,0,,39323,,63199
2005-6-9,,,25500,,,790003,,,2,150,,,,,,,0,,39201,,64853
2005-6-2,,,29714,,,792472,,,11,145,,,,,,,0,,39035,,68905
2005-5-26,,,26357,,,786594,,,8,142,,,,,,,0,,38685,,65192
2005-5-19,,,26571,,,787559,,,2,139,,,,,,,0,,40493,,67205
2005-5-12,,,21036,,,783258,,,8,126,,,,,,,0,,42134,,63304
2005-5-5,,,26143,,,786449,,,5,107,,,,,,,0,,41957,,68212
2005-4-28,,,27321,,,786712,,,7,96,,,,,,,0,,41662,,69086
2005-4-21,,,27464,,,785627,,,5,80,,,,,,,0,,41150,,68699
2005-4-14,,,22893,,,781422,,,211,68,,,,,,,0,,40997,,64169
2005-4-7,,,25143,,,783431,,,12,57,,,,,,,0,,40624,,65836
2005-3-31,,,24643,,,782330,,,13,46,,,,,,,0,,40614,,65316
2005-3-24,,,25964,,,783495,,,5,38,,,,,,,0,,40687,,66694
2005-3-17,,,28107,,,785361,,,8,35,,,,,,,0,,40430,,68580
2005-3-10,,,20893,,,777647,,,5,29,,,,,,,0,,39974,,60901
2005-3-5,,,26571,,,784887,,,64,17,,,,,,,0,,39612,,66264
2005-2-24,,,23964,,,780772,,,5,16,,,,,,,0,,39250,,63235
2005-2-17,,,23929,,,783703,,,9,14,,,,,,,0,,41473,,65425
2005-2-10,,,16143,,,776603,,,22,15,,,,,,,0,,42221,,58401
2005-2-3,,,26321,,,784230,,,42,19,,,,,,,0,,39927,,66309
2005-1-27,,,21893,,,780557,,,55,22,,,,,,,0,,39602,,61572
2005-1-20,,,24786,,,783308,,,35,19,,,,,,,0,,39702,,64542
2005-1-13,,,22893,,,780682,,,45,20,,,,,,,0,,39257,,62215
2005-1-6,,,33214,,,791658,,,19,35,,,,,,,0,,39607,,72875
2004-12-30,,,31071,,,790621,,,9,45,,,,,,,0,,39272,,70397
2004-12-23,,,25393,,,784475,,,19,56,,,,,,,0,,40878,,66346
2004-12-16,,,24821,,,782668,,,5,56,,,,,,,0,,40436,,65318
2004-12-9,,,28071,,,784133,,,3,51,,,,,,,0,,40244,,68369
2004-12-2,,,33643,,,785515,,,6,67,,,,,,,0,,39938,,73654
2004-11-26,,,28607,,,779872,,,5,71,,,,,,,0,,39414,,68097
2004-11-18,,,27107,,,778583,,,431,80,,,,,,,0,,40943,,68561
2004-11-12,,,23643,,,774767,,,6,79,,,,,,,0,,42149,,65877
2004-11-4,,,24286,,,773351,,,8,107,,,,,,,0,,41599,,66000
2004-10-28,,,24000,,,770604,,,51,147,,,,,,,0,,41100,,65298
2004-10-21,,,26964,,,770529,,,5,168,,,,,,,0,,40342,,67479
2004-10-14,,,27071,,,768783,,,5,188,,,,,,,0,,40044,,67308
2004-10-7,,,24464,,,764916,,,2,199,,,,,,,0,,39560,,64225
2004-9-30,,,27571,,,765836,,,9,245,,,,,,,0,,39269,,67094
2004-9-23,,,31286,,,767481,,,352,240,,,,,,,0,,38847,,70725
2004-9-16,,,33500,,,768420,,,20,238,,,,,,,0,,38627,,72385
2004-9-9,,,30929,,,764440,,,31,236,,,,,,,0,,38100,,69296
2004-9-2,,,31000,,,764044,,,31,242,,,,,,,0,,37971,,69244
2004-8-26,,,22786,,,755206,,,6,234,,,,,,,0,,37846,,60872
2004-8-19,,,20536,,,754238,,,12,235,,,,,,,0,,39803,,60586
2004-8-12,,,20036,,,754791,,,16,223,,,,,,,0,,41071,,61346
2004-8-5,,,22929,,,757633,,,31,234,,,,,,,0,,40475,,63669
2004-7-29,,,18607,,,752230,,,37,226,,,,,,,0,,40363,,59233
2004-7-22,,,23536,,,756215,,,26,214,,,,,,,0,,40418,,64194
2004-7-15,,,25250,,,755496,,,53,191,,,,,,,0,,40431,,65925
2004-7-8,,,27179,,,754955,,,59,165,,,,,,,0,,39901,,67304
2004-7-1,,,25250,,,752257,,,58,164,,,,,,,0,,39693,,65165
2004-6-24,,,24250,,,748436,,,54,143,,,,,,,0,,39208,,63655
2004-6-17,,,22821,,,746382,,,34,135,,,,,,,0,,38767,,61757
2004-6-10,,,24821,,,746417,,,32,126,,,,,,,0,,38470,,63449
2004-6-3,,,29750,,,749607,,,8,119,,,,,,,0,,38333,,68210
2004-5-27,,,26107,,,743669,,,4,114,,,,,,,0,,37637,,63862
2004-5-20,,,22000,,,740495,,,2,104,,,,,,,0,,39299,,61405
2004-5-13,,,23071,,,741313,,,16,93,,,,,,,0,,40687,,63867
2004-5-6,,,24464,,,742139,,,6,82,,,,,,,0,,40591,,65143
2004-4-29,,,29429,,,744758,,,16,71,,,,,,,0,,40455,,69971
2004-4-22,,,24529,,,739030,,,34,61,,,,,,,0,,40308,,64932
2004-4-15,,,25729,,,740217,,,33,52,,,,,,,0,,40347,,66161
2004-4-8,,,19571,,,733554,,,36,37,,,,,,,0,,40205,,59849
2004-4-1,,,24357,,,737739,,,11,36,,,,,,,0,,40019,,64423
2004-3-25,,,18786,,,731279,,,26,36,,,,,,,0,,39690,,58538
2004-3-18,,,25179,,,736994,,,48,27,,,,,,,0,,39342,,64596
2004-3-11,,,18000,,,729556,,,7,19,,,,,,,0,,38977,,57003
2004-3-4,,,26286,,,736597,,,3,21,,,,,,,0,,38548,,64858
2004-2-26,,,23000,,,732057,,,37,16,,,,,,,0,,38634,,61687
2004-2-19,,,28429,,,739691,,,11,11,,,,,,,0,,41394,,69845
2004-2-12,,,17286,,,729540,,,19,9,,,,,,,0,,41981,,59295
2004-2-5,,,23214,,,732240,,,10,13,,,,,,,0,,41406,,64643
2004-1-29,,,19143,,,728183,,,184,14,,,,,,,0,,41289,,60630
2004-1-22,,,30607,,,738254,,,212,11,,,,,,,0,,40771,,71601
2004-1-15,,,21143,,,729489,,,39,6,,,,,,,0,,41172,,62360
2004-1-8,,,34679,,,743299,,,12,11,,,,,,,0,,40544,,75246
2004-1-2,,,38679,,,746570,,,32,33,,,,,,,0,,40242,,78986
2003-12-26,,,33179,,,739526,,,33,37,,,,,,,0,,39810,,73059
2003-12-18,,,25571,,,731854,,,5,32,,,,,,,0,,39448,,65056
2003-12-11,,,25893,,,731209,,,13,24,,,,,,,0,,39037,,64967
2003-12-4,,,30679,,,734979,,,9,26,,,,,,,0,,38565,,69279
2003-11-28,,,27393,,,729194,,,5,42,,,,,,,0,,38192,,65632
2003-11-20,,,24071,,,727983,,,22,43,,,,,,,0,,40049,,64185
2003-11-13,,,20464,,,722260,,,3,48,,,,,,,0,,41048,,61563
2003-11-6,,,24000,,,725126,,,82,53,,,,,,,0,,40687,,64822
2003-10-30,,,28071,,,726848,,,19,71,,,,,,,0,,40823,,68984
2003-10-23,,,24571,,,721122,,,14,86,,,,,,,0,,40156,,64827
2003-10-16,,,26393,,,722887,,,4,98,,,,,,,0,,40258,,66753
2003-10-9,,,19250,,,715038,,,2,125,,,,,,,0,,39705,,59082
2003-10-2,,,32107,,,727180,,,23,155,,,,,,,0,,39389,,71674
2003-9-25,,,22286,,,717608,,,73,163,,,,,,,0,,38809,,61331
2003-9-18,,,27893,,,721688,,,4,158,,,,,,,0,,38087,,66142
2003-9-11,,,22821,,,715316,,,3,155,,,,,,,0,,37489,,60468
2003-9-4,,,34429,,,725331,,,9,157,,,,,,,0,,37323,,71918
2003-8-28,,,24607,,,715426,,,1,156,,,,,,,0,,36834,,61598
2003-8-21,,,34071,,,726540,,,719,152,,,,,,,66,,37243,,72251
2003-8-14,,,17679,,,711825,,,7,138,,,,,,,0,,40334,,58158
2003-8-7,,,22500,,,716002,,,21,133,,,,,,,0,,39856,,62510
2003-7-31,,,20857,,,713408,,,1,125,,,,,,,0,,40032,,61015
2003-7-24,,,24250,,,716729,,,4,115,,,,,,,0,,39545,,63914
2003-7-17,,,22893,,,715493,,,6,107,,,,,,,1,,39486,,62493
2003-7-10,,,26000,,,718451,,,8,91,,,,,,,0,,39236,,65335
2003-7-3,,,28714,,,719541,,,99,89,,,,,,,0,,39043,,67945
2003-6-26,,,26321,,,717692,,,322,84,,,,,,,0,,38986,,65713
2003-6-19,,,23179,,,713850,,,3,71,,,,,,,0,,38815,,62068
2003-6-12,,,23286,,,713231,,,2,61,,,,,,,0,,38374,,61723
2003-6-5,,,27813,,,716921,,,12,64,,,,,,,0,,38147,,66036
2003-5-29,,,31857,,,720486,,,2,57,,,,,,,0,,38116,,70032
2003-5-22,,,24608,,,711816,,,2,54,,,,,,,0,,37620,,62284
2003-5-15,,,25644,,,714343,,,2,49,,,,,,,0,,40855,,66550
2003-5-8,,,20537,,,708240,,,4,46,,,,,,,0,,40136,,60723
2003-5-1,,,28751,,,715838,,,0,29,,,,,,,0,,39811,,68591
2003-4-24,,,23893,,,709678,,,4,24,,,,,,,0,,39347,,63268
2003-4-17,,,26821,,,711299,,,16,20,,,,,,,0,,39046,,65903
2003-4-10,,,21893,,,704413,,,13,16,,,,,,,0,,38597,,60519
2003-4-3,,,28464,,,707835,,,4,7,,,,,,,0,,38642,,67117
2003-3-27,,,19286,,,698983,,,2,8,,,,,,,0,,38146,,57442
2003-3-20,,,26500,,,704886,,,9,8,,,,,,,0,,38026,,64543
2003-3-13,,,19214,,,696359,,,36,9,,,,,,,0,,38020,,57279
2003-3-6,,,27136,,,702078,,,24,6,,,,,,,0,,37573,,64739
2003-2-27,,,23321,,,697030,,,10,4,,,,,,,0,,37456,,60791
2003-2-20,,,30067,,,701756,,,14,5,,,,,,,0,,39838,,69924
2003-2-13,,,19285,,,691408,,,28,3,,,,,,,0,,40434,,59750
2003-2-6,,,24393,,,694493,,,11,4,,,,,,,0,,40074,,64482
2003-1-30,,,20143,,,690594,,,45,7,,,,,,,0,,40220,,60415
2003-1-23,,,27036,,,697026,,,12,7,,,,,,,0,,39728,,66783
2003-1-16,,,24428,,,693039,,,6,11,,,,,,,0,,39428,,63873
2003-1-9,,,28393,,,697473,,,,17,,,,,,,,,38899,,67309
2003-1-2,,,38107,,,706754,,,,40,,,,,,,,,39073,,77220
2002-12-26,,,34321,,,703676,,,,46,,,,,,,,,38708,,73075
2002-12-19,,,28179,,,692654,,,,49,,,,,,,,,38003,,66231
2002-12-12,,,30750,,,670752,,,,46,,,,,,,,,,,30796
2002-12-5,,,18000,,,672629,,,,54,,,,,,,,,,,18054
2002-11-29,,,29000,,,669038,,,,54,,,,,,,,,,,29054
