40,Washington Mutual Bank FSB,Park City,UT ,9/25/2008,10/20/2008,0,Subsidiary of WaMU in NV
39,Ameribank,Northfork,WV,9/19/2008,10/20/2008,42,
38,Silver State Bank,Henderson,NV ,9/5/2008,10/20/2008,450-550,
37,Integrity Bank,Alpharetta,GA ,8/29/2008,10/20/2008,250-350,
36,The Columbian Bank and Trust,Topeka,KS,8/22/2008,10/20/2008,60,
35,First Priority Bank,Bradenton,FL ,8/1/2008,10/27/2008,72,
34,"First Heritage Bank, NA",Newport Beach,CA,7/25/2008,10/20/2008,862,
33,First National Bank of Nevada,Reno,NV ,7/25/2008,12/9/2008,862,
32,IndyMac Bank,Pasadena,CA,7/11/2008,10/27/2008,4000-8000,
31,"First Integrity Bank, NA",Staples,MN,5/30/2008,10/20/2008,2.3,
30,"ANB Financial, NA",Bentonville,AR,5/9/2008,10/27/2008,214,
29,Hume Bank,Hume,MO,3/7/2008,10/27/2008,4.3,
28,Douglass National Bank,Kansas City,MO,1/25/2008,10/20/2008,5.6,
27,Miami Valley Bank,Lakeview,OH,10/4/2007,10/20/2008,3,
26,NetBank,Alpharetta,GA ,9/28/2007,10/20/2008,110,
25,Metropolitan Savings Bank,Pittsburgh,PA,2/2/2007,10/20/2008,10.2,
24,Bank of Ephraim,Ephraim,UT ,6/25/2004,4/9/2008,13.8,
23,Reliance Bank,White Plains,NY,3/19/2004,4/9/2008,0.3,
22,Guaranty National Bank of Tallahassee,Tallahassee,FL,3/12/04,2/2/09,not available,No Cost Resolution
21,Dollar Savings Bank,Newark,NJ,2/14/2004,4/9/2008,not available,No Cost Resolution
20,Pulaski Savings Bank,Philadelphia,PA,11/14/2003,7/22/2005,1.1,
19,The First National Bank of Blanchardville,Blanchardville,WI,5/9/2003,10/20/2008,12.8,
18,Southern Pacific Bank,Torrance,CA,2/7/2003,10/20/2008,135.4,
17,The Farmers Bank of Cheneyville,Cheneyville,LA,12/17/2002,10/20/2004,12.2,
16,The Bank of Alamo,Alamo,TN,11/8/2002,3/18/2005,4 to 5,
15,AmTrade International Bank of Georgia,Atlanta,GA ,9/30/2002,9/11/2006,<6,
14,Universal Federal Savings Bank,Chicago,IL ,6/27/2002,4/9/2008,274,
13,Connecticut Bank of Commerce,Stamford,CT,6/26/2002,10/20/2008,53.2,
12,New Century Bank,Shelby Township,MI,3/28/2002,3/18/2005,4.4,
11,Net 1st National Bank,Boca Raton,FL ,3/1/2002,4/9/2008,not available,No Cost Resolution
10,"NextBank, N.A.",Phoenix,AZ,2/7/2002,10/20/2008,109.1,
9,Oakwood Deposit Bank Company,Oakwood,OH,2/1/2002,10/20/2008,4.052,
8,Bank of Sierra Blanca,Sierra Blanca,TX,1/18/2002,11/6/2003,1.4,
7,"Hamilton Bank, N.A.",Miami,FL ,1/11/2002,10/20/2008,110.6,
6,Sinclair National Bank,Gravette,AR,9/7/2001,2/10/2004,4.4,
5,"Superior Bank, FSB",Hinsdale,IL ,7/27/2001,10/20/2008,326.2,
4,The Malta National Bank,Malta,OH,5/3/2001,11/18/2002,0.08,
3,First Alliance Bank &Trust Company,Manchester,NH,2/2/2001,2/18/2003,0.119,
2,National State Bank of Metropolis,Metropolis,IL ,12/14/2000,3/17/2005,68,
1,Bank of Honolulu,Honolulu,HI,10/13/2000,3/17/2005,2.5,
