69,Freedom Bank of Georgia,Commerce,GA ,3/6/09,3/11/09,36.2,
68,Security Savings Bank,Henderson,NV ,2/27/09,3/11/09,59.1,
67,Heritage Community Bank,Glenwood,IL ,2/27/09,3/11/09,41.6,
66,Silver Falls Bank,Silverton,OR ,2/20/09,3/10/09,50,
65,Pinnacle Bank of Oregon,Beaverton,OR ,2/13/09,3/10/09,12.1,
64,Corn Belt Bank and Trust Company,"Pittsfield, ",IL ,2/13/09,3/10/09,100,
63,Riverside Bank of the Gulf Coast,Cape Coral,FL ,2/13/09,3/10/09,201.5,
62,Sherman County Bank,Loup City,NE ,2/13/09,3/10/09,28,
61,County Bank,Merced,CA ,2/6/09,3/10/09,135,
60,Alliance Bank,Culver City,CA ,2/6/09,3/10/09,206,
59,FirstBank Financial Services,McDonough,GA ,2/6/09,3/10/09,110,
58,Ocala National Bank,Ocala,FL ,1/30/09,3/10/09,99.6,
57,Suburban Federal Savings Bank,Crofton,MD ,1/30/09,3/10/09,126,
56,MagnetBank,Salt Lake City,UT ,1/30/09,3/10/09,119.4,
55,1st Centennial Bank,Redlands,CA ,1/23/09,3/10/09,227,
54,Bank of Clark County,Vancouver,WA ,1/16/09,3/10/09,120-145,
53,National Bank of Commerce,Berkeley,IL ,1/16/09,3/10/09,97.1,
52,Sanderson State Bank,Sanderson,TX,12/12/2008,12/12/2008,12.5,
51,Haven Trust Bank,Duluth,GA ,12/12/2008,12/12/2008,200,
50,First Georgia Community Bank,Jackson,GA ,12/5/2008,12/5/2008,72.2,
49,PFF Bank and Trust,Pomona,CA ,11/21/2008,11/21/2008,700,
48,Downey Savings and Loan,Newport Beach,CA ,11/21/2008,11/21/2008,1400,
47,The Community Bank,Loganville,GA ,11/21/2008,11/21/2008,200-240,
46,Security Pacific Bank,Los Angeles,CA ,11/7/2008,11/7/2008,210,
45,"Franklin Bank, SSB",Houston,TX,11/7/2008,11/7/2008,1400-1600,
44,Freedom Bank,Bradenton,FL ,10/31/2008,10/31/2008,104,
43,Alpha Bank & Trust,Alpharetta,GA ,10/24/2008,10/24/2008,158.1,
42,Meridian Bank,Eldred,IL ,10/10/2008,10/10/2008,13-14.5,
41,Main Street Bank,Northville,MI,10/10/2008,10/10/2008,            33-39,
40,Washington Mutual Bank,Henderson,NV ,9/25/2008,10/20/2008,0,Has WaMu FSB as subsidiary
