2009-03-20 00:00:00,Purchase,Preferred Stock w/Warrants,21000000,Par,NO,23232,Heritage Oaks Bancorp,HERITAGE OAKS BANCORP,Paso Robles,Paso Robles,CA,CA,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,20000000,Par,NO,23589,Community First Bancshares Inc.,"COMMUNITY FIRST BANCSHARES, INC.",Union City,Union City,TN,TN,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,17836000,Par,NO,16590,First NBC Bank Holding Company,,New Orleans,,LA,,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,4500000,Par,NO,20227,"First Colebrook Bancorp, Inc.","FIRST COLEBROOK BANCORP, INC.",Colebrook,Colebrook,NH,NH,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,470000,Par,NO,13811,"Kirksville Bancorp, Inc.","KIRKSVILLE BANCORP, INC.",Kirksville,Kirksville,MO,MO,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,3900000,Par,NO,19900,"Peoples Bancshares of TN, Inc","PEOPLES BANCSHARES OF TN, INC.",Madisonville,Madisonville,TN,TN,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,9500000,Par,NO,22332,Premier Bank Holding Company,,Tallahassee,,FL,,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,2400000,Par,NO,25265,Citizens Bank & Trust Company,,Covington,,LA,,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,442000,Par,NO,13925,Farmers & Merchants Financial Corporation,,Argonia,,KS,,
2009-03-20 00:00:00,Purchase,Preferred Stock w/ Exercised Warrants,700000,Par,NO,15098,"Farmers State Bankshares, Inc.","FARMERS STATE BANKSHARES, INC.",Holton,Holton,KS,KS,
