Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,6077,Santa Fe Trails - City of Santa Fe,Santa Fe,NM,"Santa Fe, NM",307,45,"80,337",VP,PT,,,,,,,,,,,,,,"24,919",,,,
2008,6080,Terrebonne Parish Consolidated Government,Houma,LA,"Houma, LA",211,77,"125,929",DR,DO,,,,,,,,,,,"4,131","5,321","5,846",,,,,
2008,6080,Terrebonne Parish Consolidated Government,Houma,LA,"Houma, LA",211,77,"125,929",MB,DO,,,,,,,"197,132","223,905","247,687","289,250","285,696","281,088","290,719",,,,,
2008,6081,Longview Transit,Longview,TX,"Longview, TX",315,51,"78,070",DR,PT,,,,,,"68,129","56,521",,,,,,,,,,,
2008,6082,The Gulf Coast Center,Texas City,TX,"Texas City, TX",267,59,"96,417",DR,DO,,,,,,,,"1,151,974","1,080,804","954,737","1,009,035","730,518","796,734","836,766","920,838","201,558","418,656","514,883"
2008,6082,The Gulf Coast Center,Texas City,TX,"Texas City, TX",267,59,"96,417",DR,PT,,,,,,,,,,,,"14,343","14,122","14,868","14,214",,,
1998,6083,"VPSI, Inc.",Austin,TX,"Austin, TX",54,273,"562,008",VP,DO,,,,,,,"1,416,240","1,300,530",,,,,,,,,,
2008,6084,"Dallas - VPSI, Inc.",Arlington,TX,"Dallas-Fort Worth-Arlington, TX",6,"1,407","4,145,659",VP,DO,,,,,,,"2,924,964","3,002,580","2,624,731","2,590,859","2,389,461","2,181,136","2,367,667","2,486,859","2,662,866","3,118,994","3,419,266","3,962,138"
2004,6085,"Houston - VPSI, Inc.",Houston,TX,"Houston, TX",10,"1,295","3,822,509",VP,DO,,,,,,,,,"3,090,849","2,420,738","2,644,318","3,158,721","3,517,790",,,,,
2008,6086,Fort Smith Transit,Fort Smith,AR,"Fort Smith, AR-OK",248,55,"106,470",DR,DO,,,,,,,,,,,,"175,907","176,496","200,486","191,787","187,565","167,662","151,088"
