Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","83,832,050","49,351,797","39,294,232","34,566,474","44,252,754","35,856,499","44,634,798","31,777,299","68,883,989","32,106,435","11,708,662","75,049,980","71,976,152","128,653,314",0,"44,138,555","44,303,387"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","2,843,320","1,483,181","3,648,184","10,573,061","6,926,295","1,364,554","2,577,105","144,541","702,705","198,051","1,091,380","1,252,827","2,210,421",0,0,0,"8,932,695"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","9,068,802","17,555,337","6,446,035","1,601,059",0,0,"1,583,982","2,177,611","3,342,454","12,208,972","2,708,474","419,108","478,396","65,780","824,066","154,311","11,941"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205","2,365,655","1,071,413","1,427,263","230,161","53,239","305,066","411,841","108,544","1,007,789","1,619,533","4,802,748","5,238,070","309,673","130,274","416,757","1,112,664","1,358,575"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816","1,091,802","1,476,533","3,064,490","1,756,270","55,943","64,309","374,563","233,996","494,888",0,"199,950","2,233,695","178,594","1,063,145","196,578","2,227,105","14,751"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","2,293,234","85,287","107,521","1,157,766","189,874","386,948","920,146","2,219,286","2,168,714","411,072","964,099","1,196,759","6,826,959","134,200","1,099,159","2,387,239","6,258,188"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","9,114,730","8,456,536","8,805,404","29,220,256","41,945,163","59,437,159","38,324,012","66,823,012","48,843,157","103,818,526","54,570,982","42,400,023","39,621,821","36,471,616","10,747,265","37,080,459","64,837,717"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625","7,197","17,699","123,863","48,252","869,191","259,987","128,939","963,225","293,862","88,592","740,753","746,939","191,576","73,909","204,929","61,740","66,946"
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","6,999","21,162","117,213","100,805","113,313","192,217","321,651","298,300","475,790","262,396","222,554","505,794","286,862","248,632","449,561","582,963","692,641"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",0,,,,,,,,,,,,,,,,
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443","3,636","63,867","98,361","3,464",,,"1,522","80,798",0,"30,529","31,538","213,896","131,449","59,496",0,0,"51,087"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",0,0,0,0,0,0,0,0,0,0,0,0,"1,953,086",,"3,588,487","1,418,695","668,008"
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",0,0,0,0,"14,920",0,0,0,0,"247,022","698,970","180,532","457,233","3,407,431","6,708,340","2,979,176","11,501,933"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369","547,526","297,900",0,"2,771,818","44,451","716,991","123,824","4,519,320","5,182,186","9,746,976","727,662","3,152,249","13,340,980","9,711,421","3,036,857","654,783","665,073"
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",0,"661,209","725,880","3,077,581","2,244,069","587,788","896,264","4,312,192","1,962,485","2,287,494","5,706,512","1,326,122","97,939","1,951,443","218,036","1,501,385","7,168,132"
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498","2,106","9,010","1,835",0,"19,676","9,254","15,124","41,447","179,152","16,884","27,518","32,321","9,871","3,242","14,165","1,007","79,126"
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205","713,046","194,997","66,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138","1,119,601","515,627","674,231","502,103","2,534,544","7,186,289","2,376,970","1,502,570","2,973,244","3,352,458","336,057","555,626","4,616,130","2,364,027","1,018,725","3,959,603","2,155,619"
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229","58,093","294,262",0,"21,433","19,446","29,785","1,183,089","246,512","861,343","382,523","141,541","373,055","775,834","758,993","611,487","716,138","166,331"
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","1,643","74,218","1,318,107","283,107","137,645","78,592","1,223,944","288,091","44,073",769,"149,731",0,"100,203","1,427,514","1,160,142","8,712,235","100,284"
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,236,360","3,483,733","11,695,507"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205","131,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2007,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780","18,521","11,801","18,499","130,380","469,185","8,100","58,546","34,035","60,755","50,241",0,"39,648","32,414",0,"903,378","604,500","114,344"
