Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205",0,0,0,0,0,0,0,"5,707","759,293",0,"13,233,048",0,"110,055","58,503","27,846","158,100",0
1991,0036,"ATE Management & Service Company, Inc.",Mukilteo,WA,"Seattle, WA",18,588,"1,744,086",,,,,,,,,,,,,,,,,
1998,0038,Community and Rural Transportation ,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",,,0,0,0,0,0,0,,,,,,,,,
2007,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",,,,,,,,,"147,245,902","201,719,485","170,744,457","196,984,796","369,175,821","413,772,378","431,784,672","539,474,315","609,425,794"
2007,0041,Alaska Railroad Corporation,Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,0,0,0,0,0,0,0
2007,0042,Targhee Regional Public Transit Authority,Idaho Falls,ID,"Idaho Falls, ID",351,31,"66,973",,,,,,,,,,"27,000",0,"46,568",,,,0,
2007,0043,Link Transit,Wenatchee,WA,"Wenatchee, WA",411,27,"55,425",,,,,,,,,,,,,,"590,000","796,208","294,154","261,115"
2007,0044,Skagit Transit,Burlington,WA,"Mount Vernon, WA",440,32,"51,174",,,,,,,,,,,,,,"564,482","1,324,890","1,689,199","1,087,271"
2007,0045,Fairbanks North Star Borough Transit,Fairbanks,AK,"Fairbanks, AK",434,43,"51,926",,,,,,,,,,,,,,0,"1,864","120,607","36,942"
2007,0046,South Metro Area Regional Transit,Wilsonville,OR,"Portland, OR-WA",23,474,"1,583,138",,,,,,,,,,,,"138,924","15,968","63,237","345,876","33,697","148,929"
2007,0049,"VPSI, Anchorage",Anchorage,AK,"Anchorage, AK",135,79,"225,744",,,,,,,,,,,,,,,,0,0
2007,0050,"City of Bend, Public Works Department",Bend,OR,"Bend, OR",401,36,"57,525",,,,,,,,,,,,,,,,,"171,311"
2007,1001,Rhode Island Public Transit Authority,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",0,0,0,"17,313","88,429","163,548",0,"1,145,902","1,171,269","858,739",0,0,0,0,0,0,0
2007,1002,Manchester Transit Authority,Manchester,NH,"Manchester, NH",196,71,"143,549","157,986",0,,"27,128","3,045","73,082",0,"63,200","1,520","87,269","47,530","50,000",0,"70,000","145,628","264,561","13,103"
2007,1003,Massachusetts Bay Transportation Authority,Boston,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","163,251,369","266,852,175","159,649,943","191,059,071","385,374,862","381,319,230","301,679,004","277,213,380","165,568,087","209,170,549","207,962,918","251,073,056","270,442,453","384,388,970","330,559,269","342,386,099","363,718,857"
2007,1004, Brockton Area Transit Authority,Brockton,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",0,0,"15,559",0,0,"44,072",0,0,"575,426","170,835","24,427",0,"52,697",0,0,0,0
2007,1005,Lowell Regional Transit Authority,Lowell,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","97,447",0,0,0,"9,653","199,214",0,"30,705",0,0,0,0,0,0,0,0,0
2007,1006,Southeastern Regional Transit Authority,New Bedford,MA,"New Bedford, MA",193,63,"146,730",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2007,1007,Berkshire Regional Transit Authority,Pittsfield,MA,"Pittsfield, MA",430,34,"52,772",0,"4,005","3,835",0,0,0,0,0,0,0,,0,0,0,0,0,0
2007,1008,Pioneer Valley Transit Authority,Springfield,MA,"Springfield, MA-CT",59,309,"573,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1013,Merrimack Valley Regional Transit Authority,Haverhill,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484","48,314","70,299","28,292","78,484","40,281",0,0,0,0,0,"367,040",0,0,0,"9,834,622","6,954,995",0
2007,1014,Worcester Regional Transit Authority,Worcester,MA,"Worcester, MA-CT",74,250,"429,882","102,314","119,690","94,526","160,874","113,838","6,325,930","551,545","1,929,908","1,105,680","500,107","208,039","228,383","14,286","105,297","775,052",0,0
1998,1015,"Kenneth Hudson, Inc. dba Hudson Bus Lines",Lewiston,ME,"Lewiston--Auburn, ME",292,84,"71,598",0,754,,,,"38,822",,,,,,,,,,,
2007,1016,Greater Portland Transit District,Portland,ME,"Portland, ME",160,124,"188,080",618,,,"57,531","90,805","28,820","206,186","36,021","49,103","287,026","54,174","75,531","48,800","76,600","87,600","351,275","30,000"
2007,1017,Greater Hartford Transit District,Hartford,CT,"Hartford, CT",45,469,"851,535","1,090,864","939,315","1,070,088","982,256","914,395","920,179","932,227","1,070,344","1,172,320","80,255","280,164","181,880","346,592","189,371","513,769",0,0
2007,1040,Southeast Area Transit,Preston,CT,"Norwich-New London, CT",174,123,"173,160",,0,,,,,,,0,,0,0,0,0,0,0,0
1997,1041,Westport Transit District C/O Norwalk Transit District,Norwalk,CT,"Norwalk, CT",209,49,"108,888",,0,0,0,,,,,,,,,,,,,
2007,1042,Valley Transit District,Derby,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",0,0,0,0,0,0,0,"22,400",0,0,0,0,0,0,,,0
2007,1045,"Dattco, Inc.",New Britain,CT,"Hartford, CT",45,469,"851,535",0,0,0,,,,,,,,,,,,,,
2006,1047,"New Britain Transportation Company, Inc.",Berlin,CT,"Hartford, CT",45,469,"851,535",,,,0,,,0,0,0,0,0,0,,0,,0,
2007,1048,Connecticut Transit - Hartford Division,Hartford,CT,"Hartford, CT",45,469,"851,535",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1049,The Greater New Haven Transit District,Hamden,CT,"New Haven, CT",69,285,"531,314","29,645","39,495","48,945","6,028","104,500","24,070","43,937","50,793","74,751","29,435","129,468",0,"366,930","80,070","96,303","16,540","50,459"
2007,1050,Greater Bridgeport Transit Authority,Bridgeport,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",0,0,0,"6,064",0,0,0,0,0,0,0,0,0,0,0,0,"16,972"
2007,1051,Housatonic Area Regional Transit,Danbury,CT,"Danbury, CT-NY",186,124,"154,455",0,0,0,"124,011","-61,703",0,0,0,0,0,0,0,0,0,0,0,0
2006,1052,"New Britain Transportation Company, Inc.",Berlin,CT,"Hartford, CT",45,469,"851,535",,,,0,,0,0,0,0,0,0,0,,0,,0,
2007,1053,Cape Ann Transportation Authority,Gloucester,MA,"Boston, MA-NH-RI",7,"1,736","4,032,484",0,0,0,0,0,0,0,"6,040",0,0,0,0,"1,215,072",0,"714,128",0,0
2007,1055,Connecticut Transit - New Haven Division,Hartford,CT,"New Haven, CT",69,285,"531,314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1056,Connecticut Transit - Stamford Division,Hartford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1057,Norwalk Transit District,Norwalk,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890","32,744",0,0,0,0,0,0,"13,480",0,0,"46,783","3,375","29,676",0,"1,381","3,646","66,731"
2007,1061,Montachusett Regional Transit Authority,Fitchburg,MA,"Leominster-Fitchburg, MA",234,63,"112,943","47,808","250,154","211,314","289,536","103,523","101,762","43,329","37,159","32,344","67,139","107,240","147,390","221,102","182,672",0,0,0
2007,1063,Middletown Transit District,Middletown,CT,"Hartford, CT",45,469,"851,535",0,0,0,0,0,,0,0,0,0,0,100,0,"3,494","11,189","6,770",0
2007,1064,Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,"Providence, RI-MA",34,504,"1,174,548",0,0,"628,592",0,"127,525",0,0,0,0,0,0,0,0,0,0,0,0
2007,1066,Chittenden County Transportation Authority,Burlington,VT,"Burlington, VT",251,62,"105,365","16,908","680,415","7,349","21,340","32,691","48,766","318,671",0,"125,386","24,302","317,179","50,000","50,000","134,428","144,115","65,398","12,438"
2007,1069,"The Regional Transportation Program, Inc.",Portland,ME,"Portland, ME",160,124,"188,080","27,749",0,0,"6,477","9,473","71,997","112,899","31,269","88,127","86,492","66,932",0,0,0,0,0,0
2007,1086,Cooperative Alliance for Seacoast Transportation,Dover,NH,"Dover-Rochester, NH-ME",306,64,"80,456",0,,"3,788","24,387","9,330","19,652","37,037",,,,,,"84,735","4,297","39,702","49,475","81,171"
2007,1087,Nashua Transit System,Nashua,NH,"Nashua, NH-MA",153,138,"197,155","5,460","9,538","76,967","6,983","20,996","33,526","56,740","33,600","103,284","15,797","89,782","246,455","32,439","5,843","26,099","129,048","136,778"
2007,1088,Casco Bay Island Transit District,Portland,ME,"Portland, ME",160,124,"188,080","9,098","18,084","59,238","91,198","9,266","26,507","33,208","15,132","51,142","30,706","14,570",0,0,0,0,0,0
2001,1089,Transit Express ,Springfield,MA,"Springfield, MA-CT",57,302,"532,747",,,,,,,0,0,0,0,0,,,,,,
2007,1095,"Northeast Transportation Company, Inc.",Waterbury,CT,"Waterbury, CT",159,98,"189,026","13,487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1096,City of Bangor - BAT Community Connector,Bangor,ME,"Bangor, ME",385,39,"58,983",0,"97,127",,"3,592","7,000","131,592","2,709","20,292","85,284","16,939","1,273",0,"250,153",0,"233,971","23,374",0
1993,1097,"Eastern Transportation Services, Inc.",Bangor,ME,"Bangor, ME",328,71,"61,402","12,735","1,075","30,291",,,,,,,,,,,,,,
2007,1098,"Western Maine Transportation Services, Inc.",Auburn,ME,"Lewiston, ME",447,21,"50,567","27,964","17,339","116,089","19,082","12,725",,,"35,507","103,883","56,820","85,499",0,"14,236","1,958",0,0,0
1991,1100,National Railroad Passenger Corporation,Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1995,1101,Kenneth Hudson Inc. dba Hudson Bus Lines,Lewiston,ME,"Lewiston--Auburn, ME",292,84,"71,598",0,0,"4,160",0,"1,846",,,,,,,,,,,,
2007,1102,Connecticut Department of Transportation,Newington,CT,"Hartford, CT",45,469,"851,535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1103,City of Stamford Dial-A-Ride,Stamford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,0,0,0,,,,,,,,,,,,,
2000,1104,Greater Waterbury Transit District ,Waterbury,CT,"Waterbury, CT",144,73,"175,067",0,0,,0,,,0,0,0,0,,,,,,,
2007,1105,Cape Cod Regional Transit Authority,Hyannis,MA,"Barnstable Town, MA",128,286,"243,667",,,"55,496","5,445","6,014","6,584","368,260",0,0,0,"44,081",0,0,0,0,0,0
2007,1107,Milford Transit District,Milford,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Windsor,CT,"Hartford, CT",45,469,"851,535",,,,,,,,0,0,0,0,0,,0,0,0,0
2002,1109,"Comsis Mobility Services, Inc., dba: Intelitran",Providence,RI,"Providence, RI-MA",34,504,"1,174,548",,,,,,,,,,0,0,0,,,,,
2007,1110,"2Plus Partners in Transportation, Inc",Rocky Hill,CT,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,,,,,,,,,,,,,0
2007,1115,Northern New England Passenger Rail Authority,Portland,ME,"Portland, ME",160,124,"188,080",,,,,,,,,,,,,,,"879,950",0,0
2007,1116,Bonanza,Providence,RI,"Providence, RI-MA",34,504,"1,174,548",,,,,,,,,,,,,,,0,0,0
1991,1902,Brush Hill Transportation Company ,Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1905,Hudson Bus Lines ,Medford,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1906,Plymouth & Brockton Street Railway Company,Plymouth,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1907,"A Yankee Line, Inc. ",Boston,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1908,American Eagle Motor Coach ,Fairhaven,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1910,"H & L Bloom, Inc. ",Taunton,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1913,"Big W Transit, Inc. ",Ashland,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
1991,1917,"Michaud Bus Lines, Inc. ",Salem,MA,"Boston, MA",10,891,"2,775,370",,,,,,,,,,,,,,,,,
2007,2002,Capital District Transportation Authority,Albany,NY,"Albany, NY",62,284,"558,947","109,821","335,148","246,176","190,079","245,634","43,534","330,511","1,139,596","2,438,373","1,587,892","2,213,762","463,413","1,310,745","3,801,056","135,958","1,611,143",0
2007,2003,Broome County Department of Public Transportation,Vestal,NY,"Binghamton, NY-PA",182,76,"158,884",,"179,567","15,817","5,866","8,095","370,792",0,0,"6,419","306,893",0,0,0,0,0,0,0
2007,2004,Niagara Frontier Transportation Authority,Buffalo,NY,"Buffalo, NY",38,367,"976,703","1,288,633","203,611","222,464","1,110,907","899,872","1,729,192","1,742,792","450,131","1,245,691","1,738,233","6,788,706","3,549,745","1,039,585","2,769,880","4,701,103","2,965,069","3,401,393"
2007,2005,Chemung County Transit System,Elmira,NY,"Elmira, NY",350,35,"67,159","142,237",0,"37,036","41,312",0,"5,917","153,032","2,020",0,"140,648","92,442",0,0,"208,011",0,0,0
2007,2006,City of Long Beach,Long Beach,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,,,0,"6,947","3,625","93,494","19,124","11,889","18,554","9,350","349,411",0,0,,0,"72,284"
2007,2007,"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus",Garden City,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","1,210,942","723,221","634,139","208,724","659,418","1,960,956","4,343,399","5,793,651","761,449","2,978,307","589,168","1,326,296","173,050","2,521,978","684,484","655,968","841,923"
2007,2008,MTA New York City Transit,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","572,340,394","260,625,319","242,632,604","312,662,661","496,773,000","534,680,000","681,588,796","879,727,098","1,238,075,614","1,123,003,241","1,176,939,124","1,941,575,143","1,787,477,896","1,652,632,967","1,295,128,903","1,053,788,672","1,355,956,573"
2007,2009,City of Poughkeepsie,Poughkeepsie,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982",,"7,259","1,937","85,426",,,,,,,,"27,176",0,"54,724","74,281","17,105","2,102"
2007,2010,Dutchess County Division of Mass Transportation,Poughkeepsie,NY,"Poughkeepsie-Newburgh, NY",89,265,"351,982","1,200,000","15,236","62,371","319,950",0,"128,400","154,862",0,0,0,0,0,0,0,0,0,0
2005,2015,City of Rome VIP Transit,Rome,NY,"Utica, NY",233,55,"113,409",0,,"2,124",,,,,,,,,,,,,,
2007,2018,"CNY Centro, Inc. ",Syracuse,NY,"Syracuse, NY",81,180,"402,267","79,252","405,164","350,083","120,817","70,936","352,198","361,771","1,104,977","504,448","1,219,651","973,997",0,0,0,0,0,0
2004,2021,Utica Transit Authority,Utica,NY,"Utica, NY",233,55,"113,409",0,"30,412",924,0,"3,829","110,794","36,597",0,"441,244","5,949","5,300",0,0,0,,,
1993,2038,"Green Bus Lines, Inc. ",Jamaica,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",0,0,0,,,,,,,,,,,,,,
1993,2039,"Jamaica Buses, Inc. ",Jamaica,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",0,0,,,,,,,,,,,,,,,
2005,2040,"New York Bus Tours, Inc., dba: New York Bus Service",Bronx,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","3,425,714","3,358,722",0,0,0,0,0,0,0,0,0,0,0,0,0,,
1993,2046,Triboro Coach Corporation ,Jackson Heights,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",0,,0,,,,,,,,,,,,,,
2007,2071,Huntington Area Rapid Transit,Huntington Station,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","3,575","85,349","2,473,620","2,584,387","551,832","5,264","57,963","62,709",296,"94,076","9,162","7,990","159,347",0,0,0,"24,354"
2007,2072,Suffolk County Department of Public Works - Transportation Division,Yaphank,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","32,550","423,065","1,600,066","214,110","102,394","1,045,814","499,238","37,538","464,162","1,049,563","187,253","126,176","242,810","206,505","1,056,165","160,249","194,492"
1993,2073,"Command Bus Company, Inc. ",Brooklyn,NY,"New York, NY--Northeastern NJ",1,"2,967","16,044,012",0,0,0,,,,,,,,,,,,,,
2007,2075,Port Authority Transit Corporation,Lindenwold,NJ,"Philadelphia, PA-NJ-DE-MD",4,"1,800","5,149,079",0,0,0,0,0,"1,898,963","2,385,317","3,013,361","2,121,379","740,985","1,232,379","2,850,890","2,332,617","1,591,536","1,231,822","2,769,516","1,922,628"
2007,2076,Westchester County Bee-Line System,Mount Vernon,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","69,532","152,298","2,407,420","1,036,266","2,312,047","265,448","295,207","13,106,591","542,164","2,722,949","384,819","667,076","2,152,152","767,011",0,0,0
2007,2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","119,635,905","85,042,061","74,129,082","78,701,579","177,680,564","196,726,489","224,806,588","182,143,048","163,751,517","90,600,119","146,096,819","207,528,459","174,723,629","334,338,884","382,481,940","328,879,580","221,927,927"
2004,2079,"Liberty Lines Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2007,2080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","1,925,867","5,698,650","6,469,434","10,490,473","12,995,768","8,850,844","13,083,325","30,204,285","21,625,904","35,683,829","16,233,078","7,484,100","2,410,528","253,432","-915,142","-57,313","57,448,508"
2007,2082,New York City Department of Transportation,New York,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","13,046,315","15,143,983","15,091,134","20,020,091","5,862,211","13,995,601","5,651,530","8,044,000","18,477,923","21,089,034","2,455,552",0,0,0,"129,299,817","13,990,720","20,659,014"
2007,2084,Transport of Rockland,Pomona,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","2,823,458","3,002,059","3,219,091",0,"4,233,515","4,586,769","1,150,118","1,146,397","5,301,061","5,483,091","6,895,661",0,0,0,0,0,0
2007,2085,Clarkstown Mini-Trans,Nanuet,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,0,0,0,0,0,0,0,0,0,0,0,0,"391,903","60,000","60,000","60,000"
2007,2086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,Pomona,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","537,612","672,964","388,842","796,081","606,513","740,970","667,205","936,381","394,550","913,699","1,210,989",0,0,0,0,0,0
2007,2089,Village of Spring Valley Bus,Spring Valley,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,,,,0,,,,,,0,0,,0,0,0,0
2007,2096,Putnam County Transit,Carmel,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","10,240","6,000","12,889",0,0,0,0,"86,655",0,0,0,"117,359",0,"11,513","18,780","13,600","13,600"
2007,2098,Port Authority Trans-Hudson Corporation,Jersey City,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,"54,115,000","44,718,000","37,246,000","37,202,000","29,983,000","38,529,000","37,408,000","48,465,000","49,501,000","66,168,000","241,943,000","503,855,982","153,073,774","164,573,968","158,121,771","294,128,698"
2007,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","4,841,682","4,587,308","4,807,223","4,229,479","4,947,174","3,975,016","4,140,514","2,754,505","758,432","442,021","1,096,896","1,198,560","1,681,264","1,834,634","1,194,847","419,288","305,729"
2007,2100,MTA Long Island Rail Road,Jamaica,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861","119,838,138","111,806,553","98,884,680","119,307,267","135,365,108","74,895,977","121,231,045","207,817,637","463,127,300","294,668,160","356,282,569","367,961,551","457,182,010","373,725,846","626,481,903","467,001,520","252,735,180"
2007,2113,"Regional Transit Service, Inc. and Lift Line, Inc.",Rochester,NY,"Rochester, NY",53,295,"694,396",0,0,"643,557","269,360","53,809","1,597,076","890,392","324,256","574,554","524,647","406,655","598,234","1,391,280","692,853","1,409,459","865,272","675,288"
2007,2116,"Centro of Cayuga, Inc.",Syracuse,NY,"Syracuse, NY",81,180,"402,267",0,0,264,"14,049","84,923","43,523","3,910",0,0,0,"171,082",0,0,0,0,0,0
2004,2117,"Liberty Lines Express, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",0,,,,,0,0,0,0,0,0,0,0,0,,,
1992,2118,Onondaga County ,Syracuse,NY,"Syracuse, NY",74,134,"388,918","7,206",,,,,,,,,,,,,,,,
2007,2119,County of Oneida,Utica,NY,"Utica, NY",233,55,"113,409","1,612",,,,,,,,,,,,,,,,
2007,2120,Greater Glens Falls Transit System,Queensbury,NY,"Glens Falls, NY",400,35,"57,627","19,627","35,529","10,373","31,721","2,278","6,084","43,360","42,971","86,101","4,140",0,"1,700","27,106","67,710","21,563","26,663","14,744"
2007,2122,"Academy Lines, Inc.",Hoboken,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,2126,"Hudson Transit Lines, Inc.",Mahwah,NJ,"New York-Newark, NY-NJ-CT",1,"3,353","17,799,861",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
